class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
833,0.1,0.1,Quonset hut or butler type building,0,0,0,533,Quonset hut,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,33,
835,0.1,0.1,Golf course improvement,1,0,0,535,Golf Course,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,35,not used
850,0.1,0.1,Industrial incentive land,0,0,1,550,Ind. Land,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,50,not used
880,0.1,0.1,Industrial minor improvement,1,0,0,580,Ind. Minor Imp.,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,80,
881,0.1,0.1,Garage used in conjunction with industrial incentive improvement,1,0,0,581,Garage,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,81,
883,0.1,0.1,Quonset hut or butler type building,0,0,0,583,Quonset hut,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,83,
887,0.1,0.1,Special industrial improvement,1,0,0,587,Ind. Improvement,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,87,
889,0.1,0.1,Industrial condominium unit,0,0,0,589,Ind. Condo,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,89,
890,0.1,0.1,Minor industrial improvement,1,0,0,590,Com. Improvement,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,90,
891,0.1,0.1,Office building,0,0,0,774,Office,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,91,
892,0.1,0.1,Two-or-three-story building containing part or all retail and/or commercial space,0,0,0,592,Commercial(2-3),Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,92,
893,0.1,0.1,Industrial building,0,0,0,593,Industrial,Industrial,Incentive,8 - Industrial,NonRes,8,8,Commercial/Industrial Incentive,,93,
897,0.1,0.15,Special commercial structure,0,0,0,597,Special Commercial,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,97,
899,0.1,0.1,Commercial/Industrial condominium unit/garage,0,0,0,,Condo Garage,Commercial,Incentive,8 - Commercial,NonRes,8,8,Commercial/Industrial Incentive,,99,
900,0.1,0.1,Land used in conjunction with incentive rental apartments,0,0,1,300,Land,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,0,
901,0.1,0.1,Garage used in conjunction with incentive rental apartment,0,0,0,301,Garage,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,1,
913,0.1,0.1,"Two-or-three-story apartment building, seven or more units",0,0,0,,Multi-Family,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,13,
914,0.1,0.1,"Two-or-three-story, non-fireproof court and corridor apartments or California type apartments, no corridors, exterior entrance",0,0,0,314,Multi-Family,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,14,
915,0.1,0.1,"Two-or-three-story, non-fireproof corridor apartments, or California type apartments, interior entrance",0,0,0,315,Multi-Family,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,15,
918,0.1,0.1,Mixed use commercial/residential building with apartments and commercial area where the commercial area is granted an incentive use,0,0,0,318,Mixed Use,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,18,
919,0.1,0.1,,,0,0,,,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,,
920,0.1,0.1,,,0,0,,,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,,
921,0.1,0.1,,,0,0,,,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,,
959,0.1,0.1,Rental condominium unit,0,0,0,399,Rental Condo,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,59,not used
990,0.1,0.1,Other minor improvements,1,0,0,,Improvement,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,90,
991,0.1,0.1,Apartment buildings over three stories,0,0,0,391,Apartment (Big),Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,91,
996,0.1,0.1,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership",0,0,0,396,Special Rental,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,96,
997,0.1,0.1,Special rental structure,0,0,0,397,Mixed Use,Rental,Non-Incentive,,Res,9,9,Multi-Family Incentive,10%,97,
