class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
288,0.1,0.1,Home improvement,1,0,0,,Res. Improve,Owner Occupied,Non-Incentive,Single-Family,Res,2,2,Residential,10%,88,
290,0.1,0.1,Minor improvement,1,0,0,,Improvement,Other Residential,Non-Incentive,Single-Family,Res,2,2,Residential,10%,90,
295,0.1,0.1,"Individually owned row houses or townhouses, up to 62 years",0,0,0,396,Multi-Family,Owner Occupied,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,95,
297,0.1,0.1,Special residential improvements (May apply to condo building in first year of construction before division into individual units.),1,0,0,,Res. Improve,Owner Occupied,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,97,
299,0.1,0.1,Condominium,0,0,0,,Condo,Owner Occupied,Non-Incentive,Multi-Family,Res,2,2,Residential,10%,99,
300,0.1,0.1,Land used in conjunction with rental apartments,0,0,1,300,Land,Rental,Non-Incentive,Land,Res,3,3,Multi-Family,10%,0,
301,0.1,0.1,Garage used in conjunction with rental apartments,0,0,0,301,Garage,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,1,
313,0.1,0.1,"Two-or-three-story, building, seven or more units",0,0,0,313,Multi-Family,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,13,
314,0.1,0.1,"Two-or-three-story, non-fireproof building with corridor apartment or California type apartments, no corridors exterior entrance",0,0,0,314,Multi-Family,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,14,
315,0.1,0.1,"Two-or-three-story, non-fireproof corridor apartments or California type apartments, interior entrance",0,0,0,315,Multi-Family,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,15,
318,0.1,0.1,"Mixed-use commercial/residential building with apartments and commercial area totaling seven units or more with a square-foot area of over 20,000 square feet",0,0,0,318,Mixed Use,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,18,
319,0.1,0.1,,,0,,,Mixed Use,Rental,Non-Incentive,,Res,3,3,Multi-Family,,,
320,0.1,0.1,,,0,,,Mixed Use,Rental,Non-Incentive,,Res,3,3,Multi-Family,,,
321,0.1,0.1,,,0,,,Mixed Use,Rental,Non-Incentive,,Res,3,3,Multi-Family,,,
390,0.1,0.1,Other minor improvement related to rental use,1,0,0,,Improvement,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,90,
391,0.1,0.1,"Apartment building over three stories, seven or more units",0,0,0,391,Apartment (Big),Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,91,
396,0.1,0.1,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership",0,0,0,396,Special Rental,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,96,
397,0.1,0.1,Special rental structure,0,0,0,397,Mixed Use,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,97,
399,0.1,0.1,Rental condominium,0,0,0,399,Rental Condo,Rental,Non-Incentive,,Res,3,3,Multi-Family,10%,99,
400,0.2,0.2,Not-for-profit land,0,0,1,,Land,Land,Non-Incentive,Land,NonRes,4,4,Not For Profit,20%,0,
401,0.2,0.2,Not-for-profit garage,0,0,0,501,Garage,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,1,
417,0.2,0.2,Not-for-profit one story commercial building,0,0,0,417,Commercial(1floor),Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,17,
418,0.2,0.2,Not-for-profit two-or-three story mixed use commercial/residential building,0,0,0,,B&B,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,18,
422,0.2,0.2,Not-for-profit one-story non-fireproof public garage,0,0,0,,Garage,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,22,
423,0.2,0.2,Not-for-profit gasoline station,0,0,0,523,Gas station,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,23,
426,0.2,0.2,Not-for-profit commercial greenhouse,0,0,0,526,Greenhouse,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,26,0
427,0.2,0.2,Not-for-profit theatre,0,0,0,527,Theatre,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,27,
428,0.2,0.2,Not-for-profit bank building,0,0,0,528,Bank,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,28,
429,0.2,0.2,Not-for-profit motel,0,0,0,529,Motel,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,29,0
430,0.2,0.2,Not-for-profit supermarket,0,0,0,530,Supermarket,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,30,
431,0.2,0.2,Not-for-profit shopping center,0,0,0,531,Shopping Center,Commercial,Non-Incentive,,NonRes,4,4,Not For Profit,20%,31,0
