class_code,class_desc,Alea_cat,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,incent_nonincent,groups_5,hybrid_groups
314,"Two-or-three-story, non-fireproof building with corridor apartment or California type apartments, no corridors exterior entrance",Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
315,"Two-or-three-story, non-fireproof corridor apartments or California type apartments, interior entrance",Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
318,"Mixed-use commercial/residential building with apartments and commercial area totaling seven units or more with a square-foot area of over 20,000 square feet",Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
390,Other minor improvement related to rental use,Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
391,"Apartment building over three stories, seven or more units",Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
396,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership",Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
397,Special rental structure,Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
399,Rental condominium,Rental,,Res,3,3,Multi-Family,10%,non-incentive,Other,Other
400,Not-for-profit land,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
401,Not-for-profit garage,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
417,Not-for-profit one story commercial building,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
418,Not-for-profit two-or-three story mixed use commercial/residential building,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
422,Not-for-profit one-story non-fireproof public garage,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
423,Not-for-profit gasoline station,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
426,Not-for-profit commercial greenhouse,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
427,Not-for-profit theatre,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
428,Not-for-profit bank building,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
429,Not-for-profit motel,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
430,Not-for-profit supermarket,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
431,Not-for-profit shopping center,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
432,Not-for-profit bowling alley,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
433,Not-for-profit quonset hut or butler type building,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
435,Not-for-profit golf course improvement,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
480,Not-for-profit industrial minor improvement,Industrial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
481,Not-for-profit garage used in conjunction with industrial improvement,Industrial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
483,Not-for-profit industrial quonset hut or butler type building,Industrial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
487,Not-for-profit special industrial improvement,Industrial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
489,Not-for-profit industrial condominium,Industrial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
490,Not-for-profit commercial minor improvement,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
491,Not-for-profit improvement over three stories,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
492,Not-for-profit two-or-three story building containing part or all retail and/or commercial space,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
493,Not-for-profit industrial building,Industrial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
496,"Not-for-profit rented modern row houses, seven or more units in a single development",Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
497,Not-for-profit special structure,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
499,Not-for-profit condominium,Commercial,,NonRes,4,4,Not For Profit,20%,non-incentive,Other,Other
500,Commercial land,Commercial,Land,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
501,Golf course land,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
516,Non-fireproof hotel or rooming house (apartment hotel),Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
517,One-story commercial building,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
522,"One-story, non-fireproof public garage",Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
523,Gasoline station,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
526,Commercial greenhouse,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
527,Theatre,Commercial,,NonRes,5,5A,Commercial,25%,non-incentive,Commercial,Commercial
