clean_name,incent_type,cur_munilevel_rate,av,eav,pins_in_muni,final_tax_to_dist,current_taxable_eav,new_av,new_taxable_eav,munilevy,cur_muni_taxable_eav,new_muni_taxable_eav,new_comp_rate,group_taxes_hyp,group_taxes_cur,pct_eav,pct_taxburden_current,pct_taxburden_no_incent,burden_shift,av_change_perPIN
Bellwood,Not Incentive Prop,17.31437171286425,121473416,364748222,6990,42480520.85,245422554.4792,121473416,245422554.4792,43823561.59,253182688.7922,264822890.2617,16.548252889579608,4061314496.32843,4249337334.973546,1.4406522963320274,96.9646733583423,92.67422247248777,4.29,NA
Bensenville,Industrial,11.619753246753248,1170488,3514625,7,414590.12,3500465.389,2926220,8751163.4725,3051321.88,26075152.747799996,31325850.831299998,9.74058740313989,85241472.68305144,40674544.06898012,0.13478828039833957,13.33013876234523,27.93591631278554,-14.61,250818.85714285713
Bensenville,Not Incentive Prop,11.619753246753248,7493854,22501797,70,2636731.76,22574687.358799998,7493854,22574687.358799998,3051321.88,26075152.747799996,31325850.831299998,9.74058740313989,219890715.31694856,262312296.73185578,0.8629593551239508,85.96677343389803,72.06408368721446,13.9,NA
Berkeley,Industrial,14.363460259394746,1434500,4307373,4,558041.62,3802798.187,3586250,9506995.4675,15594888.899999999,107095297.8815,112799495.162,13.825317992428054,131437235.4907597,54621340.63347289,0.04022000111308407,3.5025155346552608,8.428225191829338,-4.93,537937.5
Berkeley,Not Incentive Prop,14.363460259394746,43922851,131887136,3003,15036847.28,103292499.6945,43922851,103292499.6945,15594888.899999999,107095297.8815,112799495.162,13.825317992428054,1428051654.5092402,1483637714.4554946,1.231493245818616,95.13615159230116,91.57177480817066,3.56,NA
Berwyn,Commercial,13.933389337843764,153423,460683,9,67632.86,460682.9235,383557.5,1151707.3087499999,111162471.85000001,797894332.402,798585356.78725,13.919923638120832,16031677.79126565,6418874.534421594,5.773734456956838e-4,0.057743179218640174,0.1442184356326514,-0.09,25570.5
Berwyn,Not Incentive Prop,13.933389337843764,332266450,997696395,15954,111094838.99000001,797433649.4785,332266450,797433649.4785,111162471.85000001,797894332.402,798585356.78725,13.919923638120832,11100215507.208735,11110953509.281572,1.250411682956202,99.95237893121366,99.85578156436735,0.1,NA
Blue Island,Commercial,15.328818787322003,966973,2903530,22,419817.03,2330263.142,2417432.5,5825657.855,37498994.62,243894075.59910002,251377392.05010003,14.917409363737203,86903723.0361062,35720181.4304936,0.011904881218897118,0.9525637098398987,2.3174947466393223,-1.36,65929.97727272728
Blue Island,Industrial,15.328818787322003,1258724,3779570,15,389006.7,2658614.492,3146810,6646536.23,37498994.62,243894075.59910002,251377392.05010003,14.917409363737203,99149101.79382057,40753419.77321614,0.015496768384864969,1.0867869975234057,2.644046935086085,-1.56,125872.4
Blue Island,Not Incentive Prop,15.328818787322003,103112675,309616403,8671,36690170.89,238905197.96510002,103112675,238905197.96510002,37498994.62,243894075.59910002,251377392.05010003,14.917409363737203,3563846637.170073,3662134486.9563074,1.2694707825085954,97.65953791740104,95.03845831827459,2.62,NA
Bridgeview,Commercial,13.021548515568428,123380,370473,2,48347.95,371750.0288,308450,929375.0719999999,65534363.03,502077608.32479995,552085224.2379999,11.87033453402995,11031993.01222817,4840761.03568316,7.378799489507141e-4,0.07386599658361187,0.16833905911587174,-0.09,92535
Bridgeview,Industrial,13.021548515568428,13111339,39369418,31,4336211.21,32966660.58,32778347.5,82416651.44999999,65534363.03,502077608.32479995,552085224.2379999,11.87033453402995,978313223.8860445,429276970.1387472,0.07841301294307365,6.550410354064705,14.928248000796117,-8.38,634419.6290322581
Bridgeview,Not Incentive Prop,13.021548515568428,183447823,550838793,5491,61149803.870000005,468739197.71599996,183447823,468739197.71599996,65534363.03,502077608.32479995,552085224.2379999,11.87033453402995,5564091086.1017275,6103710204.207515,1.09711881961415,93.13755291118628,84.90341294008802,8.23,NA
Broadview,Industrial,12.19921534008683,2085871,6263244,15,776668.54,6092346.201,5214677.5,15230865.502500001,35666753.81,294949152.125,304087671.4265,11.729102216700978,178644378.3276472,74321843.23235893,0.021234995777664162,2.0837849059176525,5.008708650058311,-2.92,208587.1
Broadview,Not Incentive Prop,12.19921534008683,109674383,329319272,3440,34890085.27,288856805.924,109674383,288856805.924,35666753.81,294949152.125,304087671.4265,11.729102216700978,3388031002.672353,3523826377.9165454,1.1165289665265214,98.7986290170472,94.99129134994168,3.81,NA
Brookfield,Not Incentive Prop,12.451880514908131,169727701,509641323,9089,53101216.84,427420014.6565,169727701,427420014.6565,53101216.84,427420014.6565,427420014.6565,12.423661742343835,5310121684,5322182952.18302,1.192366537654017,100.2271373219066,100,0.23,NA
Buffalo Grove,Not Incentive Prop,11.771467088197149,140786211,422738600,6168,41682124.78,354301552.20460004,140786211,354301552.20460004,41682124.78,354301552.20460004,354301552.20460004,11.764589943407769,4168212478,4170649061.073613,1.193160451512443,100.05845630678554,100,0.06,NA
Burbank,Commercial,12.28893426117856,394119,1183421,1,46932.08,381903.1654,985297.5,954757.9135,61709566.74999999,502156861.2979,502729716.046,12.274899370450889,11719557.311354155,4693182.893736603,0.0023566759536875993,0.07605276038883554,0.18991475598642338,-0.11,591178.5
Burbank,Not Incentive Prop,12.28893426117856,208121791,624927272,10130,61662634.669999994,501774958.1325,208121791,501774958.1325,61709566.74999999,502156861.2979,502729716.046,12.274899370450889,6159237117.688645,6166279474.395917,1.244486175863019,99.92420623170098,99.81008524401358,0.11,NA
Burnham,Commercial,24.054519756838907,407729,1224289,14,288373.34,1207044.763,1019322.5,3017611.9075,11077166.81,46037834.6477,47848401.7922,23.150547134482856,69859366.69815548,29034882.098972436,0.026593105635153155,2.6211469590546352,6.306609613849037,-3.69,43685.25
Burnham,Not Incentive Prop,24.054519756838907,18736835,56261067,2289,10788793.47,44830789.8847,18736835,44830789.8847,11077166.81,46037834.6477,47848401.7922,23.150547134482856,1037857314.3018446,1078383120.99621,1.2220615376577175,97.35188965672081,93.69339038615097,3.66,NA
Burr Ridge,Industrial,7.217679492785308,1004519,3016270,4,218106.44,3016269.396,2511297.5,7540673.49,31665218.470000003,438514893.861,443039297.955,7.147270821383496,53895235.608657055,21770465.76422513,0.006878375266670176,0.6875198345734049,1.70203264694725,-1.01,376694.625
Burr Ridge,Not Incentive Prop,7.217679492785308,151150119,453850659,2283,31447112.03,435498624.465,151150119,435498624.465,31665218.470000003,438514893.861,443039297.955,7.147270821383496,3112626611.391343,3143289490.9372406,1.0349720507870848,99.26631309729412,98.29796735305274,0.97,NA
Calumet City,Commercial,25.770212494273935,6684945,20072886,116,5301259.4,20651277.16,16712362.5,51628192.9,92759713.83999999,359745056.80251,393078664.83501,23.59825707633732,1218335368.440933,532187800.69134593,0.055797531113872825,5.737272989105051,13.134315728295839,-7.4,86443.25431034483
