year,clean_name,incentive,cur_munilevel_rate,av,eav,pins_in_muni,incent_pins,final_tax_to_dist,current_taxable_eav,new_av,new_taxable_eav,munilevy,cur_muni_taxable_eav,new_muni_taxable_eav,new_comp_rate,group_taxes_hyp,group_taxes_cur,pct_eav,rate_change,pct_taxburden_current,pct_taxburden_no_incent,burden_shift,av_change_perPIN
2021,Chicago Ridge,Incentive,12.4867558381985,1374011,4125744,21,3,509454.03,4060721.4952000002,3435027.5,10151803.738,40095738.88,320617061.87851,326708144.12131,12.272647499448944,124589508.76006214,50705237.837486744,0.012868136136695525,0.21410833874955593,1.2646041513099244,3.107300482301578,-1.84,98143.64285714286
2021,Chicago Ridge,Non-Incentive,12.4867558381985,124859643,374915959,4775,8,39586284.85,316556340.38331,124859643,316556340.38331,40095738.88,320617061.87851,326708144.12131,12.272647499448944,3884984379.2399383,3952761731.400048,1.169357478367964,0.21410833874955593,98.58308742557452,96.89269951769843,1.69,NA
2021,Cicero,Incentive,14.376,10985842,32987187,25,1,1872679.46,13026429.19,27464605,32566072.974999998,107449932.6,747425797.148,766965440.933,14.009748922883544,456242505.7840531,187267946.03544,0.044134397188150716,0.36625107711645555,1.742839120547201,4.246093922482862,-2.5,659150.52
2021,Cicero,Non-Incentive,14.376,349410362,1049174457,18134,7,105577253.14,734399367.958,349410362,734399367.958,107449932.6,747425797.148,766965440.933,14.009748922883544,10288750754.215944,10557725313.764206,1.4037172131379483,0.36625107711645555,98.25716087758818,95.75390607751712,2.5,NA
2021,Country Club Hills,Incentive,24.768208597285067,3377865,10142715,10,1,1305289.62,5463017.176,8444662.5,13657542.94,48239067.65,196098647.22079998,204293172.98479998,23.612667494076824,322491020.2282964,135309148.98571917,0.05172251386609348,1.1555411032082432,2.804970236312583,6.685266443541979,-3.88,506679.75
2021,Country Club Hills,Non-Incentive,24.768208597285067,99891910,299843002,6620,8,46933778.03,190635630.04479998,99891910,190635630.04479998,48239067.65,196098647.22079998,204293172.98479998,23.612667494076824,4501415744.771704,4721703051.02447,1.5290416647412546,1.1555411032082432,97.88130826414242,93.31473355645802,4.57,NA
2021,Countryside,Incentive,7.879009246088193,2919805,8767300,15,2,696428.39,8767299.242,7299512.5,21918248.105,26921653.27,338847065.08599997,351998013.949,7.648240104530989,167636024.17772135,69077631.79094002,0.025873914527708375,0.23076914155720463,2.5658762891770954,6.226810162677701,-3.66,291980.5
2021,Countryside,Non-Incentive,7.879009246088193,121526510,364907627,2797,7,26225224.88,330079765.844,121526510,330079765.844,26921653.27,338847065.08599997,351998013.949,7.648240104530989,2524529302.8222785,2600701527.031502,1.0769095105114332,0.23076914155720463,96.60259349412169,93.77318983732229,2.83,NA
2021,Crestwood,Incentive,10.848149992147007,2561774,7692241,35,2,796464.05,7770949.619,6404435,19427374.0475,37948292.809999995,350687271.54851,362343695.97701,10.473010357659911,203463089.62160084,84300427.04832964,0.021934759610845882,0.37513963448709653,2.2214550591354953,5.361587427405562,-3.14,109790.31428571428
2021,Crestwood,Non-Incentive,10.848149992147007,137281641,412211532,6332,7,37151828.76,342916321.92951,137281641,342916321.92951,37948292.809999995,350687271.54851,362343695.97701,10.473010357659911,3591366191.378399,3720007695.0466948,1.1754391032780311,0.37513963448709653,98.02832801127781,94.63841257259445,3.39,NA
2021,Deer Park,Non-Incentive,10.550727272727272,213918,642330,22,3,60652.899999999994,562329.87206,213918,562329.87206,60652.899999999994,562329.87206,562329.87206,10.785999999930361,6065290,5932989.117412679,1.1422654778180876,-0.235272727203089,97.81872123859996,100.00000000000001,-2.18,NA
2021,Deerfield,Non-Incentive,8.824126582278481,60140188,180582942,79,5,15897800.65,179449720.28399998,60140188,179449720.28399998,15897800.65,179449720.28399998,179449720.28399998,8.85919500171964,1589780065,1583487046.9404821,1.0063149817910364,-0.03506841944115813,99.60415794624284,100,-0.4,NA
2021,Des Plaines,Incentive,10.076131966456687,27311002,82006747,57,5,8340356.100000001,82059233.44667901,68277505,205148083.61669752,221086974.35,2189470419.455979,2312559269.6259975,9.560272778900739,1961271639.444366,826839665.2750142,0.03745506048918274,0.5158591875559484,3.739884123458376,8.87104111497542,-5.13,718710.5789473684
2021,Des Plaines,Non-Incentive,10.076131966456687,804185722,2414728426,24866,8,212746618.25,2107411186.0093,804185722,2107411186.0093,221086974.35,2189470419.455979,2312559269.6259975,9.560272778900739,20147425795.555634,21234553217.816708,1.1028824160136363,0.5158591875559484,96.04615233550827,91.12895888502459,4.92,NA
2021,Dixmoor,Incentive,17.747,503933,1513160,14,1,257431.19,1450561.729,1259832.5,3626404.3225000002,5814239.16,32761814.167,34937656.7605,16.64175476866409,60349731.42706844,25743119.004563,0.046186697485274215,1.1052452313359105,4.4275989164097265,10.379643796260428,-5.95,53992.82142857143
2021,Dixmoor,Non-Incentive,17.747,14838108,44554340,2437,6,5556807.97,31311252.438,14838108,31311252.438,5814239.16,32761814.167,34937656.7605,16.64175476866409,521074184.5729316,555680797.017186,1.3599472780380477,1.1052452313359105,95.57240108733092,89.62035620373958,5.95,NA
2021,Dolton,Incentive,25.20729016493586,1351599,4058445,36,2,970698.4299999999,3808404.256,3378997.5,9521010.64,54957926.150000006,217620773.3054,223333379.68940002,24.608021526577225,234293234.7838908,95999551.14636867,0.018649161742957995,0.5992686383586339,1.7467826366728478,4.2631382076612585,-2.52,56316.625
2021,Dolton,Non-Incentive,25.20729016493586,100569589,301980273,9786,8,53987227.720000006,213812369.0494,100569589,213812369.0494,54957926.150000006,217620773.3054,223333379.68940002,24.608021526577225,5261499380.216109,5389630427.4805765,1.3876445176316572,0.5992686383586339,98.06830069916268,95.73686179233873,2.33,NA
2021,East Dundee,Non-Incentive,8.951,1612361,4841436,2,2,115283.10999999999,1287935.5376,1612361,1287935.5376,115283.10999999999,1287935.5376,1287935.5376,8.951000002284585,11528310.999999998,11528310.9970576,3.7590670174547407,-2.284584965650538e-9,99.99999997447676,100,-0,NA
2021,East Hazelcrest,Incentive,21.274,346147,1039376,7,1,221116.84,1039375.952,865367.5,2598439.88,4368216.03,20533120.3815,22092184.309499998,19.772676023355448,51378109.9134066,22111684.002848003,0.05061948601521182,1.501323976644553,5.061948367706531,11.761806092132902,-6.7,74174.35714285714
2021,East Hazelcrest,Non-Incentive,21.274,8344078,25054773,770,5,4147099.19,19493744.4295,8344078,19493744.4295,4368216.03,20533120.3815,22092184.309499998,19.772676023355448,385443493.08659345,414709918.993183,1.2202126386291454,1.501323976644553,94.93805163138487,88.2381939078671,6.7,NA
2021,Elgin,Incentive,11.48003128090999,1709865,5134213,6,2,603748.74,5137274.7729,4274662.5,12843186.93225,51284180.59,446097267.5779,453803179.73725003,11.300974272523456,145140525.0985667,58976075.09152177,0.011509178318612846,0.17905700838653438,1.149985715147053,2.83012272846703,-1.68,427466.25
2021,Elgin,Non-Incentive,11.48003128090999,172234321,517153302,8082,6,50680431.85,440959992.805,172234321,440959992.805,51284180.59,446097267.5779,453803179.73725003,11.300974272523456,4983277533.901434,5062234511.031244,1.1592837248430172,0.17905700838653438,98.70947439917444,97.16987727153298,1.54,NA
2021,Elk Grove Village,Incentive,9.664524564959116,72689605,218265074,247,2,15664539.23,169600189.0935,181724012.5,424000472.73375,195805552.93,2071990165.9004998,2326390449.54075,8.416710658722561,3568689298.161558,1639105193.7158418,0.10534078664661067,1.247813906236555,8.371086361896069,18.2256797356373,-9.85,441434.8481781377
2021,Elk Grove Village,Non-Incentive,9.664524564959116,784076717,2354347297,14062,8,180141013.70000002,1902389976.807,784076717,1902389976.807,195805552.93,2071990165.9004998,2326390449.54075,8.416710658722561,16011865994.838442,18385694662.983253,1.1362733934486537,1.247813906236555,93.89771836325853,81.7743202643627,12.12,NA
2021,Elmwood Park,Non-Incentive,12.509463666197844,191953956,576380157,8532,7,60171959.599999994,481029335.67355,191953956,481029335.67355,60171959.599999994,481029335.67355,481029335.67355,12.509000000123823,6017195960,6017418996.983561,1.1982224663968513,4.636660740207077e-4,100.00370665979709,100.00000000000001,0,NA
