clean_name,C2_EAV_pct,burden_C2_neg10,burden_C2_nochange,burden_C2_plus10,burden_C2_plus20,burden_C2_plus30,burden_C2_plus40,C2_av,C2_eav_original,C2_DistrictRev,C2_current_nonTIF_EAV_post_exemps,C2_current_TIF_increment_EAV,C2_current_Exempt_EAV,C2_current_GHE,C2_Total_EAV,C2_exe_neg10,C2_exe_0,C2_exe_plus10,C2_exe_plus20,C2_exe_plus30,C2_exe_plus40,C2_PC_permuni,agency_num,MuniLevy,current_nonTIF_EAV_post_exemps,current_TIF_increment_EAV,current_Exempt_EAV,Total_EAV,cur_muni_comp_rate,tr_neg10,tr_nochange,tr_plus10,tr_plus20,tr_plus30,tr_plus40,tax_rate_current,taxrate_noexemps,taxrate_noTIFs,taxrate_noTIFs_orExemps,C2_neg10_taxableEAV,C2_nochange,C2_plus10_taxableEAV,C2_plus20_taxableEAV,C2_plus30_taxableEAV,C2_plus40_taxableEAV,burden_C2_noexemps
Inverness,0.9618075261511849,0.9609621839851372,0.958872842685269,0.9565194588770003,0.9538996008604724,0.9509466469320038,0.9475934721335416,153457526,460786898,40644543.69,427022401.8106378,0,33746430.11716892,23834910,460768831.9278067,0,23970000,47938818,71877292,95794012,119684248,3042,030630000,42636144.8,445337882.98225844,0,33746430.11716892,479084313.0994274,0.09573886801293874,0.09087514331124537,0.09573886801293874,0.10121725058335036,0.10731595171500305,0.11419005838477442,0.12199582908265101,0.09573886801293874,0.08899507588584193,0.09573886801293872,0.08899507588584193,450857311.8106378,427022401.8106378,402918493.8106378,378980019.8106378,355063299.8106378,331173063.8106378,0.9617698165629155
Justice,0.7526448296489939,0.7297269192826474,0.6955500403365018,0.6506811873752099,0.593055293432691,0.5193069574353221,0.43295040600699913,56201421,168755996,14034282.15,123385623.81882921,9545076.983848315,35845742.496125154,22431886,168776443.29880267,0,22703240,45217418,67110777,87471870,104582205,2972,030640000,20218646.12,177392878.53270224,10978684.866573034,35845742.496125154,224217305.8954004,0.11397665051290494,0.10118188387351323,0.11397665051290494,0.1307741615999043,0.15234751434936653,0.17995661085629638,0.2122858333417403,0.11397665051290494,0.0948169990147642,0.10733385525470344,0.09017433350765619,145817509.8188292,123385623.81882921,100600091.81882921,78706732.81882921,58345639.81882921,41235304.81882921,0.7467285501411499
Kenilworth,0.9679445719324118,0.9702947728338567,0.9696661573769958,0.9689853962146754,0.9682866842432336,0.967556689094227,0.9667934337548575,98352535,295323174,28197267.42,286548916.59885335,254455.71036306315,8519768.154681088,6253580,295323140.4638975,0,6370000,12740000,19107871,25467871,31818616,923,030650000,29078701.83,295512960.2274509,1070665.5140852232,8519768.154681088,305103393.8962172,0.09840076661144964,0.09636158405130824,0.09840076661144964,0.10060910602575239,0.10287567655178066,0.10524372741752953,0.10771967190790124,0.09840076661144964,0.09564332756127368,0.09804554030012846,0.09530769703561966,292802496.59885335,286548916.59885335,280062496.59885335,273694625.59885335,267334625.59885335,260983880.59885335,0.9705161885817409
La Grange,0.8169634508943051,0.8126956430617653,0.8025499643291198,0.7906285405059782,0.7776118265781314,0.763462628681467,0.7481737296810621,226297984,679504939,57264543.54,618531017.331044,0,61037423.49109798,41746746,679568440.8221419,0,42896196,85630124,128172213,169104592,208163674,5993,030660000,71548863.53,770707176.9021834,0,61037423.49109798,831744600.3932815,0.0928353409366017,0.08806513392712638,0.0928353409366017,0.09844045233255921,0.10456053770636035,0.11121308454563152,0.11840148614011745,0.0928353409366017,0.08602263663168826,0.09283534093660169,0.08602263663168826,660277763.331044,618531017.331044,574647639.331044,532105550.33104396,491173171.33104396,452114089.33104396,0.8170397986362824
La Grange Park,0.8944270915140654,0.9040283764551564,0.8954644039023174,0.8858156634502322,0.8740140687268763,0.8597988459925967,0.8423607184941658,139997491,420370451,36491889.54,363371434.33262867,579454.2094455853,56450600.98167149,36210530,420401489.5237457,0,35260000,70500456,105300418,139439095,172908691,4342,030670000,40669683.11,405791042.892496,7746860.486100334,56450600.98167149,469988504.3602678,0.1002232154266017,0.09201253028095381,0.1002232154266017,0.10947391881400154,0.12078866531653348,0.13441747104031326,0.1511362278480772,0.1002232154266017,0.08798359829533489,0.09834572061648887,0.08653335716233777,399581964.3326286,363371434.3326286,329081508.3326286,294281546.3326286,260142869.3326286,226673273.3326286,0.9082306643678021
Lansing,0.6360917949957259,0.6493314214480828,0.5807039812829048,0.47587120226367924,0.3592137939370768,0.2686306731591532,0.22281766462967814,108113851,324633457,44360131.98,216872316.3329992,7890393.5563837,99852114.15506853,73107221,324614824.0444514,0,78015814,147814200,202207853,232474525,245096132,10603,030680000,76739825.71,373464490.2104507,36068029.89726094,100823783.10821229,510356303.21592396,0.20548091645006566,0.1718382633762548,0.20548091645006566,0.25687184940577173,0.3140648849209249,0.35848476858361944,0.3809646042213115,0.20548091645006566,0.16179996434033767,0.18738396083860825,0.15036519628823422,289979537.33299917,216872316.33299917,142165337.33299917,87771684.33299917,57505012.33299917,44883405.33299917,0.6677888708314491
Lemont,0.7991023965806217,0.7965353082389529,0.7825221919892017,0.7661838612098195,0.7474408605167373,0.725644849745522,0.7001816163449234,214554556,644242907,44289183.97,565057208.0887982,6369094.15667262,72740257.04985978,49732630,644166559.2953305,0,50120000,100190505,150034432,199432676,248045727,6455,030690000,56597990.02,722097358.8651855,11370586.884409288,72740257.04985978,806208202.7994546,0.07837999865966379,0.07332960734424883,0.07837999865966379,0.0842684079475003,0.09102347129230337,0.09887885346053381,0.10805591947046227,0.07837999865966379,0.0712069847812152,0.07716491272451939,0.070202696801484707,614789838.0887982,565057208.0887982,514599333.08879817,464755406.08879817,415357162.08879817,366744111.08879817,0.8024248631016322
Lincolnwood,0.6315965957451624,0.6318340757777294,0.6135143019968883,0.5874797753096761,0.5612014530516773,0.5317222781245038,0.500441586434774,159720457,479592636,40912064.28,423432666.94266194,31914.09646036017,56128008.87724053,34360000,479592589.9163628,0,38988462,77931858,116667204,154944040,190618121,5013,030700000,66684776.78,690175706.6859863,13020073.173256053,56138008.87686233,759333788.7361046,0.09662000000000001,0.09203667369034702,0.09662000000000001,0.10313240207205403,0.10970624503528516,0.11708087232767546,0.1249064927389972,0.09662000000000001,0.0893522059013859,0.09483102528480503,0.08782010990317635,457792666.94266194,423432666.94266194,379860808.94266194,341125462.94266194,302848626.94266194,267174545.94266194,0.6425725078068965
Lynwood,0.7057704156555406,0.7010169420503404,0.6630560033733242,0.6162442325915118,0.5573388886089419,0.4908051084706109,0.43258461618004407,43412566,130354895,14647378.47,102366657.7881448,0,27715022.628470585,19672263,130081680.4166154,0,19734890,38552959,56618580,71984892,82471932,2697,030710000,21147269,154386141.24199212,2567559.8376639443,27745022.62488247,184698723.70453852,0.13697647230429041,0.12147431123904252,0.13697647230429041,0.15609669311088686,0.1801610211683607,0.2073596852579522,0.23120241200568925,0.13697647230429041,0.11611010741389215,0.13473571412799934,0.11449602128182089,122038920.78814481,102366657.78814481,83485961.78814481,65420340.78814481,50054028.78814481,39566988.78814481,0.7142197834506576
Lyons,0.6197492086488473,0.628959512658266,0.5869336950686964,0.5324100758131338,0.4671165901159552,0.3863866862507991,0.3164365848319556,50044955,150269936,13254524.68,115239794.63917024,1569619.496032784,33460511.3062671,22238644,150269925.44147012,0,22738416,45133239,66385528,86409059,99934392,3453,030720000,22610760.57,196342100.66212374,12666331.763885256,33460511.3062671,242468943.73227608,0.11516002168536353,0.10344351514105742,0.11516002168536353,0.13036082867657858,0.1485641997553466,0.1710711371859241,0.19057274043973363,0.11516002168536353,0.09839209561773864,0.10818109254039035,0.09325219230948538,137478438.63917023,115239794.63917024,92345199.63917023,71092910.63917023,51069379.63917023,37544046.63917023,0.6470783977246131
