major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,13205,4855.05,8596.29,0,13451.34,13451.34,0,0,0,0.63905410033
1,Vacant,13206,157784.75,0,0,157784.75,157784.75,0,0,0,0
1,Vacant,13208,24088.78,395.46,0,24484.24,24484.24,0,0,0,0.016151484350000002
1,Vacant,13210,134.5,7.46,0,141.96,141.96,0,0,0,0.052551937997999995
1,Vacant,13212,11325.42,509.02,0,11834.44,11834.44,0,0,0,0.043013401655
1,Vacant,13213,3390.17,13950.64,0,17340.81,17340.81,0,0,0,0.804498652806
1,Vacant,13214,23969.29,0,0,23969.29,23969.29,0,0,0,0
1,Vacant,13216,1863.46,1291681.38,0,1293544.8399999999,1293544.8399999999,0,0,0,0.998559437354
1,Vacant,13217,6358.68,0,0,6358.68,6358.68,0,0,0,0
1,Vacant,13221,14884.59,0,0,14884.59,14884.59,0,0,0,0
1,Vacant,13226,383.33,0,0,383.33,383.33,0,0,0,0
1,Vacant,13231,62910.36,7627.91,0,70538.27,70538.27,0,0,0,0.10814054304300001
1,Vacant,14001,107698.25,0,0,107698.25,107698.25,0,0,0,0
1,Vacant,14002,44097.77,0,0,44097.77,44097.77,0,0,0,0
1,Vacant,14003,162328.38,0,0,162328.38,162328.38,0,0,0,0
1,Vacant,14005,15632.66,0,0,15632.66,15632.66,0,0,0,0
1,Vacant,14006,26222.18,0,0,26222.18,26222.18,0,0,0,0
1,Vacant,14011,15464.9,0,0,15464.9,15464.9,0,0,0,0
1,Vacant,14016,172812.13,0,0,172812.13,172812.13,0,0,0,0
1,Vacant,14021,25570.27,18241.65,0,43811.92,43811.92,0,0,0,0.416364723839
1,Vacant,14023,6558.79,18571.52,0,25130.31,25130.31,0,0,0,0.739008591844
1,Vacant,14025,2791.84,0,0,2791.84,2791.84,0,0,0,0
1,Vacant,14026,23278.67,0,0,23278.67,23278.67,0,0,0,0
1,Vacant,14027,4418.63,323.18,0,4741.81,4741.81,0,0,0,0.06815720228
1,Vacant,14030,15151.34,0,0,15151.34,15151.34,0,0,0,0
1,Vacant,14041,8990.67,7363.0199999999995,0,16353.69,16353.69,0,0,0,0.450236174196
1,Vacant,14043,1114.56,0,0,1114.56,1114.56,0,0,0,0
1,Vacant,14044,1881.8600000000001,7688.64,0,9570.5,9570.5,0,0,0,0.803369578352
1,Vacant,14045,8490.5,6371.16,0,14861.66,14861.66,0,0,0,0.428698319293
1,Vacant,14047,12528.97,6651.1500000000005,0,19180.12,19180.12,0,0,0,0.346774841068
1,Vacant,15001,173334.99,0,0,173334.99,173334.99,0,0,0,0
1,Vacant,15002,42201.96,0,0,42201.96,42201.96,0,0,0,0
1,Vacant,15004,57917.34,143907.1,0,201824.44,201824.44,0,0,0,0.713030923623
1,Vacant,15005,107385.49,178216.13,0,285601.62,285601.62,0,0,0,0.624002589195
1,Vacant,15006,14601.460000000001,3660.18,0,18261.64,18261.64,0,0,0,0.20042914597199998
1,Vacant,15007,10226.21,2181.6,0,12407.81,12407.81,0,0,0,0.1758287744
1,Vacant,15008,117580.95,61077.17,0,178658.12,178658.12,0,0,0,0.34186565723400003
1,Vacant,15009,470.25,3670.52,0,4140.77,4140.77,0,0,0,0.886431295721
1,Vacant,15010,0,21917.37,0,21917.37,21917.37,0,0,0,1
1,Vacant,16006,31584.719999999998,0,0,31584.719999999998,31584.719999999998,0,0,0,0
1,Vacant,16012,3758.74,0,0,3758.74,3758.74,0,0,0,0
1,Vacant,16013,4133.96,0,0,4133.96,4133.96,0,0,0,0
