major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,12249,343.06,352.43,0,695.49,695.49,0,0,0,0.506721536351
1,Vacant,12251,22435.39,36790.46,0,59225.85,59225.85,0,0,0,0.621189214729
1,Vacant,13013,9903.75,0,0,9903.75,9903.75,0,0,0,0
1,Vacant,13019,3061.24,0,0,3061.24,3061.24,0,0,0,0
1,Vacant,13022,2367.92,0,0,2367.92,2367.92,0,0,0,0
1,Vacant,13025,3005.08,0,0,3005.08,3005.08,0,0,0,0
1,Vacant,13027,43748.61,0,0,43748.61,43748.61,0,0,0,0
1,Vacant,13028,4856.2300000000005,0,0,4856.2300000000005,4856.2300000000005,0,0,0,0
1,Vacant,13029,383754.81,0,0,383754.81,383754.81,0,0,0,0
1,Vacant,13030,57766.3,0,0,57766.3,57766.3,0,0,0,0
1,Vacant,13031,27348.51,0,0,27348.51,27348.51,0,0,0,0
1,Vacant,13032,2893.82,0,0,2893.82,2893.82,0,0,0,0
1,Vacant,13033,28013.44,0,0,28013.44,28013.44,0,0,0,0
1,Vacant,13034,107855.28,0,0,107855.28,107855.28,0,0,0,0
1,Vacant,13035,11088.87,0,0,11088.87,11088.87,0,0,0,0
1,Vacant,13036,109533.83,0,0,109533.83,109533.83,0,0,0,0
1,Vacant,13037,21253.01,0,0,21253.01,21253.01,0,0,0,0
1,Vacant,13038,166842.52,0,0,166842.52,166842.52,0,0,0,0
1,Vacant,13039,143617.9,0,0,143617.9,143617.9,0,0,0,0
1,Vacant,13041,7607.61,0,0,7607.61,7607.61,0,0,0,0
1,Vacant,13042,287282.95,0,0,287282.95,287282.95,0,0,0,0
1,Vacant,13043,643742.38,0,0,643742.38,643742.38,0,0,0,0
1,Vacant,13044,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,13049,60049.82,0,0,60049.82,60049.82,0,0,0,0
1,Vacant,13050,113159.95,0,0,113159.95,113159.95,0,0,0,0
1,Vacant,13051,10215.07,0,0,10215.07,10215.07,0,0,0,0
1,Vacant,13052,19380.87,0,0,19380.87,19380.87,0,0,0,0
1,Vacant,13055,18539.7,0,0,18539.7,18539.7,0,0,0,0
1,Vacant,13056,143219.86,0,0,143219.86,143219.86,0,0,0,0
1,Vacant,13058,36564.69,0,0,36564.69,36564.69,0,0,0,0
1,Vacant,13059,1146.14,0,0,1146.14,1146.14,0,0,0,0
1,Vacant,13062,212602.99,0,0,212602.99,212602.99,0,0,0,0
1,Vacant,13063,721048.42,0,0,721048.42,721048.42,0,0,0,0
1,Vacant,13064,3350.67,0,0,3350.67,3350.67,0,0,0,0
1,Vacant,13067,80153.7,0,0,80153.7,80153.7,0,0,0,0
1,Vacant,13068,60330.7,0,0,60330.7,60330.7,0,0,0,0
1,Vacant,13069,442.77,0,0,442.77,442.77,0,0,0,0
1,Vacant,13070,50186.99,0,0,50186.99,50186.99,0,0,0,0
1,Vacant,13072,30058.14,0,0,30058.14,30058.14,0,0,0,0
1,Vacant,13081,120480.06,0,0,120480.06,120480.06,0,0,0,0
1,Vacant,13089,15.69,0,0,15.69,15.69,0,0,0,0
1,Vacant,13094,585.59,0,0,585.59,585.59,0,0,0,0
1,Vacant,13097,1060.5900000000001,0,0,1060.5900000000001,1060.5900000000001,0,0,0,0
1,Vacant,13098,1388.03,0,0,1388.03,1388.03,0,0,0,0
1,Vacant,13099,130158,0,0,130158,130158,0,0,0,0
1,Vacant,13101,56928.11,0,0,56928.11,56928.11,0,0,0,0
1,Vacant,13106,1084.99,0,0,1084.99,1084.99,0,0,0,0
1,Vacant,13122,4737.64,39243.79,0,43981.43,43981.43,0,0,0,0.892280449327
1,Vacant,13132,4298.73,0,0,4298.73,4298.73,0,0,0,0
1,Vacant,13134,467.26,3293.45,0,3760.71,3760.71,0,0,0,0.8757350931969999
1,Vacant,13136,9632.09,0,0,9632.09,9632.09,0,0,0,0
1,Vacant,13141,53584.82,131756.5,0,185341.32,185341.32,0,0,0,0.7108879970930001
1,Vacant,13144,52875.9,103311.63,0,156187.53,156187.53,0,0,0,0.6614489584909999
1,Vacant,13145,1540.48,7359.19,0,8899.67,8899.67,0,0,0,0.8269045182729999
1,Vacant,13146,2492.41,28433.53,0,30925.94,30925.94,0,0,0,0.919409308055
1,Vacant,13150,9521.38,0,0,9521.38,9521.38,0,0,0,0
1,Vacant,13151,0.88,0,0,0.88,0.88,0,0,0,0
1,Vacant,13154,21015.83,3958.0099999999998,0,24973.84,24973.84,0,0,0,0.158485742405
1,Vacant,13155,26979.52,15073.1,0,42052.62,42052.62,0,0,0,0.358433893584
1,Vacant,13157,9.75,0,0,9.75,9.75,0,0,0,0
1,Vacant,13159,0.43,0,0,0.43,0.43,0,0,0,0
1,Vacant,13160,2161.35,0,0,2161.35,2161.35,0,0,0,0
1,Vacant,13163,6103.38,177623.47,0,183726.85,183726.85,0,0,0,0.9667800343419999
1,Vacant,13164,1952.95,4502.42,0,6455.37,6455.37,0,0,0,0.697469553926
1,Vacant,13176,12960.92,1862.07,0,14822.99,14822.99,0,0,0,0.125619709604
1,Vacant,13179,5957.04,452.2,0,6409.24,6409.24,0,0,0,0.070555235582
1,Vacant,13182,3471.46,0,0,3471.46,3471.46,0,0,0,0
1,Vacant,13185,2484.69,8866.36,0,11351.05,11351.05,0,0,0,0.78110232385
1,Vacant,13186,840.5,333.96,0,1174.46,1174.46,0,0,0,0.284323395049
1,Vacant,13188,49284.75,0,0,49284.75,49284.75,0,0,0,0
1,Vacant,13189,7486.7,2983.52,0,10470.22,10470.22,0,0,0,0.284951809279
1,Vacant,13191,7533.82,2000.06,0,9533.88,9533.88,0,0,0,0.20978463067300002
1,Vacant,13193,12875.949999999999,1989.49,0,14865.44,14865.44,0,0,0,0.133834428053
1,Vacant,13195,4485.54,2221.88,0,6707.42,6707.42,0,0,0,0.331257353239
1,Vacant,13197,1528.57,443.17,0,1971.74,1971.74,0,0,0,0.224752074479
1,Vacant,13198,1574.84,976.6999999999999,0,2551.54,2551.54,0,0,0,0.382795082102
1,Vacant,13202,2505.08,11005.75,0,13510.83,13510.83,0,0,0,0.8145827790129999
1,Vacant,13204,35179.24,9843.65,0,45022.89,45022.89,0,0,0,0.218632799182
1,Vacant,13205,4855.05,8596.29,0,13451.34,13451.34,0,0,0,0.63905410033
1,Vacant,13206,157784.75,0,0,157784.75,157784.75,0,0,0,0
1,Vacant,13208,24104.19,395.69,0,24499.88,24499.88,0,0,0,0.016151484350000002
1,Vacant,13210,134.5,7.46,0,141.96,141.96,0,0,0,0.052551937997999995
1,Vacant,13212,11325.42,509.02,0,11834.44,11834.44,0,0,0,0.043013401655
1,Vacant,13213,3390.17,13950.64,0,17340.81,17340.81,0,0,0,0.804498652806
1,Vacant,13214,23977.74,0,0,23977.74,23977.74,0,0,0,0
1,Vacant,13216,1863.46,1291681.38,0,1293544.8399999999,1293544.8399999999,0,0,0,0.998559437354
1,Vacant,13217,6387.5,0,0,6387.5,6387.5,0,0,0,0
1,Vacant,13221,14884.59,0,0,14884.59,14884.59,0,0,0,0
1,Vacant,13226,383.33,0,0,383.33,383.33,0,0,0,0
1,Vacant,13231,62999.1,7638.84,0,70637.94,70637.94,0,0,0,0.10814054304300001
1,Vacant,14001,110098.37,0,0,110098.37,110098.37,0,0,0,0
1,Vacant,14002,45459.44,0,0,45459.44,45459.44,0,0,0,0
1,Vacant,14003,194307.31,0,0,194307.31,194307.31,0,0,0,0
1,Vacant,14005,16239.82,0,0,16239.82,16239.82,0,0,0,0
1,Vacant,14006,26222.18,0,0,26222.18,26222.18,0,0,0,0
1,Vacant,14011,15464.9,0,0,15464.9,15464.9,0,0,0,0
1,Vacant,14016,172867.37,0,0,172867.37,172867.37,0,0,0,0
1,Vacant,14021,25578.97,18247.989999999998,0,43826.96,43826.96,0,0,0,0.416364723839
1,Vacant,14023,6558.79,18571.52,0,25130.31,25130.31,0,0,0,0.739008591844
1,Vacant,14025,2791.84,0,0,2791.84,2791.84,0,0,0,0
1,Vacant,14026,23278.67,0,0,23278.67,23278.67,0,0,0,0
1,Vacant,14027,4418.81,323.19,0,4742,4742,0,0,0,0.06815720228
1,Vacant,14030,15163.61,0,0,15163.61,15163.61,0,0,0,0
1,Vacant,14041,8990.67,7363.0199999999995,0,16353.69,16353.69,0,0,0,0.450236174196
1,Vacant,14043,1114.7,0,0,1114.7,1114.7,0,0,0,0
1,Vacant,14044,1881.98,7689.12,0,9571.1,9571.1,0,0,0,0.803369578352
1,Vacant,14045,8490.5,6371.16,0,14861.66,14861.66,0,0,0,0.428698319293
1,Vacant,14047,12528.97,6651.1500000000005,0,19180.12,19180.12,0,0,0,0.346774841068
1,Vacant,15001,196242.82,0,0,196242.82,196242.82,0,0,0,0
1,Vacant,15002,43466.92,0,0,43466.92,43466.92,0,0,0,0
1,Vacant,15004,58366.33,145022.8,0,203389.13,203389.13,0,0,0,0.713030923623
1,Vacant,15005,107459.01,178338.16,0,285797.17,285797.17,0,0,0,0.624002589195
1,Vacant,15006,14609.31,3662.19,0,18271.5,18271.5,0,0,0,0.20042914597199998
1,Vacant,15007,10229.62,2182.31,0,12411.93,12411.93,0,0,0,0.1758287744
