major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,agency_tax_rate,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,rev_perTC
1,Vacant,12221,55696.36,23383.21,0,79079.56999999999,79079.56999999999,0.010289229749833323,0,0,0,0.295692171206,79079.57296525274
1,Vacant,12222,122461.55,55176.61,0,177638.16,177638.16,0.01997070782194512,0,0,0,0.31061582482100003,177637.72859532916
1,Vacant,12223,62423.07,35123.21,0,97546.28,97546.28,0.01365153749381607,0,0,0,0.360067075666,97546.20111520062
1,Vacant,12225,17732.3,2179.04,0,19911.34,19911.34,0.009690767860905359,0,0,0,0.109431871993,19911.388145373578
1,Vacant,12227,28285.71,0,0,28285.71,28285.71,0.010367688258217636,0,0,0,0,28285.863211935688
1,Vacant,12228,137090.47,0,0,137090.47,137090.47,0.009769226369289672,0,0,0,0,137090.59625605776
1,Vacant,12229,8477.58,0,0,8477.58,8477.58,0.01101082931130703,0,0,0,0,8477.589833313245
1,Vacant,12231,7990.64,1637.09,0,9627.73,9627.73,0.01365153749381607,0,0,0,0.170040331479,9627.746817513784
1,Vacant,12232,12781.06,3588.2599999999998,0,16369.32,16369.32,0.015123075975303641,0,0,0,0.21920663388800002,16369.308174124513
1,Vacant,12234,10359.44,0,0,10359.44,10359.44,0.010289229749833323,0,0,0,0,10359.443453646185
1,Vacant,12235,8245.039999999999,0,0,8245.039999999999,8245.039999999999,0.011159999075292899,0,0,0,0,8245.04079682362
1,Vacant,12238,1845.1000000000001,0,0,1845.1000000000001,1845.1000000000001,0.010289229749833323,0,0,0,0,1845.085257199611
1,Vacant,12239,10486.1,0,0,10486.1,10486.1,0.011159999075292899,0,0,0,0,10486.091371132263
1,Vacant,12243,38076.75,14923.08,0,52999.83,52999.83,0.01608166588800287,0,0,0,0.281568552958,52999.83165378265
1,Vacant,12244,67199.47,0,0,67199.47,67199.47,0.014437856455269887,0,0,0,0,67199.934469676
