clean_name,MuniLevy,tr_neg10,tr_nochange,tr_plus10,tr_plus20,tr_plus30,tr_plus40,tax_rate_current,taxrate_noexemps,taxrate_noTIFs,taxrate_noTIFs_orExemps,current_nonTIF_EAV_post_exemps,current_TIF_increment_EAV,current_Exempt_EAV,current_GHE,Total_EAV,exe_neg10,exe_0,exe_plus10,exe_plus20,exe_plus30,exe_plus40,neg10_taxable_eav,plus10_taxable_eav,plus20_taxable_eav,plus30_taxable_eav,plus40_taxable_eav,scenario_noexemptions_taxable_eav
Buffalo Grove,41682124.78,0.1046169368611966,0.11766253943035374,0.1342837372942986,0.1549781209725494,0.18017853766377753,0.2085754898957398,0.11766253943035374,0.09861929206564904,0.11763543248506086,0.09860024868276018,354251446.3974517,81630.8009802562,68405458.82807945,44174717,422738536.02651143,0,44330006,88022792,129471265,167088262,198584251,398426163.3974517,310403371.3974517,268954898.3974517,231337901.3974517,199841912.3974517,422656905.22553116
Burbank,61709566.75,0.10778049518591182,0.12288903817504941,0.14605912595652543,0.1752477837945424,0.2147311046847278,0.26650513293520633,0.12288903817504941,0.1003914836444336,0.12015611698997249,0.09856015483859248,502156804.7598985,11421432.419236716,112532454.82473773,70391750,626110692.0038729,0,75236290,150051389,220421039,285167894,340997417,572548554.7598984,422497165.7598984,352127515.7598984,287380660.7598984,231551137.75989842,614689259.5846362
Burnham,11116023.19,0.20243662985066951,0.2419969791813458,0.2945743533731234,0.3452423694609826,0.3548884864599487,0.35615424213627,0.2419969791813458,0.19281700174166058,0.2419969791813458,0.19281700174166058,45934553.512215376,0,11716084.603677705,8976572,57650638.11589308,0,9334270,17175243,22713388,23588545,23699864,54911125.512215376,37735882.512215376,32197737.512215376,31322580.512215376,31211261.512215376,57650638.11589308
Burr Ridge,31665218.47,0.07055684161884603,0.0727326237008914,0.07484625269624073,0.07719266638693893,0.07968850849112258,0.08231958647548068,0.0727326237008914,0.06930949659331062,0.07273262370089141,0.06930949659331062,435364721.6168268,0,21502230.624984127,13425470,456866952.24181086,0,12860000,25720000,38580000,51427773,64128171,448790191.6168267,423070191.6168267,410210191.6168267,397362418.6168267,384662020.6168267,456866952.24181086
Calumet City,92759713.84,0.21466389456246293,0.2606376270016804,0.3270752566952573,0.3788527163635502,0.40619877935115095,0.4123184678512029,0.2606376270016804,0.20228910708723327,0.2540745422208173,0.19831322115616468,355895328.3418359,9193251.683557285,102654888.1065424,76220720,467743468.1319356,0,78712617,148512468,187272314,203755653,207145010,432116048.3418359,283603580.3418359,244843734.34183592,228360395.34183592,224971038.34183592,458550216.4483783
Calumet Park,15016289.42,0.1679831142643558,0.20626,0.2664302122607792,0.30099777252266513,0.30487981537074654,0.3057094734381662,0.20626,0.15590018301730674,0.1966252625112974,0.15033236944925946,72802721.90439251,3567370.260835838,23517174.13019404,16588938,99887266.29542239,0,17006425,33030599,39503286,40138516,40272183,89391659.90439251,56361060.90439251,49888373.90439251,49253143.90439251,49119476.90439251,96319896.03458655
Chicago,6537491409.419998,0.06464296117283819,0.06730465427225805,0.07009546321829704,0.07297987654872697,0.07589184784528329,0.07872660749228738,0.06730465427225805,0.06287731878244063,0.056928316255117226,0.05372842117468939,97132828035.55908,17704424134.74995,6839344061.029853,3999473004,121676596231.33885,0,3997052882,7866758460,11552930416,14990092159,18091870140,101132301039.55905,93265542579.55905,89579370623.55905,86142208880.55905,83040430899.55905,103972172096.5889
Chicago Heights,74483456.52,0.1827215061459066,0.211948899012682,0.24821240168848216,0.2806822574313046,0.29638936882090494,0.3006932245354904,0.211948899012682,0.174292021172776,0.20381265004182014,0.16875228481462629,351421766.6001807,14028839.653733373,75926863.69749892,56212004,441377469.951413,0,58003340,107554258,142268025,156331044,159927968,407633770.6001807,300079512.6001807,265365745.6001807,251302726.6001807,247705802.6001807,427348630.2976796
Chicago Ridge,40095738.88,0.11491851222320448,0.1247042876839786,0.13649708125428178,0.14746683672756528,0.1577394530790261,0.16708824703035327,0.1247042876839786,0.11070260499185147,0.11849498927102102,0.1057818671382317,321526545.9164425,16848427.799055845,40666727.52054073,27379284,379041701.2360391,0,28018306,55157872,77009180,94716164,108938390,348905829.9164425,293747957.9164425,271896649.9164425,254189665.9164425,239967439.9164425,362193273.4369832
Cicero,107449932.6,0.12525973132151494,0.14376,0.16897953811356642,0.20326254497552557,0.24850640114327577,0.29636128394437483,0.14376,0.11706447798856573,0.11785438441032123,0.09929194740074132,747425797.1619365,164291939.4129104,170443862.75740442,110391248,1082161599.3322513,0,111258172,221941638,329190718,425434088,495253045,857817045.1619364,635875407.1619364,528626327.1619364,432382957.1619364,362564000.1619364,917869659.9193408
Country Club Hills,48239067.65,0.202464687528886,0.246237634605413,0.30801150515734943,0.39090358481375,0.45781736048157173,0.4958328984056995,0.246237634605413,0.18802758655720575,0.19346928135995378,0.15561707339568062,195904528.27124244,53432561.89063275,60648611.26141695,42354638,309985701.42329216,0,42548524,81644667,114855162,132891673,140970205,238259166.27124247,156614499.27124247,123404004.27124247,105367493.27124247,97288961.27124247,256553139.5326594
Countryside,26921653.27,0.07568441774625276,0.07904860180472678,0.08283906920090883,0.08652178304997019,0.08987018723777407,0.0932349198343851,0.07904860180472678,0.07368231145340927,0.07716791408393667,0.07204565778721855,340570897.59164083,8300179.067460317,24803813.63770316,15138429,373674890.2968043,0,15441556,30721932,44554698,56147769,66958574,355709326.59164083,324987394.59164083,311154628.59164083,299561557.59164083,288750752.59164083,365374711.229344
