tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
37038,5A,Commercial,943975,0,0,0,0,0,0,0,0,3
37038,8,Commercial/Industrial Incentive,90402,0,0,0,0,0,0,0,0,1
37039,1,Vacant,184539,0,0,0,0,0,0,0,0,15
37039,2,Residential,8618662,1860000,589056,577479,0,30756,0,0,0,241
37039,5A,Commercial,4737886,0,0,0,0,0,0,0,0,3
37039,NA,NA,0,0,0,0,0,0,0,0,0,14
37040,1,Vacant,215794,0,0,0,0,0,0,0,0,71
37040,2,Residential,20791743,6217571,790670,306912,0,67243,0,2500,0,1186
37040,3,Multi-Family,8613590,0,0,0,0,0,0,0,0,94
37040,5A,Commercial,1358143,0,0,0,0,0,0,0,0,11
37040,9,Multi-Family Incentive,555608,0,0,0,0,0,0,0,0,6
37040,NA,NA,0,0,0,0,0,0,0,0,0,48
37041,1,Vacant,115555,0,0,0,0,0,0,0,0,37
37041,2,Residential,37384457,13686086,2288571,764900,0,131547,0,22337,0,2068
37041,3,Multi-Family,1159881,0,0,0,0,0,0,0,0,11
37041,5A,Commercial,53418,0,0,0,0,0,0,0,0,1
37041,9,Multi-Family Incentive,128906,0,0,0,0,0,0,0,0,1
37041,NA,NA,0,0,0,0,0,0,0,0,0,20
37043,1,Vacant,3003,0,0,0,0,0,0,0,0,1
37043,2,Residential,4152998,437763,47232,38047,0,6000,0,0,0,106
37043,3,Multi-Family,2318649,0,0,0,0,0,0,0,0,9
37043,5B,Industrial,36900,0,0,0,0,0,0,0,0,1
37043,NA,NA,0,0,0,0,0,0,0,0,0,30
37044,1,Vacant,11776,0,0,0,0,0,0,0,0,5
37044,2,Residential,2845375,759936,144414,140454,0,6000,0,2500,0,132
37044,5B,Industrial,108199,0,0,0,0,0,0,0,0,1
37045,1,Vacant,1038471,0,0,0,0,0,0,0,0,388
37045,2,Residential,11381705,4112419,631364,433799,0,24875,0,0,0,958
37045,3,Multi-Family,7532400,0,0,0,0,0,0,0,0,41
37045,5A,Commercial,2770120,0,0,0,0,0,0,0,0,49
37045,5B,Industrial,5918781,0,0,0,0,0,0,0,0,12
37045,8,Commercial/Industrial Incentive,1340052,0,0,0,0,0,0,0,0,11
37045,NA,NA,0,0,0,0,0,0,0,0,0,225
37046,1,Vacant,2463424,0,0,0,0,0,0,0,0,640
37046,2,Residential,28698288,8451783,547231,632172,0,47378,0,0,0,2428
37046,3,Multi-Family,1528734,0,0,0,0,0,0,0,0,23
37046,5A,Commercial,6177749,0,0,0,0,0,0,0,0,34
37046,5B,Industrial,770436,0,0,0,0,0,0,0,0,14
37046,8,Commercial/Industrial Incentive,1391239,0,0,0,0,0,0,0,0,16
37046,NA,NA,0,0,0,0,0,0,0,0,0,452
37047,1,Vacant,4863789,0,0,0,0,0,0,0,0,820
37047,2,Residential,66037826,22221012,2312659,1449345,0,140411,0,10595,0,5010
