tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10002,1,Vacant,310906,0,0,0,0,0,0,0,0,6
10002,2,Residential,12582219,420000,96000,103704,0,0,0,0,0,71
10002,5A,Commercial,49761,0,0,0,0,0,0,0,0,1
10002,NA,NA,0,0,0,0,0,0,0,0,0,24
10003,1,Vacant,183780,0,0,0,0,0,0,0,0,3
10003,2,Residential,169785,10000,0,0,0,0,0,0,0,1
10003,NA,NA,0,0,0,0,0,0,0,0,0,12
10004,NA,NA,0,0,0,0,0,0,0,0,0,11
10005,2,Residential,268339,10000,0,0,0,0,0,0,0,1
10012,1,Vacant,477768,0,0,0,0,0,0,0,0,11
10012,2,Residential,18463259,850000,272000,38299,0,0,0,0,0,111
10012,NA,NA,0,0,0,0,0,0,0,0,0,3
10021,1,Vacant,787138,0,0,0,0,0,0,0,0,82
10021,2,Residential,166247770,9736290,2152000,1528184,0,8000,0,2500,0,1553
10021,3,Multi-Family,2917670,0,0,0,0,0,0,0,0,15
10021,4,Not For Profit,4630091,0,0,0,0,0,0,0,0,1
10021,5A,Commercial,73747019,0,0,0,0,0,0,0,0,111
10021,5B,Industrial,10107170,0,0,0,0,0,0,0,0,9
10021,9,Multi-Family Incentive,699158,0,0,0,0,0,0,0,0,1
10021,NA,NA,0,0,0,0,0,0,0,0,0,104
10030,1,Vacant,979,0,0,0,0,0,0,0,0,1
10030,2,Residential,456026,30000,16000,0,0,0,0,0,0,3
10035,1,Vacant,5470558,0,0,0,0,0,0,0,0,96
10035,2,Residential,159874612,4152690,1136000,119132,0,4000,0,0,0,796
10035,NA,NA,0,0,0,0,0,0,0,0,0,139
10038,1,Vacant,415958,0,0,0,0,0,0,0,0,7
10038,5A,Commercial,10849785,0,0,0,0,0,0,0,0,8
10038,NA,NA,0,0,0,0,0,0,0,0,0,4
10039,1,Vacant,175739,0,0,0,0,0,0,0,0,6
10039,2,Residential,14795297,633300,128000,10647,0,0,0,0,0,100
10039,NA,NA,0,0,0,0,0,0,0,0,0,3
10040,NA,NA,0,0,0,0,0,0,0,0,0,2
10041,1,Vacant,4023193,0,0,0,0,0,0,0,0,229
10041,2,Residential,282861412,10020000,2688000,747133,0,8000,0,7500,0,1292
10041,5A,Commercial,20527758,0,0,0,0,0,0,0,0,40
10041,5B,Industrial,1216109,0,0,0,0,0,0,0,0,1
10041,NA,NA,0,0,0,0,0,0,0,0,0,16
10043,1,Vacant,128521,0,0,0,0,0,0,0,0,7
10043,2,Residential,6344111,210000,64000,49963,0,0,0,0,0,32
10044,1,Vacant,22247,0,0,0,0,0,0,0,0,1
10048,1,Vacant,189623,0,0,0,0,0,0,0,0,3
10048,2,Residential,23692,0,0,0,0,0,0,0,0,4
10048,5A,Commercial,36780646,0,0,0,0,0,0,0,0,9
10053,2,Residential,388601,0,0,0,0,0,0,0,0,3
10055,1,Vacant,196196,0,0,0,0,0,0,0,0,3
10055,2,Residential,5738932,250000,64000,0,0,0,0,0,0,32
10057,1,Vacant,738686,0,0,0,0,0,0,0,0,12
10057,2,Residential,15623147,405000,104000,14439,0,0,0,0,0,59
10057,NA,NA,0,0,0,0,0,0,0,0,0,1
10059,1,Vacant,4247254,0,0,0,0,0,0,0,0,11
10059,2,Residential,64540437,6480000,1496000,763917,0,16000,0,0,0,746
10059,5A,Commercial,9403515,0,0,0,0,0,0,0,0,9
10059,5B,Industrial,36641026,0,0,0,0,0,0,0,0,4
10059,6B,Industrial Incentive,6245121,0,0,0,0,0,0,0,0,6
10059,NA,NA,0,0,0,0,0,0,0,0,0,15
10062,2,Residential,101434,0,0,0,0,0,0,0,0,1
10062,NA,NA,0,0,0,0,0,0,0,0,0,1
10064,1,Vacant,9,0,0,0,0,0,0,0,0,3
10064,2,Residential,10877072,460000,72000,0,0,0,0,0,0,55
10064,NA,NA,0,0,0,0,0,0,0,0,0,1
10065,1,Vacant,32321,0,0,0,0,0,0,0,0,2
10065,NA,NA,0,0,0,0,0,0,0,0,0,3
10069,1,Vacant,482358,0,0,0,0,0,0,0,0,23
10069,2,Residential,31429040,1060000,232000,6272,0,2000,0,5000,0,140
10074,1,Vacant,15,0,0,0,0,0,0,0,0,5
10074,2,Residential,12240902,970000,672000,226746,0,2000,0,0,0,118
10074,NA,NA,0,0,0,0,0,0,0,0,0,2
10075,1,Vacant,1499227,0,0,0,0,0,0,0,0,4
10075,5B,Industrial,11843144,0,0,0,0,0,0,0,0,1
10076,1,Vacant,19479,0,0,0,0,0,0,0,0,1
10076,2,Residential,92889,10000,8000,0,0,0,0,0,0,1
10076,5A,Commercial,1726553,0,0,0,0,0,0,0,0,1
10076,NA,NA,0,0,0,0,0,0,0,0,0,8
10077,2,Residential,271909,0,0,0,0,0,0,0,0,1
10077,NA,NA,0,0,0,0,0,0,0,0,0,1
10083,1,Vacant,90829,0,0,0,0,0,0,0,0,1
10083,2,Residential,561985,30000,8000,0,0,0,0,0,0,5
10085,1,Vacant,318,0,0,0,0,0,0,0,0,1
10085,2,Residential,6906084,330000,120000,16937,0,0,0,0,0,47
10085,NA,NA,0,0,0,0,0,0,0,0,0,1
10086,1,Vacant,21806,0,0,0,0,0,0,0,0,2
10086,2,Residential,3881971,200000,40000,0,0,0,0,0,0,25
10086,NA,NA,0,0,0,0,0,0,0,0,0,2
10088,1,Vacant,15,0,0,0,0,0,0,0,0,5
10088,2,Residential,4659763,170000,32000,2000,0,0,0,0,0,18
10088,NA,NA,0,0,0,0,0,0,0,0,0,1
10089,1,Vacant,3,0,0,0,0,0,0,0,0,1
10089,2,Residential,3350035,90000,32000,0,0,0,0,0,0,14
10089,NA,NA,0,0,0,0,0,0,0,0,0,1
10090,1,Vacant,3,0,0,0,0,0,0,0,0,1
10090,2,Residential,3586127,220000,120000,20208,0,0,0,0,0,28
10090,NA,NA,0,0,0,0,0,0,0,0,0,2
10092,1,Vacant,144393,0,0,0,0,0,0,0,0,2
10092,5A,Commercial,5104590,0,0,0,0,0,0,0,0,1
10094,1,Vacant,659983,0,0,0,0,0,0,0,0,18
10094,2,Residential,1400870,0,0,0,0,0,0,0,0,6
10094,5A,Commercial,4925819,0,0,0,0,0,0,0,0,2
10095,1,Vacant,15518,0,0,0,0,0,0,0,0,1
10095,2,Residential,5658620,200000,16000,0,0,0,0,0,0,30
10099,1,Vacant,34819,0,0,0,0,0,0,0,0,1
10099,2,Residential,19034,0,0,0,0,0,0,0,0,2
10100,1,Vacant,414,0,0,0,0,0,0,0,0,1
10100,2,Residential,2047652,75134,16000,0,0,0,0,0,0,58
10100,3,Multi-Family,701514,0,0,0,0,0,0,0,0,8
10100,5A,Commercial,22080102,0,0,0,0,0,0,0,0,66
10100,NA,NA,0,0,0,0,0,0,0,0,0,7
10101,1,Vacant,33501,0,0,0,0,0,0,0,0,2
10101,2,Residential,1048474,50000,16000,0,0,0,0,0,0,11
10101,5A,Commercial,4846878,0,0,0,0,0,0,0,0,19
10101,NA,NA,0,0,0,0,0,0,0,0,0,16
10104,1,Vacant,3,0,0,0,0,0,0,0,0,1
10104,2,Residential,14389633,770000,328000,18242,0,2000,0,0,0,103
10106,5A,Commercial,4544112,0,0,0,0,0,0,0,0,1
10107,1,Vacant,42302,0,0,0,0,0,0,0,0,3
10107,2,Residential,37312228,1770000,464000,6532,0,2000,0,0,0,208
10107,NA,NA,0,0,0,0,0,0,0,0,0,1
10108,1,Vacant,3,0,0,0,0,0,0,0,0,1
10109,NA,NA,0,0,0,0,0,0,0,0,0,7
10110,1,Vacant,9216851,0,0,0,0,0,0,0,0,33
10110,4,Not For Profit,1753898,0,0,0,0,0,0,0,0,1
10110,5A,Commercial,138094734,0,0,0,0,0,0,0,0,44
10110,5B,Industrial,14965021,0,0,0,0,0,0,0,0,4
10110,NA,NA,0,0,0,0,0,0,0,0,0,7
10112,NA,NA,0,0,0,0,0,0,0,0,0,9
10113,1,Vacant,87913,0,0,0,0,0,0,0,0,2
10113,2,Residential,373866,10000,0,0,0,0,0,0,0,2
10114,1,Vacant,110931,0,0,0,0,0,0,0,0,15
10114,2,Residential,5954260,130000,40000,0,0,0,0,0,0,18
10115,1,Vacant,10479,0,0,0,0,0,0,0,0,1
10116,2,Residential,36294,0,0,0,0,0,0,0,0,2
10118,2,Residential,745,0,0,0,0,0,0,0,0,1
10119,1,Vacant,6,0,0,0,0,0,0,0,0,2
10120,5A,Commercial,906806,0,0,0,0,0,0,0,0,2
10123,NA,NA,0,0,0,0,0,0,0,0,0,1
10124,NA,NA,0,0,0,0,0,0,0,0,0,4
10125,NA,NA,0,0,0,0,0,0,0,0,0,1
10126,2,Residential,238123,10000,8000,0,0,0,0,0,0,1
10126,NA,NA,0,0,0,0,0,0,0,0,0,2
10127,1,Vacant,27448,0,0,0,0,0,0,0,0,2
10127,5A,Commercial,21153689,0,0,0,0,0,0,0,0,5
10128,1,Vacant,153516,0,0,0,0,0,0,0,0,3
10128,5A,Commercial,13886812,0,0,0,0,0,0,0,0,6
10129,1,Vacant,8552,0,0,0,0,0,0,0,0,1
10130,NA,NA,0,0,0,0,0,0,0,0,0,1
10131,1,Vacant,516330,0,0,0,0,0,0,0,0,27
10131,2,Residential,14219656,550000,32000,0,0,0,0,0,0,70
10132,1,Vacant,302243,0,0,0,0,0,0,0,0,26
10132,2,Residential,15483896,690000,24000,0,0,0,0,0,0,71
10132,NA,NA,0,0,0,0,0,0,0,0,0,13
10133,NA,NA,0,0,0,0,0,0,0,0,0,1
10134,1,Vacant,45,0,0,0,0,0,0,0,0,15
10134,2,Residential,14570190,730000,504000,102512,0,2000,0,0,0,104
10135,1,Vacant,69,0,0,0,0,0,0,0,0,23
10135,2,Residential,9817838,530000,336000,0,0,0,0,5000,0,63
10136,1,Vacant,21,0,0,0,0,0,0,0,0,7
10136,2,Residential,4228,0,0,0,0,0,0,0,0,2
10139,1,Vacant,1060839,0,0,0,0,0,0,0,0,41
10139,2,Residential,18762709,520000,40000,0,0,0,0,0,0,68
10140,2,Residential,682,0,0,0,0,0,0,0,0,1
10141,1,Vacant,103329,0,0,0,0,0,0,0,0,1
10141,2,Residential,3876,0,0,0,0,0,0,0,0,1
10141,5A,Commercial,548773,0,0,0,0,0,0,0,0,2
10142,1,Vacant,450405,0,0,0,0,0,0,0,0,1
10142,5A,Commercial,4391031,0,0,0,0,0,0,0,0,1
10145,2,Residential,45782,0,0,0,0,0,0,0,0,1
10146,2,Residential,50442,0,0,0,0,0,0,0,0,1
10148,5A,Commercial,1257089,0,0,0,0,0,0,0,0,3
10149,5A,Commercial,30582235,0,0,0,0,0,0,0,0,2
10150,5A,Commercial,5711226,0,0,0,0,0,0,0,0,2
10151,2,Residential,16536,0,0,0,0,0,0,0,0,1
10151,5A,Commercial,1826272,0,0,0,0,0,0,0,0,1
10152,1,Vacant,1957505,0,0,0,0,0,0,0,0,5
10152,5A,Commercial,2663767,0,0,0,0,0,0,0,0,4
10152,5B,Industrial,519461,0,0,0,0,0,0,0,0,1
10152,NA,NA,0,0,0,0,0,0,0,0,0,4
11001,1,Vacant,110924,0,0,0,0,0,0,0,0,10
11001,2,Residential,297392133,37470200,7679396,12383318,0,212680,0,40000,0,5310
11001,3,Multi-Family,11367114,0,0,0,0,0,0,0,0,75
11001,4,Not For Profit,42377,0,0,0,0,0,0,0,0,7
11001,5A,Commercial,16723783,10000,0,0,0,0,0,0,0,74
11001,5B,Industrial,553862,0,0,0,0,0,0,0,0,12
11001,NA,NA,0,0,0,0,0,0,0,0,0,82
11002,1,Vacant,305337,0,0,0,0,0,0,0,0,19
11002,2,Residential,487074194,66531698,15364754,23643408,0,446000,0,69583,0,8434
11002,3,Multi-Family,13582503,0,0,0,0,0,0,0,0,106
11002,4,Not For Profit,93754,0,0,0,0,0,0,0,0,2
11002,5A,Commercial,52793396,0,0,0,0,0,0,0,0,334
11002,5B,Industrial,577656,0,0,0,0,0,0,0,0,5
11002,7A,Commercial Incentive,460683,0,0,0,0,0,0,0,0,9
11002,NA,NA,0,0,0,0,0,0,0,0,0,235
11009,2,Residential,4417008,590000,151383,70732,0,0,0,0,0,113
11009,3,Multi-Family,2550901,0,0,0,0,0,0,0,0,3
11009,5A,Commercial,14226356,0,0,0,0,0,0,0,0,70
11009,5B,Industrial,157504,0,0,0,0,0,0,0,0,3
11009,NA,NA,0,0,0,0,0,0,0,0,0,24
11011,2,Residential,1979917,100000,8000,28401,0,0,0,0,0,38
11011,3,Multi-Family,113691,0,0,0,0,0,0,0,0,1
11011,5A,Commercial,9650565,0,0,0,0,0,0,0,0,62
11011,5B,Industrial,602777,0,0,0,0,0,0,0,0,7
11013,2,Residential,1789266,50000,16000,34527,0,0,0,0,0,34
11013,3,Multi-Family,705119,0,0,0,0,0,0,0,0,6
11013,5A,Commercial,14723279,0,0,0,0,0,0,0,0,65
11013,9,Multi-Family Incentive,23568,0,0,0,0,0,0,0,0,1
11013,NA,NA,0,0,0,0,0,0,0,0,0,9
11014,1,Vacant,23436,0,0,0,0,0,0,0,0,1
11014,2,Residential,2191110,185000,52939,97748,0,0,0,0,0,47
11014,3,Multi-Family,3703050,0,0,0,0,0,0,0,0,8
11014,5A,Commercial,12821749,0,0,0,0,0,0,0,0,68
11014,9,Multi-Family Incentive,444057,0,0,0,0,0,0,0,0,1
11014,NA,NA,0,0,0,0,0,0,0,0,0,10
11015,1,Vacant,15857,0,0,0,0,0,0,0,0,1
11015,2,Residential,851804,10000,0,0,0,0,0,0,0,13
11015,3,Multi-Family,829578,0,0,0,0,0,0,0,0,8
11015,5A,Commercial,2177218,0,0,0,0,0,0,0,0,18
11017,3,Multi-Family,350799,0,0,0,0,0,0,0,0,4
11017,5A,Commercial,1963801,0,0,0,0,0,0,0,0,4
11017,5B,Industrial,357892,0,0,0,0,0,0,0,0,1
11017,NA,NA,0,0,0,0,0,0,0,0,0,1
11018,5B,Industrial,663851,0,0,0,0,0,0,0,0,10
11019,5A,Commercial,11523675,0,0,0,0,0,0,0,0,2
11020,5A,Commercial,578377,0,0,0,0,0,0,0,0,1
11020,NA,NA,0,0,0,0,0,0,0,0,0,1
11021,5A,Commercial,2913259,0,0,0,0,0,0,0,0,8
11022,5A,Commercial,1155190,0,0,0,0,0,0,0,0,5
11023,2,Residential,97567,0,0,0,0,0,0,0,0,1
11023,5A,Commercial,1623370,0,0,0,0,0,0,0,0,8
11023,NA,NA,0,0,0,0,0,0,0,0,0,1
11024,5B,Industrial,894585,0,0,0,0,0,0,0,0,5
11025,2,Residential,384000,100000,23069,7688,0,0,0,0,0,13
11026,2,Residential,1510939,230000,6041,7188,0,0,0,0,0,47
11026,3,Multi-Family,512285,0,0,0,0,0,0,0,0,2
11026,5A,Commercial,101599,0,0,0,0,0,0,0,0,2
11026,5B,Industrial,26373,0,0,0,0,0,0,0,0,1
11026,9,Multi-Family Incentive,115991,0,0,0,0,0,0,0,0,2
11026,NA,NA,0,0,0,0,0,0,0,0,0,4
11027,5A,Commercial,127638,0,0,0,0,0,0,0,0,2
11028,2,Residential,151478,10000,0,0,0,0,0,0,0,3
11029,1,Vacant,44115,0,0,0,0,0,0,0,0,2
11029,2,Residential,61603,0,0,0,0,0,0,0,0,1
11029,5A,Commercial,2651855,0,0,0,0,0,0,0,0,7
11029,NA,NA,0,0,0,0,0,0,0,0,0,3
11030,3,Multi-Family,423246,0,0,0,0,0,0,0,0,1
11030,5A,Commercial,3827486,0,0,0,0,0,0,0,0,18
11030,NA,NA,0,0,0,0,0,0,0,0,0,3
11031,2,Residential,104992,0,0,0,0,0,0,0,0,1
11031,5A,Commercial,1566020,0,0,0,0,0,0,0,0,13
11032,5A,Commercial,3420499,0,0,0,0,0,0,0,0,1
11033,5A,Commercial,346263,0,0,0,0,0,0,0,0,3
11034,5A,Commercial,1139667,0,0,0,0,0,0,0,0,6
11035,2,Residential,787777,120000,45175,54061,0,0,0,0,0,26
11035,3,Multi-Family,2081226,0,0,0,0,0,0,0,0,14
11035,5A,Commercial,696291,0,0,0,0,0,0,0,0,3
11035,5B,Industrial,199268,0,0,0,0,0,0,0,0,3
11035,NA,NA,0,0,0,0,0,0,0,0,0,4
11036,5A,Commercial,2967,0,0,0,0,0,0,0,0,1
11036,5B,Industrial,675608,0,0,0,0,0,0,0,0,1
11036,NA,NA,0,0,0,0,0,0,0,0,0,11
12005,1,Vacant,24946,0,0,0,0,0,0,0,0,1
12005,5B,Industrial,55295,0,0,0,0,0,0,0,0,1
12005,8,Commercial/Industrial Incentive,7402983,0,0,0,0,0,0,0,0,1
12016,1,Vacant,875667,0,0,0,0,0,0,0,0,59
12016,2,Residential,60771522,13093408,4007387,2023700,0,135359,0,25625,0,1954
12016,3,Multi-Family,1837784,0,0,0,0,0,0,0,0,12
12016,5A,Commercial,3200469,0,0,0,0,0,0,0,0,12
12016,5B,Industrial,1190963,0,0,0,0,0,0,0,0,2
12016,NA,NA,0,0,0,0,0,0,0,0,0,208
12017,1,Vacant,1679179,0,0,0,0,0,0,0,0,22
12017,2,Residential,10412949,1070000,280000,170335,0,12000,0,0,0,136
12017,5A,Commercial,8599267,0,0,0,0,0,0,0,0,9
12017,5B,Industrial,848767,0,0,0,0,0,0,0,0,4
12017,6B,Industrial Incentive,855070,0,0,0,0,0,0,0,0,2
12017,8,Commercial/Industrial Incentive,1061431,0,0,0,0,0,0,0,0,5
12017,NA,NA,0,0,0,0,0,0,0,0,0,11
12018,1,Vacant,3,0,0,0,0,0,0,0,0,1
12018,2,Residential,6676820,1150000,336000,114325,0,8000,0,2500,0,132
12018,NA,NA,0,0,0,0,0,0,0,0,0,3
12019,1,Vacant,1131515,0,0,0,0,0,0,0,0,29
12019,2,Residential,140018156,25561507,6271971,2907133,0,133775,0,57500,0,3348
12019,5A,Commercial,10362986,0,0,0,0,0,0,0,0,17
12019,8,Commercial/Industrial Incentive,135290,0,0,0,0,0,0,0,0,1
12019,NA,NA,0,0,0,0,0,0,0,0,0,52
12020,1,Vacant,262674,0,0,0,0,0,0,0,0,18
12020,2,Residential,63983270,6840001,1896000,516646,0,24000,0,28224,0,897
12020,5A,Commercial,2118476,0,0,0,0,0,0,0,0,26
12020,NA,NA,0,0,0,0,0,0,0,0,0,21
12022,1,Vacant,12191,0,0,0,0,0,0,0,0,5
12022,2,Residential,11647656,1150000,312000,75479,0,6000,0,7500,0,140
12022,NA,NA,0,0,0,0,0,0,0,0,0,1
12023,1,Vacant,1927195,0,0,0,0,0,0,0,0,68
12023,2,Residential,22594024,5750000,1282126,551663,0,46000,0,5000,0,866
12023,3,Multi-Family,1388359,0,0,0,0,0,0,0,0,12
12023,5A,Commercial,5016044,0,0,0,0,0,0,0,0,15
12023,5B,Industrial,6468587,0,0,0,0,0,0,0,0,31
12023,6B,Industrial Incentive,3821554,0,0,0,0,0,0,0,0,23
12023,8,Commercial/Industrial Incentive,2226349,0,0,0,0,0,0,0,0,18
12023,NA,NA,0,0,0,0,0,0,0,0,0,23
12024,1,Vacant,184469,0,0,0,0,0,0,0,0,56
12024,2,Residential,11858479,2829226,570848,271463,0,15000,0,5000,0,544
12024,3,Multi-Family,340932,0,0,0,0,0,0,0,0,3
12024,5A,Commercial,2778593,0,0,0,0,0,0,0,0,7
12024,NA,NA,0,0,0,0,0,0,0,0,0,96
12026,1,Vacant,637193,0,0,0,0,0,0,0,0,223
12026,2,Residential,29981776,7459907,1760514,778690,0,66000,0,0,0,1727
12026,5A,Commercial,1740230,0,0,0,0,0,0,0,0,51
12026,5B,Industrial,4107867,0,0,0,0,0,0,0,0,98
12026,6B,Industrial Incentive,406436,0,0,0,0,0,0,0,0,31
12026,8,Commercial/Industrial Incentive,309475,0,0,0,0,0,0,0,0,22
12026,NA,NA,0,0,0,0,0,0,0,0,0,150
12027,1,Vacant,921992,0,0,0,0,0,0,0,0,41
12027,2,Residential,13101568,3070000,724024,381451,0,24472,0,5000,0,460
12027,5A,Commercial,7095616,0,0,0,0,0,0,0,0,53
12027,5B,Industrial,6896357,0,0,0,0,0,0,0,0,14
12027,6B,Industrial Incentive,1889494,0,0,0,0,0,0,0,0,1
12027,8,Commercial/Industrial Incentive,1994872,0,0,0,0,0,0,0,0,6
12027,9,Multi-Family Incentive,1999936,0,0,0,0,0,0,0,0,1
12027,NA,NA,0,0,0,0,0,0,0,0,0,417
12028,1,Vacant,7485860,0,0,0,0,0,0,0,0,1331
12028,2,Residential,148950427,36824971,7861272,4072662,0,236475,0,35000,0,6363
12028,3,Multi-Family,6530897,0,0,0,0,0,0,0,0,38
12028,4,Not For Profit,117910,0,0,0,0,0,0,0,0,8
12028,5A,Commercial,48683346,10000,8000,0,0,0,0,0,0,324
12028,5B,Industrial,19371929,0,0,0,0,0,0,0,0,159
12028,6B,Industrial Incentive,2614352,0,0,0,0,0,0,0,0,8
12028,8,Commercial/Industrial Incentive,3742551,0,0,0,0,0,0,0,0,32
12028,9,Multi-Family Incentive,119393,0,0,0,0,0,0,0,0,1
12028,NA,NA,0,0,0,0,0,0,0,0,0,1310
12030,1,Vacant,811586,0,0,0,0,0,0,0,0,45
12030,2,Residential,75308483,15940047,4435644,2050062,0,110000,0,27500,0,1954
12030,3,Multi-Family,2676790,0,0,0,0,0,0,0,0,1
12030,4,Not For Profit,30667,0,0,0,0,0,0,0,0,1
12030,5A,Commercial,3793867,0,0,0,0,0,0,0,0,23
12030,5B,Industrial,814705,0,0,0,0,0,0,0,0,4
12030,8,Commercial/Industrial Incentive,422296,0,0,0,0,0,0,0,0,2
12030,NA,NA,0,0,0,0,0,0,0,0,0,50
12032,2,Residential,175226,20000,0,0,0,0,0,0,0,2
12033,1,Vacant,513,0,0,0,0,0,0,0,0,3
12033,2,Residential,19613753,4134808,1063768,554317,0,50508,0,10000,0,515
12033,NA,NA,0,0,0,0,0,0,0,0,0,15
12034,1,Vacant,1903054,0,0,0,0,0,0,0,0,529
12034,2,Residential,5576550,1646024,193423,122893,0,0,0,0,0,595
12034,5A,Commercial,560703,3875,0,0,0,0,0,0,0,8
12034,5B,Industrial,1417434,0,0,0,0,0,0,0,0,2
12034,8,Commercial/Industrial Incentive,1010564,0,0,0,0,0,0,0,0,2
12034,NA,NA,0,0,0,0,0,0,0,0,0,308
12035,1,Vacant,85734,0,0,0,0,0,0,0,0,19
12035,2,Residential,7410568,1256652,1972921,197589,0,4156,0,0,0,259
12035,5A,Commercial,509423,0,0,0,0,0,0,0,0,3
12035,5B,Industrial,44503,0,0,0,0,0,0,0,0,1
12035,NA,NA,0,0,0,0,0,0,0,0,0,89
12036,2,Residential,4158493,893627,1016000,167974,0,4000,0,0,0,147
12036,NA,NA,0,0,0,0,0,0,0,0,0,8
12037,1,Vacant,517632,0,0,0,0,0,0,0,0,65
12037,2,Residential,5652804,2247033,67674,201895,0,14756,0,347,0,537
12037,5A,Commercial,408638,0,0,0,0,0,0,0,0,3
12037,5B,Industrial,103644,0,0,0,0,0,0,0,0,1
12037,NA,NA,0,0,0,0,0,0,0,0,0,27
12038,2,Residential,125571,20000,8000,0,0,0,0,0,0,10
12038,NA,NA,0,0,0,0,0,0,0,0,0,7
12039,2,Residential,142117,30000,8000,0,0,0,0,0,0,4
12039,NA,NA,0,0,0,0,0,0,0,0,0,5
12040,1,Vacant,959214,0,0,0,0,0,0,0,0,57
12040,2,Residential,79675572,14252263,3639680,1787870,0,128792,0,35625,0,1904
12040,5A,Commercial,1398335,0,0,0,0,0,0,0,0,8
12040,5B,Industrial,974644,0,0,0,0,0,0,0,0,6
12040,8,Commercial/Industrial Incentive,112592,0,0,0,0,0,0,0,0,2
12040,NA,NA,0,0,0,0,0,0,0,0,0,36
12041,1,Vacant,5223497,0,0,0,0,0,0,0,0,348
12041,2,Residential,33283261,3630000,926263,756521,0,36000,0,0,0,563
12041,3,Multi-Family,9739202,0,0,0,0,0,0,0,0,11
12041,5A,Commercial,11437136,10000,0,0,0,0,0,0,0,44
12041,5B,Industrial,3442588,10000,0,0,0,0,0,0,0,18
12041,6B,Industrial Incentive,184684,0,0,0,0,0,0,0,0,1
12041,8,Commercial/Industrial Incentive,1311814,0,0,0,0,0,0,0,0,8
12041,NA,NA,0,0,0,0,0,0,0,0,0,45
12044,5B,Industrial,680790,0,0,0,0,0,0,0,0,1
12044,NA,NA,0,0,0,0,0,0,0,0,0,5
12052,NA,NA,0,0,0,0,0,0,0,0,0,1
12053,1,Vacant,68405,0,0,0,0,0,0,0,0,2
12053,3,Multi-Family,342416,0,0,0,0,0,0,0,0,4
12054,1,Vacant,681191,0,0,0,0,0,0,0,0,28
12054,2,Residential,17943929,4477200,1211909,761624,0,26000,0,0,0,562
12054,5A,Commercial,10426176,0,0,0,0,0,0,0,0,34
12054,8,Commercial/Industrial Incentive,1221258,0,0,0,0,0,0,0,0,6
12054,NA,NA,0,0,0,0,0,0,0,0,0,35
12055,1,Vacant,646,0,0,0,0,0,0,0,0,3
12055,2,Residential,4933821,630000,336000,70717,0,8000,0,0,0,71
12055,NA,NA,0,0,0,0,0,0,0,0,0,2
12059,1,Vacant,1313199,0,0,0,0,0,0,0,0,100
12059,2,Residential,6884306,720000,144000,112676,0,8000,0,5000,0,90
12059,5A,Commercial,207111,10000,0,0,0,0,0,0,0,2
12062,NA,NA,0,0,0,0,0,0,0,0,0,1
12064,1,Vacant,1249939,0,0,0,0,0,0,0,0,48
12064,2,Residential,50619612,15488420,1784467,697108,0,97591,0,27500,0,2985
12064,3,Multi-Family,6076077,0,0,0,0,0,0,0,0,2
12064,5A,Commercial,5326358,0,0,0,0,0,0,0,0,14
12064,5B,Industrial,12771274,0,0,0,0,0,0,0,0,12
12064,6B,Industrial Incentive,571462,0,0,0,0,0,0,0,0,2
12064,8,Commercial/Industrial Incentive,100050,0,0,0,0,0,0,0,0,1
12064,NA,NA,0,0,0,0,0,0,0,0,0,108
12072,1,Vacant,698180,0,0,0,0,0,0,0,0,8
12072,2,Residential,298389,60000,24000,22099,0,0,0,0,0,9
12072,5A,Commercial,170680,0,0,0,0,0,0,0,0,4
12072,NA,NA,0,0,0,0,0,0,0,0,0,10
12075,1,Vacant,60571,0,0,0,0,0,0,0,0,2
12075,2,Residential,37334059,8732800,2362444,1285981,0,74000,0,21665,0,1055
12075,NA,NA,0,0,0,0,0,0,0,0,0,11
12077,5B,Industrial,1100340,0,0,0,0,0,0,0,0,2
12077,NA,NA,0,0,0,0,0,0,0,0,0,1
12085,3,Multi-Family,304273,0,0,0,0,0,0,0,0,1
12089,3,Multi-Family,194662,0,0,0,0,0,0,0,0,1
12089,5A,Commercial,269321,0,0,0,0,0,0,0,0,1
12093,1,Vacant,43767,0,0,0,0,0,0,0,0,1
12093,2,Residential,176691,40000,0,0,0,0,0,0,0,4
12093,5A,Commercial,100930,0,0,0,0,0,0,0,0,2
12093,5B,Industrial,39738,0,0,0,0,0,0,0,0,1
12093,NA,NA,0,0,0,0,0,0,0,0,0,3
12094,2,Residential,1344813,310000,208000,56860,0,10000,0,5000,0,35
12094,NA,NA,0,0,0,0,0,0,0,0,0,3
12098,2,Residential,13769574,2690000,712000,249116,0,16000,0,21437,0,310
12098,NA,NA,0,0,0,0,0,0,0,0,0,3
12105,2,Residential,64612,10000,8000,0,0,0,0,0,0,1
12108,5A,Commercial,2037185,0,0,0,0,0,0,0,0,8
12113,NA,NA,0,0,0,0,0,0,0,0,0,3
12119,1,Vacant,14848,0,0,0,0,0,0,0,0,1
12119,2,Residential,43788,0,0,0,0,0,0,0,0,4
12119,5B,Industrial,970133,0,0,0,0,0,0,0,0,2
12120,2,Residential,99719,20000,16000,17190,0,0,0,0,0,2
12121,2,Residential,32837,0,0,0,0,0,0,0,0,3
12121,3,Multi-Family,1303508,0,0,0,0,0,0,0,0,1
