year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2022,261044 - STANDARD BANK & TRUST,0,6,0,37030,0,0,Exempt,Non-Incentive,South,0,Calumet City,Changes Land Use,Never Incentive,Never TIF,590,0,93616,0,0,-93616,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3102622 - ANTHONY J. CHRISTOFARO,0,6,0,31200,1,0,Exempt,Non-Incentive,South,0,Bellwood,Changes Land Use,Never Incentive,Always TIF,593,0,367128,0,0,-367128,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,3104377 - ALLIED PACKAGING,0,6,0,31210,1,0,Exempt,Non-Incentive,South,0,Melrose Park,Changes Land Use,Never Incentive,Always TIF,"580, 593",0,435180,0,0,-435180,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,3113624 - 1809 MANNHEIM LLC,0,6,0,31019,0,0,Exempt,Non-Incentive,South,0,Stone Park,Changes Land Use,Never Incentive,Never TIF,593,0,421364,0,0,-421364,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3119181 - OLD SECOND NATL BK,0,6,0,31140,1,0,Exempt,Non-Incentive,South,0,Broadview,Changes Land Use,Never Incentive,Always TIF,"517, 590, 592",0,1124352,0,0,-1124352,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,3212908 - OLYMPIA SHOPPES LLC,0,6,0,32174,1,0,Exempt,Non-Incentive,South,0,Olympia Fields,Changes Land Use,Never Incentive,Changes,"517, 530, 590",0,7629944,0,0,-7629944,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,3901605 - BRADY GILL FUNERAL  HO,0,6,0,39018,0,0,Exempt,Non-Incentive,South,0,Evergreen Park,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,400932,0,0,-400932,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7222810 - CONCEPT SCHOOLS,0,6,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,"100, 580, 593",0,1078484,0,0,-1078484,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7704341 - CLINTON ASSOC LTD PTNR,0,6,0,77036,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"590, 592",0,2241724,0,0,-2241724,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1510319 - ROBERT KLOSAK,0,5,0,15002,0,0,Exempt,Non-Incentive,South,0,Cicero,Changes Land Use,Never Incentive,Never TIF,593,0,409056,0,0,-409056,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,202772 - FDIC AS REC NATL BANK,0,5,0,15002,0,0,Exempt,Non-Incentive,South,0,Cicero,Changes Land Use,Never Incentive,Never TIF,"528, 590",0,1208824,0,0,-1208824,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,265184 - THOMAS R NOLAN,0,5,0,37317,1,0,Exempt,Non-Incentive,South,0,Homewood,Changes Land Use,Never Incentive,Changes,"517, 590",0,297032,0,0,-297032,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,3118745 - CREMERIA SANTA MARIA I,0,5,0,31058,0,0,Exempt,Non-Incentive,North,0,North Lake,Changes Land Use,Never Incentive,Never TIF,593,0,888128,0,0,-888128,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3118883 - GARY LEISS,0,5,0,31088,0,0,Exempt,Non-Incentive,South,0,Westchester,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,319992,0,0,-319992,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,32193040170000,0,5,0,12127,1,0,Exempt,Non-Incentive,South,0,Chicago Heights,Changes Land Use,Never Incentive,Always TIF,"517, 590",0,797788,0,0,-797788,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,3703208 - SOPRAMCO NEW HAMPSHIRE,0,5,0,37051,0,0,Exempt,Non-Incentive,South,0,Harvey,Changes Land Use,Never Incentive,Never TIF,"590, 592",0,411208,0,0,-411208,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,3703718 - CITCD,0,5,0,37322,1,0,Exempt,Non-Incentive,South,0,Harvey,Changes Land Use,Never Incentive,Changes,"580, 593",0,144408,0,0,-144408,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,7011712 - EAST SIDE COLUMBIAN AS,0,5,0,70062,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"590, 597",0,73296,0,0,-73296,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7014447 - KINAN JUNEJO,0,5,0,70002,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,523,0,1237856,0,0,-1237856,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,7121964 - 5635 BELMONT LLC,0,5,0,71078,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,592,0,786132,0,0,-786132,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7204776 - ALL ELECTRIC MOTOR REP,0,5,0,72163,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"100, 517",0,297360,0,0,-297360,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7218157 - JAVAID ZAFAR,0,5,0,72104,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,517,0,1164452,0,0,-1164452,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,7310789 - ROSE GROSSINGER,0,5,0,73083,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,"517, 590",0,1662188,0,0,-1662188,Changes,Multi Land Uses,Always TIF,Never Incentive,1
