year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2011,7131109 - 2525 PETERSON LLC,0,1,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,592,0,850000,NA,850000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7135051 - CITY COLLEGES OF CHICA,0,2,0,71001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,0,0,0,NA,0,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7137772 - 3430 DIVERSEY LLC,0,1,0,71058,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,592,0,941240,NA,941240,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7143337 - COMM. FIRST HLTH CARE,0,31,0,71004.09677419355,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,"501, 522, 590, 597",0,39608124,NA,39608124,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7210009 - LOUIS KOCSIS,0,6,0,72094,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"517, 590",0,350204,NA,350204,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7210097 - GROW GREATER ENGLEWOOD,0,1,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,597,0,1552948,NA,1552948,Changes,Multi Land Uses,Changes,Never Incentive,0
2011,7210616 - J & W RENAISSANCE LLC,0,3,0,72163,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"590, 592",0,413820,NA,413820,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7211889 - NAEIL HUSSEIN,0,2,0,72082,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,590,0,129552,NA,129552,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7213902 - FRANCISCO LAZCANO,0,2,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,"590, 593",0,2866748,NA,2866748,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7214630 - CIVIC TRUCKING GROUP,0,1,0,72102,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,190,0,354700,NA,354700,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7215142 - OREO DEPARTMENT,0,1,0,72003,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,705000,NA,705000,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7215536 - ROCHEL STRUCTURING,0,3,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,597,0,356040,NA,356040,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7215983 - STOCKYARD BRICK LLC,0,2,0,72078,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Changes,0,"580, 593",0,979432,NA,979432,Changes,Multi Land Uses,Changes,Never Incentive,1
2011,7215987 - LEGACY 1983 LLC,0,6,0,72167,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"517, 590",0,495600,NA,495600,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7216621 - JOSE ABEL FERNANCEZ,0,2,0,72094,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,517,0,247504,NA,247504,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7216699 - WALK THE PLANET LLC,0,1,0,72101,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,592,0,173196,NA,173196,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7216815 - AYMAN OWAYNAT,0,1,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,593,0,1756412,NA,1756412,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,7217326 - JBS 1 PROPERTY LLC,0,1,0,72094,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,597,0,211168,NA,211168,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7217805 - LONNIE D NEWMAN III,0,1,0,72102,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,206,0,83860,NA,83860,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,"7217866 - 9455 HOYNE,LLC",0,1,0,72035,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,517,0,249996,NA,249996,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7217989 - NETWORK BARBERS COLLEG,0,1,0,72163,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,517,0,145000,NA,145000,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7218088 - SHRED LLC,0,1,0,72121,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,592,0,586432,NA,586432,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7218410 - KIDS R FIRST LEARNING,0,2,0,72001,0,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Never TIF,0,592,0,389136,NA,389136,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2011,"7218987 - 1947 DAMEN COMMONS, LL",0,2,0,72042,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Never Incentive,Always TIF,0,"517, 590",0,1112532,NA,1112532,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2011,7219035 - CONOR GLOBE CHICAGO,0,1,0,72071,1,0,Exempt,Non-Incentive,City,0,Chicago,Changes Land Use,Changes Sometime,Always TIF,0,663,0,11227360,NA,11227360,Changes,Multi Land Uses,Always TIF,Changes,1
