year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2016,Countryside,2710,2242,48,284,41,11,0,1568,15444090,642363581,25957618,55902725,0,4555101,0,0,6729048,702821342,468191200,45633734,183428648,80,22912029.04,8.537,267974229.91350964,7.695,9.17,3233.504,4444.365,286837109,80,1564,535,255,4,35,0,4,0,1.475,3.26,0.086,0.914,0.022,0.037,0.006,0.01,0
2016,Crestwood,6164,5450,184,211,40,28,0,3762,10531220,696552260,32636328,127702476,0,19424169,0,0,17618056,843691568,582952170,58689760,188282788,153,34513185.68,11.965,286573800.2175552,9.458,12.53,2171.685,3066.819,335957015,153,3761,1237,727,1,79,0,3,0,3.072,4.091,0.12,0.826,0.012,0.039,0.023,0.021,0
2016,Deer Park,17,11,0,0,0,0,0,8,0,2551363,0,199772,0,0,0,0,19977,2751140,2718810,0,0,5,70461.31,9.683,715198.0308566788,6.987,9.852,3387.767,7425.639,771198,5,8,0,0,0,0,0,0,0,2.865,2.561,0.099,0.927,0,0,0,0.007,0
2016,Deerfield,73,1,4,52,0,0,0,0,0,215151701,0,0,0,0,0,0,0,215151750,18454200,5652856,189787284,13,11790651.8,8.303,142489977.24501315,7.876,8.566,NA,NA,142490007,13,0,0,0,0,0,0,0,0,0.69,5.48,0.083,1,0,0,0,0,0
2016,Des Plaines,23916,21636,291,930,1236,52,6,16644,239586570,5223665499,306639748,645955918,0,198641324,0,65277500,89217607,6068262700,4693913750,629907106,708976004,715,187426641.86,9.791,1913422924.5649495,8.614,11.563,4441.013,5186.719,2163517704,715,16638,4931,2327,6,287,0,15,0,2.949,3.089,0.098,0.861,0.039,0.051,0.033,0.015,0.011
2016,Dixmoor,2120,1121,47,124,699,13,13,615,2987530,61940565,26507972,14729495,264805,11187930,0,2987530,3490244,88122602,58526270,12362610,12741272,342,4308662.43,17.791,24218213.872182563,17.791,17.791,1704.377,1167.884,34002043,342,613,172,132,2,18,0,0,1,0,4.889,0.178,0.703,0.034,0.301,0.127,0.04,0.034
2016,Dolton,9407,8299,102,326,137,21,6,5960,12924175,568048121,23982124,175210011,0,4707784,0,7679350,18369417,747931047,647293220,24748782,64423745,497,45821019.94,24.283,190414948.79466158,20.224,26.156,4812.921,3433.908,241898293,497,5956,1249,851,1,239,0,13,0,5.932,6.126,0.241,0.759,0.017,0.032,0.006,0.025,0.01
2016,East Dundee,2,0,0,1,2,0,0,0,0,2580832,11009562,0,0,8428613,0,0,1500500,11009562,0,0,5726772,0,127273.65000000001,9.882,1287934.1226472375,9.882,9.882,NA,NA,5494194,0,0,0,0,0,0,0,0,0,0,1.156,0.099,0.234,0,1,0.766,0.136,0
2016,East Hazelcrest,665,481,37,22,13,7,0,319,3983300,52578159,6190238,10321825,0,731257,0,0,1214997,63631262,45066400,9169544,7463428,108,3953192.69,20.016,19750163.319344528,20.016,20.016,5550.186,3292.623,23156052,108,318,98,60,1,13,0,0,0,0,6.213,0.2,0.826,0.063,0.097,0.011,0.019,0
2016,Elgin,7824,7026,102,174,164,5,0,5401,10864910,1211193647,21238322,171653071,0,4793287,0,0,17817152,1387612716,1187260190,70772382,94222724,254,46066877.81,11.373,403858304.4372208,11.113,12.285,4602.526,4463.301,453772909,254,5398,989,492,2,88,1,14,0,1.172,3.32,0.114,0.873,0.008,0.015,0.003,0.013,0
2016,Elk Grove Village,14181,12269,1248,277,463,227,68,9465,499917670,4318197104,686809380,357330504,0,120077326,0,250554890,60526515,4795509644,2844466710,1502718898,423612116,309,165077655.95,9.457,1774414314.300364,8.327,10.381,4651.413,5520.176,1944055455,309,9464,2741,1189,0,149,0,16,0,2.054,3.442,0.093,0.9,0.104,0.143,0.025,0.013,0.052
2016,Elmwood Park,8416,7952,28,299,202,0,0,5933,0,1529443836,44918158,240666272,0,1651546,0,0,24475864,1771630692,1684186720,4240308,81902584,129,46891355.52,10.1,464270846.7326733,10.1,12.001,5307.097,5016.201,532844966,129,5929,1675,924,3,117,0,9,0,1.901,2.647,0.101,0.863,0,0.025,0.001,0.014,0
2016,Evanston,24934,22733,127,703,713,4,0,14769,1483630,8425784995,358605936,562092833,0,176246617,0,0,80727534,9164025846,8361821450,47808050,732426976,1134,242417404.78,9.075,2670041312.654782,9.028,12.452,6135.403,9070.168,2896309051,1134,14747,3771,1006,15,109,0,12,0,3.424,2.645,0.091,0.919,0,0.039,0.019,0.009,0
2016,Evergreen Park,8968,8115,52,432,280,0,0,6475,0,1049217360,50624840,184769770,0,11923150,0,0,21372570,1245909742,1051740780,6763624,179685788,219,52308875.3,14.129,367740221.9451363,14.123,17.972,4256.525,4130.779,427651632,219,6475,1482,740,0,105,1,15,0,3.849,4.198,0.142,0.842,0,0.041,0.01,0.017,0
2016,Flossmoor,4194,3837,1,83,0,2,0,3032,7790410,690318461,0,93629017,0,0,0,0,9362902,783862224,725509340,224104,49985650,176,39858824.78,18.872,211346554.35301682,18.03,18.893,7959.396,8847.898,237568772,176,3030,924,262,0,34,0,10,0,0.863,5.085,0.189,0.881,0.01,0,0,0.012,0
2016,Ford Heights,1956,780,13,32,466,13,4,323,8990080,34759682,7577028,7561079,0,357829,0,388170,846864,43097086,23045470,6411476,5951400,569,3868049.03,38.251,11125303.086313995,23.172,38.591,2515.647,1133.542,13381859,569,323,53,97,0,5,0,0,0,15.419,8.975,0.348,0.807,0.209,0.176,0.008,0.02,0.009
