tax_code,class,av,eav,pins_in_class,parcel_count_in_class,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,total_bill
10055,100,65340,196196,3,3,15727.029999999999,0,0,15727.029999999999,15727.029999999999,0,0,0,0,15727.029999999999
10055,203,41740,125333,1,1,10046.69,0,0,10046.69,10046.69,0,0,0,0,10046.69
10055,204,572728,1719730,9,9,131761.36,0,6092.159600176568,137853.52,131761.36,0,0,0,0,131761.36
10055,208,461748,1386491,7,7,104407.68,0,6733.439558089892,111141.12,104407.68,0,0,0,0,104407.68
10055,209,323623,971743,4,4,73405.95999999999,0,4488.959705393261,77894.92,73405.95999999999,0,0,0,0,73405.95999999999
10055,241,11107,33351,1,1,2673.42,0,0,2673.42,2673.42,0,0,0,0,2673.42
10055,278,500311,1502284,10,10,112567.4,0,7855.6794844382075,120423.08,112567.4,0,0,0,0,112567.4
10056,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10057,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10057,100,226130,679001,11,11,60078.01,0,0,60078.01,60078.01,0,0,0,0,60078.01
10057,190,19877,59685,1,1,5280.9400000000005,0,0,5280.9400000000005,5280.9400000000005,0,0,0,0,5280.9400000000005
10057,204,566158,1700004,8,8,143160.98,0,7255.359512029044,150416.34,143160.98,0,0,0,0,143160.98
10057,205,37791,113475,1,1,8447.62,0,1592.6398928844242,10040.26,8447.62,0,0,0,0,8447.62
10057,208,1154816,3467567,14,14,292437.66,0,14372.601753347388,306810.25,292437.66,0,0,0,0,292437.66
10057,209,3003924,9019883,26,26,781002.56,0,17076.638851482992,798079.2,781002.56,0,0,0,0,781002.56
10057,239,4535,4535,1,1,401.26,0,0,401.26,401.26,0,0,0,0,401.26
10057,241,15567,46743,2,2,4135.83,0,0,4135.83,4135.83,0,0,0,0,4135.83
10057,278,420241,1261858,7,7,105632.51000000001,0,6016.639595341158,111649.15,105632.51000000001,0,0,0,0,105632.51000000001
10059,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
10059,100,1414478,4247254,11,11,400558.55,0,0,400558.55,400558.55,0,0,0,0,400558.55
10059,203,4345820,13049200,172,172,1043316.4400000001,0,187353.78969928544,1230670.31,1043316.4400000001,0,0,0,0,1043316.4400000001
10059,204,123939,372153,4,4,32079.84,0,3017.919931690002,35097.76,32079.84,0,0,0,0,32079.84
10059,207,3680096,11050221,138,138,896663.44,0,145482.88563702477,1042146.33,896663.44,0,0,0,0,896663.44
10059,234,2629889,7896772,101,101,635391.09,0,109353.66855480216,744744.69,635391.09,0,0,0,0,635391.09
10059,239,15275,15275,3,3,1440.5700000000002,0,0,1440.5700000000002,1440.5700000000002,0,0,0,0,1440.5700000000002
10059,241,5644,16947,7,7,1598.26,0,0,1598.26,1598.26,0,0,0,0,1598.26
10059,278,10693468,32109278,321,321,2647663.49,0,380562.24975605163,3028225.8,2647663.49,0,0,0,0,2647663.49
10059,517,1598434,4799618,4,4,452651.97000000003,0,0,452651.97000000003,452651.97000000003,0,0,0,0,452651.97000000003
10059,523,479507,1439816,1,1,135789.06,0,0,135789.06,135789.06,0,0,0,0,135789.06
10059,531,679998,2041830,2,2,192564.99,0,0,192564.99,192564.99,0,0,0,0,192564.99
10059,580,55598,166944,1,1,15744.49,0,0,15744.49,15744.49,0,0,0,0,15744.49
10059,590,365747,1098229,1,1,103573.98,0,0,103573.98,103573.98,0,0,0,0,103573.98
10059,593,12147095,36474082,3,3,3439870.6,0,0,3439870.6,3439870.6,0,0,0,0,3439870.6
10059,597,8000,24022,1,1,2265.5,0,0,2265.5,2265.5,0,0,0,0,2265.5
10059,663,2036701,6115602,4,4,576762.41,0,0,576762.41,576762.41,0,0,0,0,576762.41
10059,670,43134,129519,2,2,12214.94,0,0,12214.94,12214.94,0,0,0,0,12214.94
10060,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10061,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10062,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10062,278,33781,101434,1,1,11082.68,0,0,11082.68,11082.68,0,0,0,0,11082.68
10064,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10064,100,3,9,3,3,0.72,0,0,0.72,0.72,0,0,0,0,0.72
10064,204,376997,1132010,7,7,86894.37,0,6077.619584379481,92971.99,86894.37,0,0,0,0,86894.37
10064,208,2087026,6266714,29,29,493824.13,0,20861.018573410656,514685.14999999997,493824.13,0,0,0,0,493824.13
10064,278,1158406,3478348,19,19,268922.18,0,16754.518854235328,285676.7,268922.18,0,0,0,0,268922.18
10065,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
10065,100,10764,32321,2,2,2912.44,0,0,2912.44,2912.44,0,0,0,0,2912.44
10069,100,160642,482358,23,23,38742.9,0,0,38742.9,38742.9,0,0,0,0,38742.9
10069,204,991424,2976949,15,15,225753.61000000002,0,13354.966270810055,239108.56,225753.61000000002,0,0,0,0,225753.61000000002
10069,208,3432697,10307357,51,51,785959.67,0,41927.0375851788,827886.71,785959.67,0,0,0,0,785959.67
10069,209,5539226,16632634,59,59,1293684.63,0,42248.31756667442,1335932.95,1293684.63,0,0,0,0,1293684.63
10069,241,34216,102741,6,6,8252.16,0,0,8252.16,8252.16,0,0,0,0,8252.16
10069,278,469362,1409353,8,8,105890.08,0,7309.119579025423,113199.2,105890.08,0,0,0,0,105890.08
10069,290,2,6,1,1,0.49,0,0,0.49,0.49,0,0,0,0,0.49
10071,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10072,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10074,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
10074,100,5,15,5,5,1.2,0,0,1.2,1.2,0,0,0,0,1.2
10074,203,2850245,8558435,85,85,591200.7,0,111703.5270211083,702904.24,591200.7,0,0,0,0,591200.7
10074,204,1226386,3682467,33,33,260500.07,0,41940.83145185897,302440.92,260500.07,0,0,0,0,260500.07
10075,100,499293,1499227,4,4,137359.16,0,0,137359.16,137359.16,0,0,0,0,137359.16
10075,593,3944165,11843144,1,1,1085068.83,0,0,1085068.83,1085068.83,0,0,0,0,1085068.83
10076,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
10076,100,6487,19479,1,1,1432.67,0,0,1432.67,1432.67,0,0,0,0,1432.67
10076,203,30935,92889,1,1,5508.08,0,1323.899938584534,6831.98,5508.08,0,0,0,0,5508.08
10076,597,575000,1726553,1,1,126987.97,0,0,126987.97,126987.97,0,0,0,0,126987.97
10077,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10077,204,90555,271909,1,1,22535.81,0,0,22535.81,22535.81,0,0,0,0,22535.81
10078,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10080,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,0
10083,100,30249,90829,1,1,8429.85,0,0,8429.85,8429.85,0,0,0,0,8429.85
10083,209,78851,236766,1,1,21046.16,0,928.0999365807525,21974.260000000002,21046.16,0,0,0,0,21046.16
10083,241,8672,26039,2,2,2416.68,0,0,2416.68,2416.68,0,0,0,0,2416.68
10083,278,99637,299180,2,2,25168.23,0,2598.6798224261065,27766.91,25168.23,0,0,0,0,25168.23
10085,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10085,100,106,318,1,1,25.53,0,0,25.53,25.53,0,0,0,0,25.53
10085,202,16402,49250,1,1,3955.7400000000002,0,0,3955.7400000000002,3955.7400000000002,0,0,0,0,3955.7400000000002
10085,204,1107306,3324907,20,20,248422.27,0,18634.238926746133,267056.51,248422.27,0,0,0,0,248422.27
10085,205,45173,135641,1,1,10894.68,0,0,10894.68,10894.68,0,0,0,0,10894.68
10085,208,547668,1644483,9,9,123089,0,8995.839481877443,132084.84,123089,0,0,0,0,123089
10085,209,90708,272369,1,1,21073.48,0,803.1999537390575,21876.68,21073.48,0,0,0,0,21073.48
10085,224,12503,37543,1,1,3015.44,0,0,3015.44,3015.44,0,0,0,0,3015.44
10085,241,1549,4651,4,4,373.56,0,0,373.56,373.56,0,0,0,0,373.56
10085,278,478649,1437240,10,10,106368.03,0,9071.099317542794,115439.12,106368.03,0,0,0,0,106368.03
10086,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
10086,100,7262,21806,2,2,2018.81,0,0,2018.81,2018.81,0,0,0,0,2018.81
10086,204,623739,1872900,11,11,161727.99,0,11665.079537482965,173393.07,161727.99,0,0,0,0,161727.99
10086,208,203517,611100,3,3,53798.24,0,2777.3998898768964,56575.64,53798.24,0,0,0,0,53798.24
10086,209,225112,675944,3,3,59060.869999999995,0,3518.0398605107353,62578.91,59060.869999999995,0,0,0,0,59060.869999999995
10086,241,9341,28047,3,3,2596.6,0,0,2596.6,2596.6,0,0,0,0,2596.6
