year,class_group,cty_mc_PC,cty_mc_parcels,cty_mc_PC_residential,cty_mc_PC_industrial,cty_mc_PC_commercial,cty_mc_PC_com_incent,cty_mc_PC_com_incent_inTIF,cty_mc_PC_ind_incent,cty_mc_PC_ind_incent_inTIF,cty_mc_PC_inTIF,cty_mc_PC_withincents,cty_mc_PC_incents_inTIFs,cty_mc_PC_claimed_exe,cty_mc_PC_comandind,cty_mc_PC_comandind_inTIF,cty_mc_fmv_incentive,cty_mc_fmv_taxed,cty_mc_fmv_incents_inTIFs,cty_mc_fmv_inTIF,cty_mc_fmv_incents_tif_increment,cty_mc_fmv_tif_increment,cty_mc_fmv_untaxable_value,cty_mc_fmv,cty_mc_fmv_exemptions,cty_mc_fmv_abatements,cty_mc_zero_bill,cty_mc_fmv_residential,cty_mc_fmv_c2,cty_mc_fmv_industrial,cty_mc_fmv_indwithincent,cty_mc_fmv_ind_incent_inTIF,cty_mc_fmv_commercial,cty_mc_fmv_comwithincent,cty_mc_fmv_com_incent_inTIF,cty_mc_fmv_comandind,cty_mc_levy,cty_mc_current_rate_avg,cty_mc_avg_C2_bill_noexe,cty_mc_avg_C2_bill_withexe,cty_mc_av_taxed,cty_mc_av_taxed_commerc,cty_mc_av_taxed_indust,cty_mc_untaxable_value_av,cty_mc_av,cty_mc_final_tax_to_dist,cty_mc_final_tax_to_tif,cty_mc_taxed_eav,cty_mc_taxed_eav_commerc,cty_mc_taxed_eav_indust,exempt_allexemptions_eav,exempt_GHE_eav,exempt_SR_eav,exempt_FR_eav,exempt_LTHO_eav,exempt_DIS_eav,exempt_VET_eav,total_value_eav,untaxable_value_eav,has_HO_exemp,has_SR_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,cty_mc_taxable_value_fmv,cty_mc_pct_fmv_untaxable,cty_mc_pct_fmv_taxed,cty_mc_pct_fmv_incentinTIF,cty_mc_pct_fmv_incents_tif_increment,cty_mc_pct_av_taxed,cty_mc_pct_av_untaxable,cty_mc_pct_incent_oftotalPC,cty_mc_pct_incent_ofcomPC,cty_mc_pct_incent_ofindPC,cty_mc_pct_PC_incent_inTIF
2017,8A,469,439,0,0,469,469,182,0,0,182,469,182,3,469,182,400350916.6666667,315099415.67952096,164878683.33333334,164878683.33333334,84401568.54950373,84401568.54950373,56234717.97876237,400350916.6666667,0,7619948.020386809,0,0,0,0,0,0,400350916.6666667,400350916.6666667,164878683.33333334,400350916.6666667,17852619.344453406,0.19632044776119403,NA,NA,31830126.237762176,31830126.237762176,0,56234717.97876237,40443115,17852619.344453406,4300952.295546596,94303115.00461799,94303115.00461799,0,2257562,0,0,0,0,0,0,119820816.8105,166606598.95567927,0,0,0,0,0,0,0,3,344116198.6879043,0.14046356742972954,0.7870580597218256,0.4118354085613642,0.21081897164675836,0.7870344862843076,1.3904645569156178,1,1,NA,0.3880597014925373
2017,8B,474,461,0,474,0,0,0,474,160,160,474,160,11,474,160,291884550,184355250.79836693,144658050,144658050,103236251.96970813,103236251.96970813,37335014.3992657,291884550,0,690630.168427448,0,0,0,291884550,291884550,144658050,0,0,0,291884550,11504660.164275697,0.19967559071729957,NA,NA,19286248.19627482,0,19286248.19627482,37335014.3992657,30178940,11504660.164275697,4658144.855724304,57139367.53110341,0,57139367.53110341,204613,0,0,0,0,0,0,89411145.538,110612447.1607045,0,0,0,0,0,0,0,11,254549535.6007343,0.12791021107237674,0.6316033198686499,0.49560022961133093,0.3536886483704195,0.6390631412592629,1.2371214628236014,1,NA,1,0.33755274261603374
2017,9,468,468,0,0,0,0,0,0,0,196,0,0,0,0,0,0,474385628.6220051,0,231319450,0,86529803.11394934,8652980.311394935,571903790,0,0,1,0,0,0,0,0,0,0,0,0,12276119.592751747,0.09042991452991453,NA,NA,47438562.86220051,0,0,8652980.311394935,57190379,12276119.592751747,1913307.2472482536,140546230.19184145,0,0,0,0,0,0,0,0,0,169437935.8633,25636184.76856977,0,0,0,0,0,0,0,0,563250809.6886051,0.015130132834746445,0.8294850233847989,NA,NA,0.8294850233847989,0.15130132834746446,0,NA,NA,NA
2018,0,96485,95656,0,0,0,0,0,0,0,36637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96485,0,0,0,0,0,0,0,0,0,0,0.10764316743535265,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2018,1,63578,63482,0,0,0,0,0,0,0,22005,0,0,1,0,0,0,3172546890.558466,0,1700811270,0,879833582.4791762,87983615.90019011,4053317850,2576.522724930434,0,4377,0,0,0,0,0,0,0,0,0,90789348.7487231,0.11068952247632828,NA,NA,317254689.0558466,0,0,87983615.90019011,405331785,90789348.7487231,19830635.4512769,923496674.3726639,0,0,750,0,0,0,0,0,750,1179880292.9565,256111507.52386338,0,0,0,0,0,0,1,0,3965334234.0998096,0.021706567102846405,0.7827037029821053,NA,NA,0.7827037029821053,0.21706567102846405,0,NA,NA,NA
2018,2,1580283,1146416,1580283,0,0,0,0,0,0,167082,0,0,1019868,0,0,0,326273257861.40314,0,42065246780,0,15589238977.517622,6877193220.409639,395131495520,53162818521.19667,37600.05496581813,32085,395131495520,395131495520,0,0,0,0,0,0,0,8361323539.049928,0.10013994928123637,5142.190372688097,5697.633930224303,32630467448.747826,0,0,6877193220.409639,39516794854,8361323539.049928,331271599.81007206,94984027696.56004,0,0,15475253788.335,10034431061,2257364811,2798852597,96733335,36182765,251678274.33499998,115029438140.50859,20018821745.290447,1016895,288703,160942,2759,18600,26,6635,3,388254302299.59033,0.01740482168185336,0.8257333610726774,NA,NA,0.8257366916852792,0.17403216140930292,0,NA,NA,NA
2018,3,26035,18432,26035,0,0,0,0,0,0,6398,0,0,41,0,0,0,25271967966.14434,0,7540030050,0,3603988697.097565,362759219.4297744,28945853930,13619097.186437184,9984400.013741454,38,28945853930,0,0,0,0,0,0,0,0,587076023.6855636,0.0873216577683887,NA,NA,2527196796.6144342,0,0,362759219.4297744,2894585393,587076023.6855636,76296562.23443648,7356417155.264956,0,0,6870742,81000,3726598,156785,0,0,0,8425848620.4837,1055955811.8381302,9,23,3,0,0,0,0,11,28583094710.570225,0.012532337802403,0.873077298989339,NA,NA,0.873077298989339,0.12532337802402999,0,NA,NA,NA
2018,4,418,347,0,22,396,0,0,0,0,103,0,0,0,418,103,0,353833167.0517481,0,158098378,0,52519511.54229888,10528899.335943967,406352773,0,0,7,0,0,5968340,0,0,400384433,0,0,406352773,17256775.691800214,0.0997961004784689,NA,NA,72840531.82524441,71473432.40232982,1367099.4229145995,10528899.335943967,83369450,17256775.691800214,2122499.8181997864,212031504.09010395,208052014.37994182,3979489.7101621074,0,0,0,0,0,0,0,242680132.005,30648573.07699929,0,0,0,0,0,0,0,0,395823873.66405606,0.02591073578312696,0.8707536666711712,NA,NA,0.8737077169783946,0.12629205705380048,0,0,0,NA
2018,5A,70624,65822,0,0,70624,0,0,0,0,27476,0,0,103,70624,27476,0,62596814329.37047,0,22591011476,0,10119996678.788097,2534311967.457167,72736740552,12287714.452574806,4963476.58799684,443,0,0,0,0,0,72736740552,0,0,72736740552,3762038349.3992763,0.09894399807430901,NA,NA,15649203582.342617,15649203582.342617,0,2534311967.457167,18184185138,3762038349.3992763,582253318.5407236,45553266707.84112,45553266707.84112,0,12554123,5725838,2148000,797869,269370,1000,0,52932344518.20419,7377128706.071068,86,23,13,3,1,0,0,13,70202428584.54283,0.03484225369770824,0.860594162651811,NA,NA,0.860594162651811,0.13936901479083297,0,0,NA,NA
2018,5B,23079,22451,0,23079,0,0,0,0,0,11281,0,0,27,23079,11281,0,9636156099.053053,0,4693429360,0,2056539353.147041,515157328.581858,11694000376,156299.42629427326,3933661.7540966715,18,0,0,11694000376,0,0,0,0,0,11694000376,744965392.8319279,0.1034844291347112,NA,NA,2409039024.763263,0,2409039024.763263,515157328.581858,2923500094,744965392.8319279,121989466.3580721,7012471697.183383,0,7012471697.183383,2976367,99000,0,0,14743,0,0,8510016423.624599,1499571467.7689304,11,0,0,1,0,0,0,15,11178843047.418142,0.04405313083785538,0.8240256361569535,NA,NA,0.8240256361569535,0.1762125233514215,0,NA,0,NA
