clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Berwyn,q50,1,20961,62940,6526,6917,391,1468.0999473253155,13.96,12.19,566,-1.7700000000000014
Blue Island,q50,1,20951,62910,7407,7285,-122,1368.6998955935194,14.24,11.76,47,-2.4800000000000004
Bridgeview,q50,1,20975,62982,5868,6554,686,1291.99994926106,12.87,11.79,161,-1.08
Broadview,q50,1,21038,63172,6032,6420,388,1307.2998871622935,12.44,10.98,14,-1.459999999999999
Brookfield,q50,1,21034,63159,6070,6446,376,1346.199945455733,12.62,11.09,733,-1.5299999999999994
Burbank,q50,1,21044,63189,5681,6014,332,1228.899954404446,12.29,10.7,317,-1.5899999999999999
Calumet City,q50,1,20998,63051,13173,12812,-361,2483.0999671784152,24.83,20.32,1,-4.509999999999998
Chicago,q50,1,21000,63057,3133,3320,187,671.599999292102,6.71,5.86,7283,-0.8499999999999996
Chicago Heights,q50,1,20968,62962,10028,9812,-216,3959.2798707042566,21.58,17.35,14,-4.229999999999997
Chicago Ridge,q50,1,20953,62916,6171,6500,330,1248.59992175943,12.53,10.96,35,-1.5699999999999985
Cicero,q50,1,21114,63400,6411,6698,287,1437.5999557815985,14.38,12.27,44,-2.110000000000001
Country Club Hills,q50,1,21006,63075,11476,11147,-329,2595.499880218498,24.22,19.4,41,-4.82
Countryside,q50,1,21168,63561,3567,4141,574,806.3999526385637,7.76,7.41,25,-0.34999999999999964
Crestwood,q50,1,20978,62991,5112,5525,413,1990.3499048155259,11.2,9.95,64,-1.25
Des Plaines,q50,1,21054,63218,4922,5454,532,1023.6999825273496,10.03,9.24,544,-0.7899999999999991
Elk Grove Village,q50,1,21090,63326,4680,5338,658,924.4999872306148,9.44,8.96,138,-0.47999999999999865
Elmwood Park,q50,1,21063,63246,6254,6653,399,1250.8999560333343,12.51,11.09,331,-1.42
Evanston,q50,1,21121,63420,4098,4655,557,895.6999930687798,8.9,8.35,122,-0.5500000000000007
Evergreen Park,q50,1,21027,63138,6118,6500,382,1273.1999527243106,12.73,11.21,177,-1.5199999999999996
Flossmoor,q50,1,21020,63117,8807,9325,518,1794.499932069382,17.94,15.78,207,-2.160000000000002
Forest Park,q50,1,21120,63417,5873,6464,591,1133.7999425427,11.34,10.46,59,-0.879999999999999
Forestview,q50,1,20935,62862,6641,7054,414,1326.3999366041205,13.26,11.74,11,-1.5199999999999996
Franklin Park,q50,1,20904,62768,6507,7229,722,1319.0999496980617,13.05,12.11,31,-0.9400000000000013
Glencoe,q50,1,21555,64723,5679,5917,239,477.3999868223294,9.55,9.3,3,-0.25
Glenview,q50,1,21147,63498,4330,4701,371,834.899993023996,8.45,7.8,33,-0.6499999999999995
Glenwood,q50,1,21054,63219,9136,8657,-479,1921.899885162787,18.96,14.85,4,-4.110000000000001
Harwood Heights,q50,1,21102,63363,4392,4881,488,914.9999464382868,8.99,8.28,89,-0.7100000000000009
Hazelcrest,q50,1,21066,63256,11898,11607,-291,2386.7998753853913,23.84,19.37,30,-4.469999999999999
Hickory Hills,q50,1,21033,63156,5711,6065,354,1202.8999544555395,11.97,10.51,371,-1.4600000000000009
Hillside,q50,1,20965,62952,6100,6747,647,1518.699950009198,13.39,12.12,49,-1.2700000000000014
