clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Alsip,q25,0,14465,43434,5548,5087,-461,0,12.84,11.78,66,-1.0600000000000005
Arlington Heights,q25,0,14182,42584,4399,4105,-294,0,10.27,9.59,6,-0.6799999999999997
Bedford Park,q25,0,14470,43449,6310,6140,-170,0,14.53,14.14,4,-0.3899999999999988
Bellwood,q25,0,14398,43232,7477,6176,-1301,0,17.3,14.3,124,-3
Berkeley,q25,0,14322,43005,6272,5382,-890,0,14.59,12.52,1,-2.0700000000000003
Berwyn,q25,0,14342,43065,5866,5128,-738,0,13.63,11.92,45,-1.7100000000000009
Blue Island,q25,0,14208,42662,6465,5484,-981,0,15.08,12.79,39,-2.290000000000001
Bridgeview,q25,0,14370,43148,5774,5279,-495,0,13.35,12.21,40,-1.1399999999999988
Broadview,q25,0,14607,43860,5342,5015,-327,0,12.25,11.5,32,-0.75
Brookfield,q25,0,14523,43608,5306,4682,-624,0,12.24,10.8,8,-1.4399999999999995
Burbank,q25,0,14314,42982,5277,4595,-682,0,12.29,10.7,94,-1.5899999999999999
Calumet City,q25,0,14318,42993,11079,8664,-2415,0,25.87,20.24,19,-5.630000000000003
Calumet Park,q25,0,14196,42624,8792,7869,-923,0,20.63,18.46,2,-2.169999999999998
Chicago,q25,0,14000,42038,2824,2461,-363,0,6.71,5.85,2611,-0.8600000000000003
Chicago Heights,q25,0,14358,43113,8840,7228,-1612,0,20.56,16.81,23,-3.75
Chicago Ridge,q25,0,14160,42518,5340,4676,-664,0,12.5,10.94,27,-1.5600000000000005
Cicero,q25,0,14288,42903,6178,5273,-905,0,14.38,12.27,107,-2.110000000000001
Country Club Hills,q25,0,14343,43068,10830,8544,-2286,0,25.07,19.78,39,-5.289999999999999
Countryside,q25,0,14634,43940,3492,3366,-126,0,7.95,7.66,2,-0.29000000000000004
Crestwood,q25,0,14340,43059,4731,4388,-343,0,10.96,10.16,17,-0.8000000000000007
Des Plaines,q25,0,14494,43521,4443,4104,-339,0,10.24,9.46,19,-0.7799999999999994
Dixmoor,q25,0,14314,42981,7628,6542,-1086,0,17.75,15.22,1,-2.5299999999999994
Dolton,q25,0,14303,42948,10828,8563,-2265,0,25.26,19.98,15,-5.280000000000001
East Hazelcrest,q25,0,14020,42098,8956,7589,-1367,0,21.27,18.03,2,-3.2399999999999984
Elmwood Park,q25,0,14189,42605,5366,4758,-608,0,12.51,11.09,5,-1.42
Evanston,q25,0,14268,42843,3799,3624,-175,0,8.85,8.44,15,-0.41000000000000014
Evergreen Park,q25,0,14310,42968,5473,4820,-653,0,12.73,11.21,66,-1.5199999999999996
Flossmoor,q25,0,14472,43456,7775,6842,-933,0,17.94,15.78,16,-2.160000000000002
Ford Heights,q25,0,14264,42832,7116,7068,-48,0,16.61,16.5,2,-0.10999999999999943
Forest Park,q25,0,14360,43117,4898,4513,-385,0,11.34,10.45,8,-0.8900000000000006
Forestview,q25,0,14258,42812,5679,5028,-651,0,13.26,11.74,2,-1.5199999999999996
Franklin Park,q25,0,14273,42858,5334,4950,-385,0,12.99,12.06,21,-0.9299999999999997
Glencoe,q25,0,14810,44470,4246,4135,-111,0,9.55,9.3,1,-0.25
Glenview,q25,0,14090,42308,3642,3405,-237,0,8.53,7.97,7,-0.5599999999999996
Glenwood,q25,0,14219,42695,8102,6151,-1951,0,18.9,14.34,49,-4.559999999999999
Harvey,q25,0,14350,43090,10946,9420,-1526,0,25.32,21.76,6,-3.5599999999999987
Harwood Heights,q25,0,14154,42500,3821,3479,-341,0,8.97,8.17,3,-0.8000000000000007
Hazelcrest,q25,0,14324,43010,10679,8103,-2576,0,24.86,18.86,8,-6
Hickory Hills,q25,0,14277,42870,5196,4711,-485,0,12.12,10.99,13,-1.129999999999999
Hillside,q25,0,14430,43328,6077,5326,-751,0,14.02,12.29,2,-1.7300000000000004
Hoffman Estates,q25,0,14698,44134,4866,4371,-495,0,11.16,10.02,6,-1.1400000000000006
Homewood,q25,0,14438,43353,6990,5847,-1143,0,16.2,13.55,124,-2.6499999999999986
Justice,q25,0,14537,43650,4951,4398,-553,0,11.43,10.15,12,-1.2799999999999994
La Grange,q25,0,14562,43724,4016,3759,-256,0,9.25,8.66,4,-0.5899999999999999
La Grange Park,q25,0,14352,43095,4197,3847,-351,0,9.74,8.93,1,-0.8100000000000005
Lansing,q25,0,14204,42652,8616,6918,-1698,0,20.12,16.16,76,-3.960000000000001
Lemont,q25,0,14212,42672,3360,3141,-219,0,7.84,7.33,12,-0.5099999999999998
Lincolnwood,q25,0,14462,43425,4171,3970,-201,0,9.66,9.2,35,-0.46000000000000085
Lynwood,q25,0,14450,43389,6318,5350,-967,0,14.6,12.36,16,-2.24
Lyons,q25,0,14341,43062,4950,4425,-525,0,11.47,10.25,85,-1.2200000000000006
Markham,q25,0,14412,43275,11296,9396,-1900,0,26.36,21.93,7,-4.43
Matteson,q25,0,14362,43125,7821,6905,-916,0,18.13,16,88,-2.129999999999999
Maywood,q25,0,14394,43221,8146,6789,-1357,0,18.87,15.72,131,-3.1500000000000004
Melrose Park,q25,0,14396,43226,4970,4640,-330,0,11.53,10.77,42,-0.7599999999999998
Merrionette Park,q25,0,14367,43140,4809,4437,-372,0,11.16,10.29,6,-0.870000000000001
Midlothian,q25,0,14182,42584,6443,5256,-1186,0,15.04,12.27,83,-2.7699999999999996
Morton Grove,q25,0,14087,42299,4882,4453,-429,0,11.49,10.48,15,-1.0099999999999998
Mt Prospect,q25,0,14485,43494,4505,4096,-409,0,10.36,9.42,2,-0.9399999999999995
Niles,q25,0,14371,43152,3870,3598,-272,0,8.96,8.33,2,-0.6300000000000008
Norridge,q25,0,13842,41563,3620,3318,-302,0,8.71,7.98,2,-0.7300000000000004
North Lake,q25,0,14410,43269,5855,5414,-440,0,13.59,12.56,47,-1.0299999999999994
Northbrook,q25,0,14440,43359,3626,3497,-129,0,8.36,8.06,3,-0.29999999999999893
Oak Forest,q25,0,14384,43191,6552,5576,-975,0,15.19,12.92,47,-2.2699999999999996
Oak Lawn,q25,0,14310,42969,5202,4563,-639,0,12.1,10.61,108,-1.4900000000000002
Oak Park,q25,0,14739,44257,5515,5140,-376,0,12.46,11.61,1,-0.8500000000000014
Olympia Fields,q25,0,14458,43414,8090,7129,-962,0,18.77,16.54,12,-2.2300000000000004
Orland Hills,q25,0,14278,42874,4502,4010,-492,0,10.54,9.39,32,-1.1499999999999986
Orland Park,q25,0,14316,42988,4148,3857,-291,0,9.63,8.96,8,-0.6699999999999999
Palatine,q25,0,14469,43446,4722,4323,-399,0,10.82,9.9,3,-0.9199999999999999
Palos Heights,q25,0,14376,43167,4956,4489,-467,0,11.48,10.4,2,-1.08
Palos Hills,q25,0,14458,43413,5120,4544,-576,0,11.78,10.45,4,-1.33
Palos Park,q25,0,14266,42838,3981,3729,-253,0,9.29,8.7,2,-0.5899999999999999
Park Forest,q25,0,14166,42538,18692,13651,-5042,0,43.94,32.09,2,-11.849999999999994
Park Ridge,q25,0,14140,42458,4307,4028,-279,0,10.12,9.47,11,-0.6499999999999986
Phoenix,q25,0,14591,43812,13123,7079,-6044,0,29.95,16.16,1,-13.79
Posen,q25,0,14326,43018,6252,5119,-1133,0,14.59,11.96,10,-2.629999999999999
Prospect Heights,q25,0,14186,42596,4652,4300,-351,0,10.92,10.1,1,-0.8200000000000003
Richton Park,q25,0,14250,42787,8007,6531,-1476,0,18.69,15.25,32,-3.4400000000000013
River Grove,q25,0,14182,42586,5495,4892,-604,0,12.88,11.47,8,-1.4100000000000001
Riverdale,q25,0,14273,42858,12695,9769,-2926,0,29.62,22.79,1,-6.830000000000002
Robbins,q25,0,14138,42452,6289,5530,-759,0,14.74,12.96,7,-1.7799999999999994
Rolling Meadows,q25,0,14327,43020,4745,4111,-633,0,11.03,9.56,1,-1.4699999999999989
Sauk Village,q25,0,14301,42942,7436,709,-6727,0,17.32,1.65,2,-15.67
Schaumburg,q25,0,13858,41611,4200,3994,-206,0,10.09,9.6,1,-0.4900000000000002
Schiller Park,q25,0,14458,43413,5482,5122,-361,0,12.77,11.93,5,-0.8399999999999999
Skokie,q25,0,14509,43566,4188,3952,-236,0,9.65,9.11,56,-0.5400000000000009
South Chicago Heights,q25,0,14000,42038,5623,4845,-778,0,13.38,11.53,2,-1.8500000000000014
South Holland,q25,0,14301,42942,8200,6768,-1432,0,19.12,15.78,173,-3.3400000000000016
Stickney,q25,0,14438,43353,5540,4777,-763,0,12.8,11.03,13,-1.7700000000000014
Stone Park,q25,0,14284,42890,7026,6323,-703,0,16.36,14.72,8,-1.6399999999999988
Streamwood,q25,0,14474,43460,5284,4643,-641,0,12.18,10.7,158,-1.4800000000000004
Summit,q25,0,14264,42831,6003,5341,-662,0,13.98,12.44,49,-1.540000000000001
Tinley Park,q25,0,14455,43404,6020,5251,-769,0,13.91,12.13,51,-1.7799999999999994
Westchester,q25,0,14555,43704,4278,3656,-622,0,9.84,8.41,9,-1.4299999999999997
Western Springs,q25,0,14445,43374,3458,3254,-204,0,7.97,7.5,2,-0.46999999999999975
Wheeling,q25,0,14251,42791,5292,4812,-480,0,12.34,11.22,42,-1.1199999999999992
Willow Springs,q25,0,14090,42308,5621,4956,-665,0,13.3,11.72,7,-1.58
Wilmette,q25,0,14393,43218,3637,3490,-146,0,8.43,8.09,6,-0.33999999999999986
Worth,q25,0,14437,43350,5657,4920,-736,0,13.08,11.37,30,-1.7100000000000009
Alsip,q50,0,21054,63219,8041,7502,-539,0,12.73,11.88,16,-0.8499999999999996
Arlington Heights,q50,0,21247,63798,6328,5894,-434,0,9.94,9.26,21,-0.6799999999999997
Barrington,q50,0,21072,63274,5202,5004,-198,0,8.21,7.9,8,-0.3100000000000005
Bedford Park,q50,0,20821,62519,9084,8840,-244,0,14.53,14.14,2,-0.3899999999999988
Bellwood,q50,0,21085,63312,10897,9867,-1030,0,17.21,15.58,1,-1.6300000000000008
Berkeley,q50,0,20955,62922,8908,7577,-1331,0,14.07,11.96,5,-2.1099999999999994
Berwyn,q50,0,20897,62747,8664,7570,-1094,0,13.78,12.04,96,-1.7400000000000002
Blue Island,q50,0,20911,62790,9505,8102,-1403,0,15.16,12.92,4,-2.24
Bridgeview,q50,0,20835,62561,8059,7423,-636,0,12.86,11.85,15,-1.0099999999999998
Broadview,q50,0,21133,63456,6837,6260,-577,0,10.77,9.86,4,-0.9100000000000001
Brookfield,q50,0,21022,63124,7998,7049,-949,0,12.66,11.16,132,-1.5
Burbank,q50,0,21082,63303,7770,6765,-1004,0,12.29,10.7,36,-1.5899999999999999
Calumet City,q50,0,20898,62750,17484,13173,-4311,0,27.86,20.99,1,-6.870000000000001
Calumet Park,q50,0,20651,62009,12790,10196,-2594,0,20.63,16.44,1,-4.189999999999998
Chicago,q50,0,21000,63057,4222,3697,-525,0,6.71,5.87,1791,-0.8399999999999999
Chicago Heights,q50,0,21426,64334,13575,11500,-2075,0,21.1,17.88,2,-3.2200000000000024
Chicago Ridge,q50,0,20887,62718,7817,6776,-1041,0,12.49,10.82,4,-1.67
Cicero,q50,0,21032,63152,9089,7757,-1331,0,14.38,12.27,16,-2.110000000000001
Country Club Hills,q50,0,21474,64480,16736,13144,-3591,0,25.95,20.39,1,-5.559999999999999
Countryside,q50,0,20856,62624,4958,4757,-200,0,7.87,7.55,7,-0.3200000000000003
Crestwood,q50,0,20936,62864,6964,6305,-659,0,11.08,10.03,6,-1.0500000000000007
Des Plaines,q50,0,21068,63260,6393,5889,-504,0,10.09,9.3,96,-0.7899999999999991
Dolton,q50,0,20677,62087,14286,12133,-2153,0,23.01,19.54,1,-3.4700000000000024
Elk Grove Village,q50,0,21194,63639,6003,5690,-314,0,9.47,8.97,30,-0.5
Elmwood Park,q50,0,21108,63381,7918,7021,-897,0,12.51,11.09,49,-1.42
Evanston,q50,0,20944,62890,5595,5277,-318,0,8.89,8.39,32,-0.5
Evergreen Park,q50,0,20959,62934,8034,7075,-959,0,12.73,11.21,29,-1.5199999999999996
Flossmoor,q50,0,21218,63711,11397,10016,-1381,0,17.94,15.77,34,-2.1700000000000017
Forest Park,q50,0,21199,63654,7211,6645,-567,0,11.34,10.45,18,-0.8900000000000006
Forestview,q50,0,21477,64489,8554,7574,-980,0,13.26,11.74,1,-1.5199999999999996
Franklin Park,q50,0,20937,62868,8311,7717,-594,0,13.19,12.25,7,-0.9399999999999995
Glencoe,q50,0,20943,62886,5998,5841,-157,0,9.55,9.3,3,-0.25
Glenview,q50,0,20984,63009,5371,4964,-407,0,8.5,7.86,7,-0.6399999999999997
Glenwood,q50,0,21523,64627,11469,9031,-2439,0,17.75,13.97,1,-3.7799999999999994
Harvey,q50,0,21518,64612,18221,14352,-3869,0,28.2,22.21,1,-5.989999999999998
Harwood Heights,q50,0,21094,63338,5715,5249,-467,0,9.03,8.29,24,-0.7400000000000002
Hazelcrest,q50,0,21462,64444,15382,12586,-2795,0,23.87,19.53,1,-4.34
Hickory Hills,q50,0,21066,63256,7585,6687,-898,0,11.98,10.56,48,-1.42
Hillside,q50,0,20872,62674,7760,7257,-503,0,12.35,11.55,6,-0.7999999999999989
Hoffman Estates,q50,0,21110,63387,7068,6349,-719,0,11.16,10.02,211,-1.1400000000000006
Homewood,q50,0,20919,62814,10306,8850,-1456,0,16.36,14.05,22,-2.3099999999999987
Justice,q50,0,21115,63402,7207,6358,-849,0,11.39,10.05,17,-1.3399999999999999
La Grange,q50,0,21307,63979,5778,5412,-365,0,9.11,8.53,13,-0.5800000000000001
La Grange Park,q50,0,21200,63657,7212,6471,-741,0,11.37,10.2,3,-1.17
Lansing,q50,0,21214,63699,12579,8960,-3619,0,19.8,14.11,13,-5.690000000000001
Lemont,q50,0,21095,63342,4957,4634,-322,0,7.84,7.33,27,-0.5099999999999998
Lincolnwood,q50,0,21024,63129,6117,5804,-313,0,9.66,9.17,7,-0.4900000000000002
Lynwood,q50,0,21236,63766,8790,7657,-1133,0,13.83,12.05,14,-1.7799999999999994
Lyons,q50,0,21114,63399,7273,6502,-771,0,11.47,10.25,10,-1.2200000000000006
Markham,q50,0,20936,62865,16571,13784,-2787,0,26.36,21.93,1,-4.43
Matteson,q50,0,21092,63333,11437,8390,-3048,0,18.07,13.25,25,-4.82
Maywood,q50,0,20875,62681,11876,9999,-1877,0,18.83,15.85,7,-2.9799999999999986
Melrose Park,q50,0,21149,63504,6719,6127,-592,0,10.61,9.67,20,-0.9399999999999995
Midlothian,q50,0,21060,63237,9521,7807,-1715,0,15.04,12.33,6,-2.709999999999999
Morton Grove,q50,0,21228,63742,6993,6384,-609,0,11.01,10.05,24,-0.9599999999999991
Mt Prospect,q50,0,21098,63350,6315,5806,-509,0,9.97,9.16,62,-0.8100000000000005
Niles,q50,0,21196,63646,5776,5342,-434,0,9.1,8.42,36,-0.6799999999999997
Norridge,q50,0,20905,62771,5342,4912,-429,0,8.48,7.8,31,-0.6800000000000006
North Lake,q50,0,20706,62174,8429,7754,-676,0,13.48,12.4,5,-1.08
North Riverside,q50,0,21057,63228,6324,5820,-504,0,10.01,9.21,47,-0.7999999999999989
Northbrook,q50,0,21208,63681,5330,5135,-195,0,8.4,8.09,10,-0.3100000000000005
Northfield,q50,0,21152,63513,5177,4976,-201,0,8.15,7.84,6,-0.3100000000000005
Oak Forest,q50,0,21022,63123,8688,7453,-1235,0,13.76,11.81,45,-1.9499999999999993
Oak Lawn,q50,0,21012,63093,7673,6703,-970,0,12.16,10.62,133,-1.540000000000001
Oak Park,q50,0,20988,63019,7863,7327,-535,0,12.46,11.61,6,-0.8500000000000014
Olympia Fields,q50,0,20976,62985,11669,10297,-1373,0,18.5,16.32,23,-2.1799999999999997
Orland Hills,q50,0,20970,62967,6944,6094,-850,0,10.99,9.65,17,-1.3399999999999999
Orland Park,q50,0,21028,63141,6193,5705,-488,0,9.79,9.02,43,-0.7699999999999996
Palatine,q50,0,21070,63268,6850,6269,-581,0,10.82,9.9,146,-0.9199999999999999
Palos Heights,q50,0,20999,63054,6923,6260,-663,0,10.98,9.93,25,-1.0500000000000007
Palos Hills,q50,0,21090,63326,7347,6501,-846,0,11.62,10.28,40,-1.3399999999999999
Palos Park,q50,0,20948,62901,5820,5450,-369,0,9.29,8.7,3,-0.5899999999999999
Park Forest,q50,0,20679,62093,21688,15679,-6008,0,34.93,25.25,1,-9.68
Park Ridge,q50,0,20829,62543,6378,5939,-439,0,10.13,9.43,9,-0.7000000000000011
Posen,q50,0,21396,64246,8704,6909,-1795,0,13.55,10.75,1,-2.8000000000000007
Prospect Heights,q50,0,20966,62955,6907,6353,-553,0,10.99,10.11,5,-0.8800000000000008
Richton Park,q50,0,21174,63579,11898,9801,-2097,0,18.71,15.41,9,-3.3000000000000007
River Forest,q50,0,21144,63489,6526,6191,-335,0,10.36,9.83,3,-0.5299999999999994
River Grove,q50,0,20903,62765,8048,7176,-873,0,12.83,11.44,15,-1.3900000000000006
Riverside,q50,0,21331,64050,7852,7253,-599,0,12.26,11.32,4,-0.9399999999999995
Rolling Meadows,q50,0,20710,62186,6932,6123,-809,0,11.07,9.77,53,-1.3000000000000007
Schaumburg,q50,0,21278,63891,6423,6101,-322,0,10.09,9.59,83,-0.5
Schiller Park,q50,0,20985,63012,8024,7496,-528,0,12.77,11.93,5,-0.8399999999999999
Skokie,q50,0,21189,63624,6694,6249,-445,0,10.54,9.84,45,-0.6999999999999993
South Holland,q50,0,21217,63708,12362,10378,-1984,0,19.43,16.31,11,-3.120000000000001
Stickney,q50,0,20971,62970,8046,6937,-1109,0,12.8,11.03,7,-1.7700000000000014
Stone Park,q50,0,20712,62192,10094,8924,-1169,0,16.23,14.35,1,-1.8800000000000008
Streamwood,q50,0,20949,62904,7650,6691,-959,0,12.15,10.62,75,-1.5300000000000011
Summit,q50,0,20745,62291,8760,7794,-966,0,13.98,12.44,4,-1.540000000000001
Tinley Park,q50,0,21105,63372,7739,6773,-966,0,12.22,10.7,88,-1.5200000000000014
Westchester,q50,0,21125,63432,6228,5501,-728,0,9.84,8.69,151,-1.1500000000000004
Western Springs,q50,0,20616,61904,4936,4719,-216,0,7.97,7.62,1,-0.34999999999999964
Wheeling,q50,0,20936,62864,7761,7080,-681,0,12.31,11.23,46,-1.08
Willow Springs,q50,0,21376,64186,7530,6699,-831,0,11.78,10.48,7,-1.299999999999999
Wilmette,q50,0,20907,62777,5413,5211,-203,0,8.65,8.33,3,-0.3200000000000003
Worth,q50,0,21151,63510,8384,7274,-1110,0,13.24,11.49,15,-1.75
Alsip,q75,0,31436,94393,13012,12209,-803,0,13.79,12.93,2,-0.8599999999999994
Arlington Heights,q75,0,31474,94506,9595,8931,-664,0,10.14,9.44,76,-0.7000000000000011
Barrington,q75,0,31512,94620,7801,7503,-298,0,8.23,7.91,14,-0.3200000000000003
Berwyn,q75,0,31346,94124,13821,12037,-1784,0,14.68,12.79,4,-1.8900000000000006
Bridgeview,q75,0,31290,93956,12065,11068,-997,0,12.84,11.78,2,-1.0600000000000005
Brookfield,q75,0,31890,95756,12552,11096,-1455,0,13.15,11.63,10,-1.5199999999999996
Burbank,q75,0,31574,94806,11622,10120,-1502,0,12.29,10.7,4,-1.5899999999999999
Chicago,q75,0,32000,96086,6415,5897,-519,0,6.7,6.16,903,-0.54
Chicago Ridge,q75,0,31537,94696,11824,10249,-1575,0,12.49,10.82,1,-1.67
Cicero,q75,0,31830,95576,13740,11597,-2143,0,14.38,12.13,1,-2.25
Country Club Hills,q75,0,31676,95115,23339,19977,-3362,0,24.52,21.01,2,-3.509999999999998
Countryside,q75,0,31758,95362,7672,7378,-294,0,8.07,7.76,4,-0.3100000000000005
Crestwood,q75,0,31348,94129,10608,9763,-845,0,11.27,10.37,1,-0.9000000000000004
Des Plaines,q75,0,31632,94982,9472,8721,-751,0,9.99,9.2,20,-0.7900000000000009
Elk Grove Village,q75,0,31428,94369,9346,8645,-701,0,9.9,9.16,32,-0.7400000000000002
Elmwood Park,q75,0,31310,94015,11792,10456,-1336,0,12.51,11.09,8,-1.42
Evanston,q75,0,31492,94562,8411,7914,-497,0,8.88,8.36,28,-0.52000000000000135
Evergreen Park,q75,0,31401,94288,12005,10572,-1433,0,12.73,11.21,2,-1.5199999999999996
Flossmoor,q75,0,31260,93864,16873,14889,-1985,0,17.94,15.83,6,-2.110000000000001
Forest Park,q75,0,31540,94705,10770,9923,-846,0,11.34,10.45,9,-0.8900000000000006
Glencoe,q75,0,31666,95082,9066,8828,-237,0,9.55,9.3,4,-0.25
Glenview,q75,0,31602,94890,7903,7477,-426,0,8.33,7.88,24,-0.4500000000000002
Harwood Heights,q75,0,31773,95404,8545,7847,-697,0,8.97,8.24,8,-0.7300000000000004
Hazelcrest,q75,0,31693,95165,22714,18586,-4128,0,23.87,19.53,1,-4.34
Hickory Hills,q75,0,31666,95082,11276,9933,-1343,0,11.88,10.47,4,-1.4100000000000001
Hillside,q75,0,31799,95483,11693,10901,-792,0,12.25,11.42,1,-0.8300000000000001
Hoffman Estates,q75,0,31715,95231,10674,9701,-973,0,11.22,10.2,55,-1.0200000000000014
Indian Head Park,q75,0,31693,95165,8260,7808,-452,0,8.68,8.2,1,-0.4800000000000004
Inverness,q75,0,31703,95195,9612,8942,-670,0,10.15,9.45,3,-0.7000000000000011
Justice,q75,0,31529,94672,10785,9515,-1270,0,11.39,10.05,1,-1.3399999999999999
La Grange,q75,0,31632,94981,8601,8011,-590,0,9.05,8.43,9,-0.620000000000001
La Grange Park,q75,0,31607,94906,9423,8612,-811,0,9.93,9.07,13,-0.8599999999999994
Lemont,q75,0,31749,95333,7451,6966,-485,0,7.84,7.33,13,-0.5099999999999998
Lincolnwood,q75,0,31466,94483,9150,8704,-446,0,9.66,9.19,64,-0.47000000000000064
Lynwood,q75,0,31833,95585,11450,10715,-735,0,12,11.23,6,-0.7699999999999996
Lyons,q75,0,31643,95014,10897,9741,-1156,0,11.47,10.25,1,-1.2200000000000006
Matteson,q75,0,31361,94168,16948,7302,-9646,0,18,7.75,1,-10.25
Midlothian,q75,0,31494,94567,14194,12084,-2110,0,15.01,12.78,1,-2.2300000000000004
Morton Grove,q75,0,31490,94555,10018,9108,-909,0,10.57,9.61,25,-0.9600000000000009
Mt Prospect,q75,0,31572,94801,9630,8812,-818,0,10.17,9.31,41,-0.8599999999999994
Niles,q75,0,31516,94632,8825,8151,-674,0,9.31,8.6,8,-0.7100000000000009
Norridge,q75,0,31504,94597,8087,7421,-666,0,8.53,7.83,15,-0.6999999999999993
North Riverside,q75,0,31366,94183,9656,8991,-664,0,10.23,9.52,3,-0.7100000000000009
Northbrook,q75,0,31618,94940,8081,7764,-317,0,8.51,8.18,24,-0.33000000000000007
Northfield,q75,0,31681,95128,7704,7439,-265,0,8.13,7.85,6,-0.28000000000000114
Oak Forest,q75,0,31570,94795,12669,10688,-1981,0,13.36,11.27,3,-2.09
Oak Lawn,q75,0,31923,95855,11314,9933,-1381,0,11.88,10.43,11,-1.450000000000001
Oak Park,q75,0,31613,94924,11834,11029,-804,0,12.46,11.62,37,-0.8400000000000016
Olympia Fields,q75,0,31719,95243,16852,14932,-1920,0,17.74,15.72,3,-2.019999999999998
Orland Park,q75,0,31638,94999,9187,8515,-672,0,9.67,8.97,37,-0.6999999999999993
Palatine,q75,0,31512,94621,10248,9363,-884,0,10.84,9.9,56,-0.9399999999999995
Palos Heights,q75,0,31558,94759,10566,9580,-986,0,11.11,10.07,9,-1.0399999999999991
Palos Hills,q75,0,31419,94342,11135,9883,-1252,0,11.78,10.45,8,-1.33
Palos Park,q75,0,31425,94360,8816,8257,-559,0,9.29,8.7,15,-0.5899999999999999
Park Ridge,q75,0,31554,94747,9577,8927,-650,0,10.1,9.42,58,-0.6799999999999997
Prospect Heights,q75,0,31465,94480,10421,9799,-622,0,11.01,10.35,7,-0.6600000000000001
River Forest,q75,0,31598,94879,9849,9344,-506,0,10.36,9.83,3,-0.5299999999999994
River Grove,q75,0,31996,96074,13194,12167,-1026,0,13.73,12.66,1,-1.0700000000000003
Riverside,q75,0,31462,94471,11598,10725,-873,0,12.25,11.33,15,-0.9199999999999999
Rolling Meadows,q75,0,31645,95020,10865,10094,-771,0,11.4,10.59,5,-0.8100000000000005
Rosemont,q75,0,31868,95690,9622,9520,-102,0,10.08,9.97,3,-0.10999999999999943
Schaumburg,q75,0,31560,94765,9566,9081,-485,0,10.09,9.58,49,-0.5099999999999998
Schiller Park,q75,0,31458,94459,12060,11266,-794,0,12.77,11.93,1,-0.8399999999999999
Skokie,q75,0,31519,94642,8766,8238,-528,0,9.24,8.69,53,-0.5500000000000007
South Barrington,q75,0,31243,93813,7772,7517,-255,0,8.29,8.01,1,-0.27999999999999936
Streamwood,q75,0,31700,95186,11645,10560,-1085,0,12.26,11.11,15,-1.1500000000000004
Summit,q75,0,31692,95162,13306,13239,-68,0,13.98,13.91,1,-0.07000000000000028
Tinley Park,q75,0,31536,94693,11159,9802,-1356,0,11.79,10.36,17,-1.4299999999999997
Westchester,q75,0,31749,95333,9053,8221,-832,0,9.53,8.65,7,-0.879999999999999
Western Springs,q75,0,31722,95252,7674,7249,-425,0,8.07,7.62,10,-0.4500000000000002
Wheeling,q75,0,31600,94885,11101,10061,-1040,0,11.73,10.63,18,-1.0999999999999996
Willow Springs,q75,0,31600,94885,9253,8363,-889,0,9.76,8.82,3,-0.9399999999999995
Wilmette,q75,0,31596,94873,7994,7673,-321,0,8.44,8.1,25,-0.33999999999999986
Winnetka,q75,0,31514,94626,8197,7959,-237,0,8.66,8.41,2,-0.25
Worth,q75,0,32074,96309,13019,11254,-1765,0,13.52,11.69,1,-1.83
Alsip,q25,1,14461,43422,3846,4697,852,1296.3999080449637,12.96,11.84,313,-1.120000000000001
Arlington Heights,q25,1,14325,43014,3671,3863,192,501.24999399768234,10.03,9.29,45,-0.7400000000000002
Bedford Park,q25,1,14552,43695,4535,5827,1292,1452.999923289891,14.53,14.14,40,-0.3899999999999988
Bellwood,q25,1,14445,43374,4581,5149,568,1721.199931343485,17.3,14.09,649,-3.210000000000001
Berkeley,q25,1,14181,42581,4543,5051,508,1494.2998913659237,14.73,12.44,5,-2.290000000000001
Berwyn,q25,1,14312,42974,4036,4692,656,1468.0999473253155,13.7,11.98,256,-1.7199999999999989
Blue Island,q25,1,14290,42909,4275,4910,635,1499.6999205783416,14.99,12.75,189,-2.24
Bridgeview,q25,1,14458,43413,3789,4634,845,1291.99994926106,13.19,11.98,160,-1.209999999999999
Broadview,q25,1,14585,43794,3448,4285,838,1307.2998871622935,12.37,11.37,107,-1
Brookfield,q25,1,14351,43092,4395,4528,133,687.7799838841329,12.44,10.99,43,-1.4499999999999993
Burbank,q25,1,14317,42990,3479,4097,617,1228.899954404446,12.29,10.7,395,-1.5899999999999999
Burnham,q25,1,14278,42872,8230,9272,1042,2503.499861502278,25.04,21.63,2,-3.41
Calumet City,q25,1,14201,42641,7095,7486,392,2582.199960856961,25.7,19.9,95,-5.800000000000001
Calumet Park,q25,1,14162,42526,6752,7027,275,2062.5996605944056,20.63,16.44,4,-4.189999999999998
Chicago,q25,1,14000,42038,1714,2062,348,671.599999292102,6.71,5.82,7031,-0.8899999999999997
Chicago Heights,q25,1,14290,42909,5708,6392,684,2021.299903737784,20.46,16.89,91,-3.5700000000000003
Chicago Ridge,q25,1,14168,42542,3493,4103,610,1248.59992175943,12.49,10.84,129,-1.6500000000000004
Cicero,q25,1,14351,43092,4199,4813,614,1437.5999557815985,14.38,12.28,529,-2.1000000000000014
Country Club Hills,q25,1,14279,42876,6766,7287,521,2595.499880218498,24.64,19.45,287,-5.190000000000001
Crestwood,q25,1,14545,43674,2974,3717,743,1126.9999435647123,10.84,9.94,102,-0.9000000000000004
