year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2006,Deerfield,73,0,4,58,0,0,0,0,0,191836805,0,0,0,0,0,0,0,191836840.56353003,0,4823339,185593029,7,12198290.43,6.252,196502022.38083073,5.809,6.395,NA,NA,196502058,0.586,6.359,0.062,1,0,0,0,0,0
2006,Des Plaines,23023,20670,337,919,1284,11,1,16242,80041744,3549204840,248042675,629145771,0,132160142,0,15583519,761305913,4310313832.058745,3181185696,530264834,564696562,764,149882397.76,7.104,2108652158.0672996,6.263,8.43,3779.265,3728.576,2464885762,2.167,3.477,0.071,0.823,0.019,0.058,0.031,0.177,0.004
2006,Dixmoor,2208,1049,41,117,785,0,0,566,0,43557219,24416436,10330796,452136,14008881,0,0,24791813,68349019.03907496,41352888,11096208,10464087,371,3218320.83,11.493,27557753.787758145,11.307,16.078,1386.201,865.942,44577881,4.771,4.709,0.117,0.637,0,0.357,0.205,0.363,0
2006,Dolton,9330,8201,99,293,155,8,1,6013,6538731,511192597,30967981,138535558,4001239,10177297,5914075,5914075,153210481,663834511.1297182,571586177,30382376,52812471,447,34740809.47,13.401,260007536.42123547,12.303,14.238,3776.944,2761.441,333822328,1.935,5.233,0.134,0.77,0.01,0.047,0.015,0.231,0.009
2006,East Dundee,2,0,0,0,0,0,0,0,0,2254466,0,0,0,0,0,0,0,2254486.3636363638,0,0,0,0,94662.57,7.049,1342921.9747481912,7.049,7.049,NA,NA,1342934,0,4.199,0.07,1,0,0,0,0,0
2006,East Hazelcrest,674,485,37,32,11,3,0,325,690288,46048807,6510176,9177422,0,1126093,0,0,10303515,56352315.19803296,40130500,8054632,7354761,92,3324245.02,11.959,27797014.967806675,11.959,11.959,4279.207,2827.55,32913680,0,5.899,0.12,0.817,0.012,0.116,0.02,0.183,0
2006,Elgin,7668,6881,91,177,0,4,0,4880,15820556,837413288,0,134692329,0,0,0,0,134797763,972166188.8390484,817119410,64771820,73368282,228,37452989.43,8.489,440004091.4673546,8.351,9.113,4022.163,3381.266,498367174,0.762,3.853,0.085,0.861,0.016,0,0,0.139,0
2006,Elk Grove Village,13461,11581,1237,249,15,75,0,9560,210766362,3081002104,26867429,316632719,0,24001141,0,0,340633860,3421635570.9370017,1824638356,1262066062,308196063,280,137014916.6,6.826,2091815620.9484723,5.735,7.956,3719.314,3780.067,2253680269,2.221,4.004,0.066,0.9,0.062,0.008,0.007,0.1,0
2006,Elmwood Park,8206,7738,30,307,84,0,0,5917,0,979979467,10742645,262250899,0,6354123,0,0,268605022,1248312745.9097555,1180654490,5321944,60460348,100,37283336.16,8.038,463838469.2709629,8.038,8.873,4892.307,3847.077,582947857,0.835,2.987,0.08,0.785,0,0.009,0.005,0.215,0
2006,Evanston,24031,21774,144,722,1255,1,1,14684,1507000,4492756311,320472860,581769223,0,238017989,0,1507000,819787211,5312447274.3288145,4759394288,47086086,480161955,1116,175383413.81,7.803,2245458792.57722,7.75,9.819,5012.479,6733.172,2675022410,2.069,3.301,0.078,0.846,0,0.06,0.045,0.154,0
2006,Evergreen Park,9021,8146,45,475,277,0,0,6659,0,740833648,39615102,224636757,0,10151770,0,0,234788527,975622011.9377991,831098144,6037792,132456848,204,41352436.12,10.241,400192037.72524405,10.239,11.705,3874.461,3137.456,506509529,1.466,4.239,0.103,0.759,0,0.041,0.01,0.241,0
2006,Flossmoor,4208,3830,1,77,46,0,0,3081,0,553022098,8289387,82374698,0,6407138,0,0,88781836,641740152.4481659,607838400,344075,25797000,146,31424757.89,12.361,254402589.1280344,11.576,12.376,7103.404,7375.01,295004366,0.8,4.897,0.124,0.862,0,0.013,0.01,0.138,0
2006,Ford Heights,1947,848,10,36,0,9,0,336,3468781,26297036,0,6437652,0,0,0,0,6764637,33061656.77830941,21976619,3647008,2975262,470,2857118.96,21.366,14005637.2972707,13.907,21.522,1898.641,1110.08,16794536,7.615,8.642,0.204,0.795,0.105,0,0,0.205,0
2006,Forest Park,5703,5030,80,291,97,1,0,3070,2211706,645569842,37937724,136286874,0,24164437,0,0,160451310,805996200.3748007,672640317,40807340,89985257,253,31653675.61,8.999,353950156.1563971,7.125,9.003,4455.172,3472.182,435000621,1.878,3.927,0.089,0.801,0.003,0.047,0.03,0.199,0
2006,Forestview,440,269,61,32,0,0,0,227,0,75269489,0,12235303,0,0,0,0,12235303,87504776.69457735,36383562,38776983,9715326,48,5316584.38,9.198,59820687.09403214,6.7,11.012,5317.708,3382.947,65121216,4.312,6.076,0.089,0.86,0,0,0,0.14,0
2006,Frankfort,1,1,0,0,0,0,0,0,0,115219,0,0,0,0,0,0,196919,312137.5,312138,0,0,0,3453.09,6.918,49914.57068516913,6.918,6.918,3453.09,NA,49942,0,1.106,0.069,0.369,0,0,0,0.631,0
2006,Franklin Park,7876,6085,912,336,247,34,1,4793,114139619,1184320609,73510845,189635309,0,37312312,0,12189181,226947621,1411268032.7943914,726177421,580682241,89859153,405,70184823.45,8.572,814473939.3411012,7.089,9.732,3991.128,3026.965,923234162,2.643,4.973,0.086,0.839,0.081,0.052,0.026,0.161,0.009
2006,Glencoe,3813,3513,0,60,0,0,0,2592,0,1804416286,0,110032450,0,0,0,0,110032450,1914448166.1961722,1867562125,0,40736882,207,58843549.8,7.317,805287546.0931109,6.504,7.684,13624.933,16624.598,852955121,1.18,3.074,0.073,0.943,0,0,0,0.057,0
