nbhd_code,nbh_current_rate,major_class_code,nbhd_3,triad_name,nbh_final_tax_to_dist,nbh_tif_rev,nbh_nonTIF_EAV_post_exemps,nbh_TIF_increment_EAV,nbh_exe_and_abates_frombills,Total_EAV,TC_MC_PC,TC_MC_AV,TC_MC_EAV,TC_MC_res_exe,nbh_mc_exe_homeowner,nbh_mc_exe_senior,nbh_mc_exe_freeze,nbh_mc_exe_longtime_homeowner,nbh_mc_exe_disabled,nbh_mc_exe_vet_returning,nbh_mc_exe_vet_dis_lt50,nbh_mc_exe_vet_dis_50_69,nbh_mc_exe_vet_dis_ge70,nbh_mc_exe_abate,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp
22130,0.10237,7A,130,North,15025.36,0,146775.0317475823,0,0,146775.0317475823,1,48881,146775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22120,0.10081523209385396,1,120,North,20385.56,0,202207.1424784507,0,0,202207.1424784507,8,67342,202207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22120,0.10125941053564327,2,120,North,17868505.9,76485.44,176462669.54823217,755113.4366669958,13007126.794992894,190224909.77989206,1105,63351281,190224912,13007127,9080000,2240000,1648627,0,16000,0,2500,20000,0,0,0,923,289,45,0,8,0,5,0
22120,0.10128999999999999,3,120,North,113541.95,0,1120959.1272583671,0,0,1120959.1272583671,1,373317,1120959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22120,0.10128999999999999,5A,120,North,384858.8,321236.06,3799573.501826439,3171448.909072959,0,6971022.410899398,15,2321584,6971022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22111,0.10138864497937479,1,111,North,81304.19,0,801906.2688582088,0,0,801906.2688582088,85,267063,801903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22111,0.10130331314593743,2,111,North,30779243.42,0,303832544.70324636,0,49942476.20641583,353775020.9096622,3977,117818967,353775026,49942477,30124000,9400106,10254371,0,134000,5000,5000,20000,0,0,3,3175,1240,454,0,72,1,6,0
22111,0.10128999999999999,3,111,North,1127568.39,0,11132080.067133972,0,0,11132080.067133972,14,3707357,11132081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22111,0.10130798915994653,5A,111,North,7685145.62,0,75859225.75036585,0,0,75859225.75036585,155,25263673,75859228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22111,0.10128999999999999,5B,111,North,43492.479999999996,0,429385.7241583572,0,0,429385.7241583572,3,143000,429386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22110,0.10128999999999999,1,110,North,4666.75,0,46073.15628393721,0,0,46073.15628393721,3,15344,46073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22110,0.10141915966178172,2,110,North,14130939.31,0,139332048.8665519,0,19661932.692275938,158993981.55882785,1482,52950336,158993993,19661933,12170000,3966852,3478581,0,44000,0,2500,0,0,0,2,1241,503,128,0,23,0,1,0
22110,0.10129,3,110,North,78681.26000000001,0,776791.98341396,0,0,776791.98341396,6,258698,776792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
