year,clean_name,major_class_code,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate,exe_vet_dis,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Barrington Hills,5A,6.704,6.704000000000001,74889.76730310264,74889.76730310264,27659,74890,74890,1,0,0,0,0,0,0,0,0,0,0,0,0,5020.610000000001,0,0,5020.610000000001,5020.610000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5020.610000000001
2006,Bartlett,0,8.315786407766991,8.315786407766991,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05927665556908738,206,0,0,0,0,0,0,0,0,0
2006,Bartlett,1,8.949558139534883,8.949558139534883,16811725.076721992,16811725.076721992,5520576,14947533,14947533,215,0,0,0,0,0,0,0,0,0,0,0,0,1504575.11,119362.89,0,1623938,1623938,0,0,0,0.05705461441650233,0,0,0,0,0,0,0,0,0,1623938
2006,Bartlett,2,8.309310093851753,7.4201290940890114,326949665.17258364,366129230.17258364,138784795,375675268,375773639,5221,43515520,39179565,1400525,2935430,0,0,0,0,0,0,0,0,27167261.53,398317.36,3623242.7107154005,31188820.77,27565578.89,0,0,0,0.01344983619264164,0,3871,404,128,0,0,0,0,0,27565578.89
2006,Bartlett,3,8.308,8.308,6091027.924891671,6091027.924891671,2291643,6204853,6204853,7,0,0,0,0,0,0,0,0,0,0,0,0,506042.60000000003,9456.49,0,515499.09,515499.09,0,0,0,0.2088000634677143,0,0,0,0,0,0,0,0,0,515499.09
2006,Bartlett,5A,8.303242424242423,8.303242424242423,24248388.727295287,24248388.727295287,13600687,36825220,36825220,66,0,0,0,0,0,0,0,0,0,0,0,0,2013402.5,1044438.98,0,3057841.48,3057841.48,0,0,0,0.3654001110685,0,0,0,0,0,0,0,0,0,3057841.48
2006,Bartlett,5B,13.308666666666667,13.308666666666669,15055170.96628763,15055170.96628763,5206199,14096305,14096305,9,0,0,0,0,0,0,0,0,0,0,0,0,2003642.52,0,0,2003642.52,2003642.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2003642.52
2006,Bedford Park,0,8.992884615384616,8.992884615384616,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009016392524394231,416,0,0,0,0,0,0,0,0,0
2006,Bedford Park,1,9.209049019607843,9.209049019607843,12787685.541608158,12787685.541608158,4515982,12227471,12227471,102,0,0,0,0,0,0,0,0,0,0,0,0,1177624.23,50246.19,0,1227870.42,1227870.42,0,0,0,0.03677273813870588,0,0,0,0,0,0,0,0,0,1227870.42
2006,Bedford Park,2,11.586,9.827681045598354,7823393.664767823,9223115.664767824,3707745,10039087,10039087,238,2215691,1399722,192325,623644,0,0,0,0,0,0,0,0,906418.39,0,256709.94040454304,1163128.4,906418.39,0,0,0,0,0,191,62,34,0,0,0,0,0,906418.39
2006,Bedford Park,5A,8.616164179104478,8.616164179104478,50957025.52474263,50957025.52474263,47504735,128623820,128623820,67,0,0,0,0,0,0,0,0,0,0,0,0,4390540.98,6193622.78,0,10584163.76,10584163.76,0,0,0,0.2582619042472985,0,0,0,0,0,0,0,0,0,10584163.760000002
