year,clean_name,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_vet_dis,exe_abate,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Hickory Hills,8.884402891754592,7.6394886941340445,310554548.30404514,361161831.30404514,140092681,379314917,379314917,5118,66228492,50607283,3171000,12450209,0,0,0,0,0,0,0,0,27590917.27,138679.6,5878278.547031814,33607867.09,27729596.87,0,0,0,7.395885707286049e-4,248,3653,911,462,0,0,0,0,0,27729596.87
2006,Hillside,9.017657285803628,8.263088844568228,246854422.32368237,269396665.32368237,115676213,313204890,313204890,3198,30319748,22542243,1529607,6247898,0,0,0,0,0,0,0,0,22260485.8,2080880.3399999999,2754077.104398205,27095443.35,24341366.14,0,0,0,0.008450180101954972,277,1845,471,257,0,0,0,0,0,24341366.14
2006,Hinsdale,5.576305732484077,5.307986014963843,172344683.219491,181056740.219491,67715449,183346340,183346340,1099,10372219,8712057,353500,1306662,0,0,0,0,0,0,0,0,9610466.45,0,575761.7298474064,10186226.29,9610466.45,0,0,0,0,216,543,105,22,0,0,0,0,0,9610466.45
2006,Hodgkins,7.509029085872576,7.43421780189952,198666794.32719868,200665998.32719868,96836691,262195023,262195023,722,2456805,1999204,80500,377101,0,0,0,0,0,0,0,843152,14917947.37,4155288.66,249245.72890288476,19322481.64,19073236.03,0,0,0,0.13134958315479778,264,135,24,13,0,0,0,0,1,19073236.03
2006,Hoffman Estates,8.057684509603364,7.255056747447325,1448083164.5981586,1608284771.5981586,761472559,2061490817,2061762892,17598,183635370,160201607,6476550,16929736,0,0,0,0,0,27477,27477,0,116681972.84,26922907.13,14803084.40297801,158405675.63,143604879.97,0,0,0,0.005049843189380952,772,12641,1671,604,0,0,0,1,0,143604879.97
2006,Hometown,8.045,6.111293334036035,46848529.02423866,61672120.02423866,24730513,66960320,66960320,1703,20111749,14823591,1457197,3830961,0,0,0,0,0,0,0,0,3768964.16,0,1617989.9761198093,5386954.06,3768964.16,0,0,0,0,92,1372,411,300,0,0,0,0,0,3768964.16
2006,Homewood,11.722919913910285,10.122299811417722,359534742.19326276,416387290.19326276,183027402,495565005,495565005,8828,70180580,56852548,5363164,7964868,0,0,0,0,0,0,0,0,42147969.89,7963779.74,8221044.134542637,58332789.26,50111749.63,0,0,0,0.023411010562162663,644,6008,1408,623,0,0,0,0,0,50111749.63
2006,Indian Head Park,6.541514273166447,5.797507556592336,146410734.12141287,165199941.12141287,63821018,172801823,172801823,2277,26983070,18789207,2292500,5901363,0,0,0,0,0,0,0,0,9577479.07,0,1773646.5935304237,11351121.94,9577479.07,0,0,0,0,70,1569,656,244,0,0,0,0,0,9577479.07
2006,Inverness,6.782941890166028,6.355507378326933,435462626.81128484,464749313.81128484,176179876,476991243,477024654,3132,34189366,29286687,1953000,2949679,0,0,0,0,0,0,0,0,29537176.93,0,2344139.173206348,31881307.21,29537176.93,0,0,0,0,114,2334,559,68,0,0,0,0,0,29537176.93
2006,Justice,8.385001137332955,7.094980464373897,164368032.3266333,194253690.3266333,82442317,223220804,223220804,3517,37435509,29885658,1348350,6180400,0,0,0,0,0,21101,21101,0,13782261.38,1926729.29,3130462.697035546,18837739.26,15708990.67,0,0,0,0.14288169904836737,344,2342,397,258,0,0,0,1,0,15708990.670000002
