year,nbhd_code,exe_total,township,nbhd
2021,22040,32310168,22,040
2021,22022,6120269,22,022
2021,22130,10429181,22,130
2021,22093,10875407,22,093
2021,22145,294000,22,145
2021,22111,49942477,22,111
2021,22100,4193597,22,100
2021,22110,19661933,22,110
2021,22087,14001759,22,087
2021,22120,13007127,22,120
2021,71361,20321065,71,361
2021,22142,953161,22,142
2021,22150,45216227,22,150
2021,71390,50368847,71,390
2021,22141,4434010,22,141
2021,71362,38817422,71,362
2021,24023,4156512,24,023
2021,24031,145218716,24,031
2021,24021,941053,24,021
2021,24032,6437483,24,032
2021,24052,20401665,24,052
2021,24051,45655696,24,051
2021,17200,3216077,17,200
2021,17020,5604965,17,020
2021,17013,18246639,17,013
2021,17041,14146208,17,041
2021,17060,10234034,17,060
2021,17090,18762319,17,090
2021,17130,8562130,17,130
2021,24060,7691341,24,060
2021,24150,5477655,24,150
2021,72051,10216905,72,051
2021,24022,2660925,24,022
2021,24160,1114585,24,160
2021,24081,133226662,24,081
2021,24140,1786048,24,140
2021,17140,10550261,17,140
2021,17210,6702162,17,210
2021,17110,13824345,17,110
2021,17220,14639362,17,220
2021,75010,26186761,75,010
2021,24101,55009127,24,101
2021,24999,0,24,999
2021,71461,30424620,71,461
2021,24013,22173772,24,013
2021,24103,7927751,24,103
2021,71410,56427273,71,410
2021,71021,17914175,71,021
2021,71463,6110643,71,463
2021,24102,6375380,24,102
2021,75040,31090463,75,040
2021,75023,7445639,75,023
2021,75021,18260292,75,021
2021,73041,18437541,73,041
2021,17043,21597938,17,043
2021,17080,14786981,17,080
2021,17071,15458346,17,071
2021,75032,8742758,75,032
2021,75033,11304191,75,033
2021,75031,49426258,75,031
2021,75022,29065355,75,022
2021,75060,11860553,75,060
2021,26040,19637734,26,040
2021,71440,63637524,71,440
2021,26030,6500178,26,030
2021,20040,9345973,20,040
2021,20010,7093759,20,010
2021,71470,0,71,470
2021,20020,37275781,20,020
2021,20011,10404428,20,011
2021,26050,4376387,26,050
2021,71050,41616167,71,050
2021,26010,103477139,26,010
2021,26999,0,26,999
2021,71371,92150787,71,371
2021,20090,6487831,20,090
2021,20100,0,20,100
2021,20030,44915076,20,030
2021,20080,74990099,20,080
2021,20081,35746896,20,081
2021,20999,0,20,999
2021,20060,14667508,20,060
