muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_mean_fmv_all,muni_mc_median_fmv_all,muni_mc_min_fmv_all,muni_mc_quant25_all_fmv,muni_mc_quant50_all_fmv,muni_mc_quant75_all_fmv,muni_mc_max_fmv_all,muni_mc_PC_major_class,muni_mc_parcels,muni_mc_PC_residential,muni_mc_PC_industrial,muni_mc_PC_commercial,muni_mc_PC_inTIF,muni_mc_PC_withincents,muni_mc_PC_incents_inTIFs,muni_mc_PC_claimed_exe,muni_mc_fmv_incentive,muni_mc_fmv_taxed,muni_mc_fmv_inTIF,muni_mc_fmv_exempt,muni_mc_fmv_abated,muni_mc_fmv_tif_increment,muni_mc_fmv_abates_inTIF,muni_mc_fmv_incents_inTIF,muni_mc_fmv_untaxable_value,muni_mc_fmv_residential,muni_mc_fmv_c2_res,muni_mc_fmv_industrial,muni_mc_fmv_indust_incent,muni_mc_fmv_commercial,muni_mc_fmv_commerc_incent,muni_mc_fmv,muni_mc_zero_bill,muni_mc_levy,muni_mc_current_rate_avg,muni_mc_eav_taxed,muni_mc_eav_c2_taxed,muni_mc_eav_res_taxed,muni_mc_eav_taxed_commerc,muni_mc_eav_taxed_indust,muni_mc_min_TC_rate,muni_mc_max_TC_rate,muni_mc_avg_C2_bill_noexe,muni_mc_avg_C2_bill_withexe,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_zero_bills,muni_mc_exempt_allexemptions_eav,muni_mc_exempt_GHE_eav,muni_mc_exempt_SR_eav,muni_mc_exempt_FR_eav,muni_mc_exempt_LTHO_eav,muni_mc_exempt_DIS_eav,muni_mc_exempt_VET_eav,muni_mc_has_HO_exemp,muni_mc_has_SR_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_billed,muni_mc_range_TC_rate,muni_mc_effective_rate,muni_mc_pct_eav_taxed,muni_mc_pct_fmv_taxed,muni_mc_pct_fmv_w_incentclass,muni_mc_pct_fmv_inTIF,muni_mc_pct_fmv_in_tif_increment,muni_mc_pct_fmv_untaxable_value,muni_mc_pct_fmv_incents_inTIFs
2006,Barrington,2,241384.32329369182,227912.5,850,165969,227912,300805,100604,1934,1855,1934,0,0,23,0,0,1472,0,411989815,5712094,52520165,0,2221886,0,0,8761099,466837281,466837281,0,0,0,0,466837281.25,0,10234554.17157486,0.057,178480579.8603158,178480579.8603158,178480579.8603158,0,0,0.052,0.058,5056.918,5403.284,10234554.17157486,55375.58842513964,0,22752576,18717083,1134000,2901493,0,0,0,1472,328,85,0,0,0,0,0,10289929.76,0.007,2.192,0.057,0.883,0,0.012,0.005,0.019,0
2006,Barrington,3,462184.97023809527,330133.3333333334,6654.166666666667,234557,330133,490422,465115,28,28,28,0,0,2,0,0,0,0,12819552,329496,0,0,121626,0,0,29190,12941179,0,0,0,0,0,12941179.166666668,0,475618.41933693684,0.057,8330452.826062591,0,8330452.826062591,0,0,0.057,0.058,NA,NA,475618.41933693684,4537.600663063163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480156.02,0.001,3.675,0.057,0.991,0,0.025,0.009,0.002,0
2006,Barrington,4,7290916.666666667,7290916.666666667,7290916.666666667,7290917,7290917,7290917,2187275,1,1,0,0,1,0,0,0,0,0,7290917,0,0,0,0,0,0,0,0,0,0,0,7290917,0,7290916.666666667,0,338102.17,0.057,5922266.0711157825,0,0,5922266.0711157825,0,0.057,0.057,NA,NA,338102.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338102.17,0,4.637,0.057,1,0,0,0,0,0
2006,Barrington,5A,535724.0601503759,265000,4386.8421052631575,148024,265000,483579,2393998,189,178,0,0,189,73,0,0,0,0,90409789,25556803,0,0,10838458,0,0,4118614,0,0,0,0,101251847,0,101251847.36842105,0,5350884.501786349,0.058,93021547.0259548,0,0,93021547.0259548,0,0.057,0.13,NA,NA,5350884.501786349,659445.5482136509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6010330.05,0.073,5.285,0.058,0.893,0,0.252,0.107,0.041,0
2006,Barrington,5B,658553.373015873,306761.1111111111,27194.444444444445,101899,306761,753160,1416670,14,14,0,14,0,0,0,0,0,0,9219749,0,0,0,0,0,0,0,0,0,9219747,0,0,0,9219747.222222222,0,507026.91,0.057,8986820.796030704,0,0,0,8986820.796030704,0.052,0.057,NA,NA,507026.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507026.91,0.006,5.499,0.056,1,0,0,0,0,0
2006,Barrington Hills,0,0,0,0,0,0,0,0,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0.066,0,0,0,0,0,0.065,0.077,NA,NA,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,NA,NA,NA,NA,NA,NA,NA,NA
2006,Barrington Hills,1,159916.27463445647,197281.81818181818,522.7272727272727,51180,197282,226332,127265,143,143,0,0,0,0,0,0,0,0,22868036,0,0,0,0,0,0,0,0,0,0,0,0,0,22868027.272727273,0,883349.38,0.065,13621848.70516064,0,0,0,0,0.064,0.07,NA,NA,883349.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883349.38,0.006,3.863,0.065,1,0,0,0,0,0
2006,Barrington Hills,2,511935.1288910506,488225,62.5,338016,488225,627716,570322,1028,1028,1028,0,0,0,0,0,657,0,500843648,0,21843247,0,0,0,0,3745957,526269312,526269312,0,0,0,0,526269312.5,3,14136464.87,0.065,216973481.66337082,216973481.66337082,216973481.66337082,0,0,0.064,0.079,8893.557,16494.605,14136464.87,0,3,9462844,8472372,444500,545972,0,0,0,657,128,8,0,0,0,0,0,14136464.87,0.015,2.686,0.065,0.952,0,0,0,0.007,0
2006,Barrington Hills,5A,72786.84210526316,72786.84210526316,72786.84210526316,72787,72787,72787,27659,1,1,0,0,1,0,0,0,0,0,72787,0,0,0,0,0,0,0,0,0,0,0,72787,0,72786.84210526316,0,5020.63,0.067,74890.06563245824,0,0,74890.06563245824,0,0.067,0.067,NA,NA,5020.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5020.63,0,6.898,0.067,1,0,0,0,0,0
2006,Bartlett,0,0,0,0,0,0,0,0,103,103,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0.083,0,0,0,0,0,0.083,0.084,NA,NA,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,NA,NA,NA,NA,NA,NA,NA,NA
