muni_mc_year,muni_mc_clean_name,muni_mc_major_class_code,muni_mc_cur_comp_muni_rate,muni_mc_current_taxable_eav,muni_mc_av,muni_mc_eav,muni_mc_equalized_av,muni_mc_pins_in_muni,muni_mc_all_exemptions,muni_mc_exe_homeowner,muni_mc_exe_senior,muni_mc_exe_freeze,muni_mc_exe_longtime_homeowner,muni_mc_exe_disabled,muni_mc_exe_vet_returning,muni_mc_exe_vet_dis_lt50,muni_mc_exe_vet_dis_50_69,muni_mc_exe_vet_dis_ge70,muni_mc_exe_abate,muni_mc_exe_vet_dis,muni_mc_final_tax_to_dist,muni_mc_final_tax_to_tif,muni_mc_tax_amt_exe,muni_mc_tax_amt_pre_exe,muni_mc_tax_amt_post_exe,muni_mc_rpm_tif_to_cps,muni_mc_rpm_tif_to_rpm,muni_mc_rpm_tif_to_dist,muni_mc_tif_share,muni_mc_zero_bills,muni_mc_has_HO_exemp,muni_mc_has_SF_exemp,muni_mc_has_FR_exemp,muni_mc_has_LTHO_exemp,muni_mc_has_DI_exemp,muni_mc_has_VR_exemp,muni_mc_has_DV_exemp,muni_mc_has_AB_exemp,muni_mc_total_bill_current
2016,Bellwood,1,19.624344827586206,784469.1955452939,284796,798343,798343,87,0,0,0,0,0,0,0,0,0,0,0,0,153946.94,2832.79,0,156779.73,156779.73,0,0,0,0.05404936329495402,0,0,0,0,0,0,0,0,0,156779.73
2016,Bellwood,2,19.617596039939073,116686252.65499704,56199381,157538072,157538072,5909,39064353,30560334,5608675,2532328,0,295516,0,10000,57500,0,0,67500,22891037.68,361283.3,7666647.547149132,30918965.21,23252320.98,0,0,0,0.012701432390648163,4,4474,1146,748,0,151,0,17,0,23252320.98
2016,Bellwood,3,19.644966101694912,1889296.4135376038,888047,2489372,2489372,59,0,0,0,0,0,0,0,0,0,0,0,0,371151.64,117821.38,0,488973.02,488973.02,0,0,0,0.04130624353616949,0,0,0,0,0,0,0,0,0,488973.02
2016,Bellwood,4,19.65,1455652.0610687025,558032,1564275,1564275,12,0,0,0,0,0,0,0,0,0,0,0,0,286035.63,21344.3,0,307379.93,307379.93,0,0,0,0.17491039471591666,0,0,0,0,0,0,0,0,0,307379.93
2016,Bellwood,5A,19.631729613733903,28732075.782329258,10607023,29733603,29733603,233,0,0,0,0,0,0,0,0,0,0,0,0,5640603.43,197060.41,0,5837663.84,5837663.84,0,0,0,0.030137833297489272,0,0,0,0,0,0,0,0,0,5837663.84
2016,Bellwood,5B,19.632839999999998,44912396.066997945,16656267,46690849,46690849,150,0,0,0,0,0,0,0,0,0,0,0,0,8817578.86,352187.46,0,9169766.32,9169766.32,0,0,0,0.036515191674526666,0,0,0,0,0,0,0,0,0,9169766.32
2016,Bellwood,6B,19.629157894736842,3749833.303839079,1427812,4002444,4002444,19,0,0,0,0,0,0,0,0,0,0,0,0,736060.7,50014.6,0,786075.3,786075.3,0,0,0,0.04397573324726316,0,0,0,0,0,0,0,0,0,786075.2999999999
2016,Bellwood,7A,19.65,399872.36641221377,155721,436517,436517,13,0,0,0,0,0,0,0,0,0,0,0,0,78574.92,7200.79,0,85775.71,85775.71,0,0,0,0.027364246318384616,0,0,0,0,0,0,0,0,0,85775.70999999999
2016,Bellwood,9,19.65,190597.91348600513,67993,190598,190598,2,0,0,0,0,0,0,0,0,0,0,0,0,37452.490000000005,0,0,37452.490000000005,37452.490000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,37452.490000000005
2016,Bensenville,0,11.345333333333333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2016,Bensenville,1,11.47942857142857,332413.410324058,118121,331117,331117,7,0,0,0,0,0,0,0,0,0,0,0,0,38159.16,0,0,38159.16,38159.16,0,0,0,0,0,0,0,0,0,0,0,0,0,38159.16
2016,Bensenville,5A,11.514,357323.8665971861,127470,357324,357324,1,0,0,0,0,0,0,0,0,0,0,0,0,41142.270000000004,0,0,41142.270000000004,41142.270000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,41142.270000000004
2016,Bensenville,5B,11.479694915254237,22318792.519437414,7946887,22276713,22276713,59,0,0,0,0,0,0,0,0,0,0,0,0,2562129.29,0,0,2562129.29,2562129.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2562129.29
2016,Bensenville,6B,11.69,630505.8169375535,224364,628937,628937,3,0,0,0,0,0,0,0,0,0,0,0,0,73706.12999999999,0,0,73706.12999999999,73706.12999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,73706.12999999999
2016,Berkeley,0,14.077766666666665,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0
2016,Berkeley,1,14.233933333333333,199912.415870057,70957,198906,198906,30,0,0,0,0,0,0,0,0,0,0,0,0,28455.399999999998,0,0,28455.399999999998,28455.399999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,28455.399999999998
2016,Berkeley,2,14.406808749298934,51513840.98411903,23002461,64480486,64480486,1783,12925823,10115000,1675000,1058323,0,50000,5000,2500,20000,0,0,22500,7421500.55,0,1863025.9129859533,9284526.56,7421500.55,0,0,0,0,0,1459,336,198,0,25,1,5,0,7421500.55
2016,Berkeley,3,14.283785714285713,1266726.1580313344,457593,1282724,1282724,14,0,0,0,0,0,0,0,0,0,0,0,0,180936.45,0,0,180936.45,180936.45,0,0,0,0,0,0,0,0,0,0,0,0,0,180936.45
2016,Berkeley,4,14.44,568850.9695290859,202929,568851,568851,1,0,0,0,0,0,0,0,0,0,0,0,0,82142.08,0,0,82142.08,82142.08,0,0,0,0,0,0,0,0,0,0,0,0,0,82142.08
