tax_code_num,class_code,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10055,208,461748,1386491,60000,24000,0,0,0,0,0,0,7
10055,209,323623,971743,40000,16000,0,0,0,0,0,0,4
10055,241,11107,33351,0,0,0,0,0,0,0,0,1
10055,278,500311,1502284,90000,8000,0,0,0,0,0,0,10
10057,0,0,0,0,0,0,0,0,0,0,0,1
10057,100,226130,679001,0,0,0,0,0,0,0,0,11
10057,190,19877,59685,0,0,0,0,0,0,0,0,1
10057,204,566158,1700004,50000,32000,0,0,0,0,0,0,8
10057,205,37791,113475,10000,8000,0,0,0,0,0,0,1
10057,208,1154816,3467567,120000,32000,10439,0,0,0,0,0,14
10057,209,3003924,9019883,175000,16000,2000,0,0,0,0,0,26
10057,239,4535,13617,0,0,0,0,0,0,0,0,1
10057,241,15567,46743,0,0,0,0,0,0,0,0,2
10057,278,420241,1261858,50000,16000,2000,0,0,0,0,0,7
10059,0,0,0,0,0,0,0,0,0,0,0,15
10059,100,1414478,4247254,0,0,0,0,0,0,0,0,11
10059,203,4345820,13049200,1480000,304000,202574,0,0,0,0,0,172
10059,204,123939,372153,30000,0,0,0,2000,0,0,0,4
10059,207,3680096,11050221,1210000,288000,42603,0,2000,0,0,0,138
10059,234,2629889,7896772,860000,200000,97513,0,2000,0,0,0,101
10059,239,15275,45866,0,0,0,0,0,0,0,0,3
10059,241,5644,16947,0,0,0,0,0,0,0,0,7
10059,278,10693468,32109278,2900000,704000,421227,0,10000,0,0,0,321
10059,517,1598434,4799618,0,0,0,0,0,0,0,0,4
10059,523,479507,1439816,0,0,0,0,0,0,0,0,1
10059,531,679998,2041830,0,0,0,0,0,0,0,0,2
10059,580,55598,166944,0,0,0,0,0,0,0,0,1
10059,590,365747,1098229,0,0,0,0,0,0,0,0,1
10059,593,12147095,36474082,0,0,0,0,0,0,0,0,3
10059,597,8000,24022,0,0,0,0,0,0,0,0,1
10059,663,2036701,6115602,0,0,0,0,0,0,0,0,4
10059,670,43134,129519,0,0,0,0,0,0,0,0,2
10062,0,0,0,0,0,0,0,0,0,0,0,1
10062,278,33781,101434,0,0,0,0,0,0,0,0,1
10064,0,0,0,0,0,0,0,0,0,0,0,1
10064,100,3,9,0,0,0,0,0,0,0,0,3
10064,204,376997,1132010,50000,24000,0,0,0,0,0,0,7
10064,208,2087026,6266714,230000,24000,0,0,0,0,0,0,29
10064,278,1158406,3478348,180000,24000,0,0,0,0,0,0,19
10065,0,0,0,0,0,0,0,0,0,0,0,3
10065,100,10764,32321,0,0,0,0,0,0,0,0,2
10067,0,0,0,0,0,0,0,0,0,0,0,1
10069,100,160642,482358,0,0,0,0,0,0,0,0,23
10069,204,991424,2976949,120000,40000,6272,0,0,0,0,0,15
10069,208,3432697,10307357,410000,112000,0,0,0,0,0,0,51
10069,209,5539226,16632634,460000,64000,0,0,2000,0,0,0,59
10069,241,34216,102741,0,0,0,0,0,0,0,0,6
10069,278,469362,1409353,70000,16000,0,0,0,0,5000,0,8
10069,290,2,6,0,0,0,0,0,0,0,0,1
10074,0,0,0,0,0,0,0,0,0,0,0,2
10074,100,5,15,0,0,0,0,0,0,0,0,5
10074,203,2850245,8558435,670000,488000,200082,0,2000,0,0,0,85
10074,204,1226386,3682467,300000,184000,26664,0,0,0,0,0,33
10075,100,499293,1499227,0,0,0,0,0,0,0,0,4
10075,593,3944165,11843144,0,0,0,0,0,0,0,0,1
10076,0,0,0,0,0,0,0,0,0,0,0,8
10076,100,6487,19479,0,0,0,0,0,0,0,0,1
10076,203,30935,92889,10000,8000,0,0,0,0,0,0,1
10076,597,575000,1726553,0,0,0,0,0,0,0,0,1
10077,0,0,0,0,0,0,0,0,0,0,0,1
10077,204,90555,271909,0,0,0,0,0,0,0,0,1
10083,100,30249,90829,0,0,0,0,0,0,0,0,1
10083,209,78851,236766,10000,0,0,0,0,0,0,0,1
10083,241,8672,26039,0,0,0,0,0,0,0,0,2
10083,278,99637,299180,20000,8000,0,0,0,0,0,0,2
10085,0,0,0,0,0,0,0,0,0,0,0,1
10085,100,106,318,0,0,0,0,0,0,0,0,1
10085,202,16402,49250,0,0,0,0,0,0,0,0,1
10085,204,1107306,3324907,160000,72000,0,0,0,0,0,0,20
10085,205,45173,135641,0,0,0,0,0,0,0,0,1
10085,208,547668,1644483,80000,32000,0,0,0,0,0,0,9
10085,209,90708,272369,10000,0,0,0,0,0,0,0,1
10085,224,12503,37543,0,0,0,0,0,0,0,0,1
10085,241,1549,4651,0,0,0,0,0,0,0,0,4
10085,278,478649,1437240,80000,16000,16937,0,0,0,0,0,10
10086,0,0,0,0,0,0,0,0,0,0,0,2
10086,100,7262,21806,0,0,0,0,0,0,0,0,2
10086,204,623739,1872900,110000,16000,0,0,0,0,0,0,11
10086,208,203517,611100,30000,0,0,0,0,0,0,0,3
10086,209,225112,675944,30000,8000,0,0,0,0,0,0,3
10086,241,9341,28047,0,0,0,0,0,0,0,0,3
10086,278,221724,665770,30000,16000,0,0,0,0,0,0,4
10086,290,9395,28210,0,0,0,0,0,0,0,0,1
10088,0,0,0,0,0,0,0,0,0,0,0,1
10088,100,5,15,0,0,0,0,0,0,0,0,5
10088,208,699767,2101191,80000,8000,0,0,0,0,0,0,8
10088,209,791667,2377140,80000,24000,2000,0,0,0,0,0,9
10088,278,60423,181432,10000,0,0,0,0,0,0,0,1
10089,0,0,0,0,0,0,0,0,0,0,0,1
10089,100,1,3,0,0,0,0,0,0,0,0,1
10089,204,620194,1862256,0,0,0,0,0,0,0,0,3
10089,299,495480,1487779,90000,32000,0,0,0,0,0,0,11
10090,0,0,0,0,0,0,0,0,0,0,0,2
10090,100,1,3,0,0,0,0,0,0,0,0,1
10090,299,1194299,3586127,220000,120000,20208,0,0,0,0,0,28
10092,100,48088,144393,0,0,0,0,0,0,0,0,2
10092,529,1700000,5104590,0,0,0,0,0,0,0,0,1
10094,100,219797,659983,0,0,0,0,0,0,0,0,18
10094,204,237627,713523,0,0,0,0,0,0,0,0,2
10094,208,96101,288562,0,0,0,0,0,0,0,0,1
10094,209,125293,376217,0,0,0,0,0,0,0,0,1
10094,239,7516,22568,0,0,0,0,0,0,0,0,2
10094,517,1230999,3696321,0,0,0,0,0,0,0,0,1
10094,533,409464,1229498,0,0,0,0,0,0,0,0,1
10095,100,5168,15518,0,0,0,0,0,0,0,0,1
10095,208,602788,1809992,80000,8000,0,0,0,0,0,0,8
10095,209,1214182,3645824,110000,8000,0,0,0,0,0,0,12
10095,239,2229,6695,0,0,0,0,0,0,0,0,9
10095,278,65311,196109,10000,0,0,0,0,0,0,0,1
10099,100,11596,34819,0,0,0,0,0,0,0,0,1
10099,239,6339,19034,0,0,0,0,0,0,0,0,2
10100,0,0,0,0,0,0,0,0,0,0,0,7
10100,100,138,414,0,0,0,0,0,0,0,0,1
10100,212,270029,810815,0,0,0,0,0,0,0,0,7
10100,299,411906,1236837,75134,16000,0,0,0,0,0,0,51
10100,399,233628,701514,0,0,0,0,0,0,0,0,8
10100,517,902286,2709296,0,0,0,0,0,0,0,0,10
10100,590,259585,779456,0,0,0,0,0,0,0,0,8
10100,592,5596225,16803787,0,0,0,0,0,0,0,0,22
10100,599,595321,1787563,0,0,0,0,0,0,0,0,26
10101,0,0,0,0,0,0,0,0,0,0,0,16
