keypin,pin,pins_per_keypin,needs_keypin
01323020330000,01323020330000,1,0
01323020370000,01323020370000,1,1
01323020380000,01323020380000,1,1
01323020440000,01323020440000,1,0
01323020450000,01323020450000,1,0
01323020510000,01323020510000,2,0
01323020530000,01323020530000,1,1
01323020540000,01323020540000,1,1
01324000150000,01324000150000,1,0
01324000160000,01324000160000,1,0
01324000170000,01324000170000,1,0
01324000180000,01324000180000,1,0
01323020510000,01324000260000,2,0
01324000290000,01324000290000,1,0
01324000310000,01324000310000,1,0
01324000330000,01324000330000,1,0
01324010080000,01324010080000,1,0
01324010090000,01324010090000,1,0
01324040010000,01324040010000,1,1
01324040020000,01324040020000,1,1
01331030080000,01331030080000,1,1
01331040020000,01331040020000,1,0
01331040050000,01331040050000,1,0
01332090180000,01332090020000,7,0
01332090040000,01332090040000,1,0
01332090100000,01332090100000,1,0
01332090110000,01332090110000,2,0
01332090110000,01332090120000,2,0
01332090180000,01332090170000,7,0
01332090180000,01332090180000,7,0
01332090180000,01332090200000,7,0
01332090180000,01332090210000,7,0
01332090180000,01332090220000,7,0
01332090180000,01332090230000,7,0
01333000050000,01333000050000,1,0
01333000080000,01333000080000,1,0
01333010020000,01333010020000,1,0
01333010050000,01333010050000,1,0
01333010060000,01333010060000,1,0
01333010070000,01333010070000,1,0
01333010080000,01333010080000,1,0
01333030120000,01333030120000,1,0
01333030130000,01333030130000,2,0
01333030130000,01333030140000,2,0
01333040040000,01333040040000,1,1
01333040091001,01333040091001,1,1
01333040091002,01333040091002,1,1
01333040091003,01333040091003,1,1
01333040091004,01333040091004,1,1
01333040091005,01333040091005,1,1
01333050050000,01333050050000,1,0
01343000060000,01343000060000,1,0
01343000070000,01343000070000,1,1
01343000120000,01343000120000,1,1
01343020020000,01343020020000,1,1
01343020030000,01343020030000,1,1
01344000050000,01344000050000,1,0
01344000070000,01344000070000,1,0
01352000130000,01352000130000,1,0
01352000150000,01352000150000,1,0
01352000220000,01352000220000,1,0
01352000230000,01352000230000,1,0
01352000281001,01352000281001,1,1
01352000281002,01352000281002,1,1
01352000281003,01352000281003,1,1
01352000281004,01352000281004,1,1
01352000291001,01352000291001,1,1
01352000291002,01352000291002,1,1
01352000291003,01352000291003,1,1
01352000291004,01352000291004,1,1
01352000300000,01352000300000,1,0
01352000311001,01352000311001,1,1
01352000311002,01352000311002,1,1
01352000311003,01352000311003,1,1
01352000311004,01352000311004,1,1
01352000321001,01352000321001,1,1
01352000321002,01352000321002,1,1
01352000321003,01352000321003,1,1
01352000321004,01352000321004,1,1
01352000321005,01352000321005,1,1
01352000331001,01352000331001,1,1
01352000331002,01352000331002,1,1
01352000331003,01352000331003,1,1
