pin10,year,longitude,latitude,group,pin,keypin,sale_buyer_name,sale_document_num,num_parcels_sale,year_sold,proj_appeallant,timesappealed,incent_prop,appellant,appealid,year_appealed,geometry
1823400034,2022,-87.82970703941452,41.76808195878314,5,18234000340000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.83101, -87.8305, -87.82961, -87.82867, -87.82865, -87.82867, -87.82592, -87.82592, -87.82478, -87.82378, -87.82359, -87.8234, -87.82342, -87.8227, -87.82271, -87.82272, -87.82276, -87.82278, -87.82487, -87.82973, -87.83433, -87.83517, -87.83748, -87.83739, -87.83728, -87.83716, -87.83704, -87.83692, -87.83679, -87.83672, -87.83468, -87.83425, -87.83193, -87.83179, -87.83166, -87.83153, -87.8314, -87.83127, -87.83123, -87.83101, 41.7669, 41.76651, 41.76653, 41.76655, 41.76655, 41.76715, 
41.76719, 41.7671, 41.76711, 41.76713, 41.76713, 41.76714, 41.76826, 41.76879, 41.76921, 41.76939, 41.76939, 41.76939, 41.76935, 41.76925, 41.76916, 41.76914, 41.76662, 41.76668, 41.76674, 41.76679, 41.76683, 41.76686, 41.76688, 41.76688, 41.76693, 41.76695, 41.76701, 41.76701, 41.767, 41.76698, 41.76695, 41.76691, 41.76689, 41.7669)))"
1823400038,2022,-87.82250622948413,41.7678512432166,5,18234000380000,NA,NA,NA,NA,NA,2115893 - PEMSKE TRUCK LEASING,1,Non-Incentive,PEMSKE TRUCK LEASING,2115893,2018,"list(list(c(-87.82213, -87.82172, -87.82107, -87.82163, -87.82221, -87.82271, -87.8227, -87.82342, -87.8234, -87.82359, -87.82357, -87.82311, -87.82275, -87.82243, -87.82214, -87.82213, 41.76706, 41.76765, 41.76863, 41.76893, 41.76917, 41.76921, 41.76879, 41.76826, 41.76714, 41.76713, 41.76632, 41.76633, 41.76679, 41.76666, 41.76704, 41.76706)))"
1823400039,2022,-87.82140264656839,41.76883451399625,5,18234000390000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82149, -87.82214, -87.8227, -87.82272, -87.82271, -87.82221, -87.82163, -87.82107, -87.82103, -87.82039, -87.82029, -87.82015, -87.82035, -87.82085, -87.82149, 41.76911, 41.76936, 41.76939, 41.76939, 41.76921, 41.76917, 41.76893, 41.76863, 41.76869, 41.76799, 41.76795, 41.76814, 41.76822, 41.76873, 41.76911)))"
1823400040,2022,-87.82641251933097,41.76593883599436,5,18234000400000,NA,NA,NA,NA,NA,2117214 - KINDER MORGAN INC,8,Incentive,KINDER MORGAN INC,2117214,2023,"list(list(c(-87.82808, -87.82797, -87.82474, -87.82452, -87.82474, -87.82477, -87.82543, -87.82818, -87.82828, -87.82828, -87.82808, 41.76591, 41.76584, 41.7659, 41.7659, 41.76601, 41.76603, 41.76602, 41.76599, 41.76598, 41.76596, 41.76591)))"
1823400045,2022,-87.82962576041254,41.76624184619697,5,18234000450000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,14,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82818, -87.82866, -87.82867, -87.82961, -87.8305, -87.83101, -87.83123, -87.83116, -87.83105, -87.83095, -87.83086, -87.83078, -87.83071, -87.83066, -87.83062, -87.8306, -87.83059, -87.83058, -87.82959, -87.82828, -87.82828, -87.82818, 41.76599, 41.76631, 41.76655, 41.76653, 41.76651, 41.7669, 41.76689, 41.76686, 41.7668, 41.76674, 41.76666, 41.76658, 41.76649, 41.7664, 41.7663, 41.7662, 41.76614, 41.7659, 41.76593, 41.76596, 41.76598, 41.76599)))"
1823400046,2022,-87.82062209411721,41.76896578803425,5,18234000460000,NA,NA,NA,NA,NA,2114927 - SPEEDWAY LLC,2,Non-Incentive,SPEEDWAY LLC,2114927,2023,"list(list(c(-87.82054, -87.8227, -87.82214, -87.82149, -87.82085, -87.82035, -87.82015, -87.82001, -87.82, -87.81955, -87.82003, -87.82004, -87.82054, 41.76944, 41.76939, 41.76936, 41.76911, 41.76873, 41.76822, 41.76814, 41.76836, 41.76837, 41.76906, 41.76905, 41.76935, 41.76944)))"
1823400047,2022,-87.82276552847708,41.765774123533035,5,18234000470000,NA,NA,NA,NA,NA,2119141 - PETER DZIEDZIC,2,Non-Incentive,PETER DZIEDZIC,2119141,2023,"list(list(c(-87.82357, -87.82363, -87.82362, -87.82269, -87.82238, -87.82207, -87.82178, -87.82165, -87.82226, -87.82357, 41.76632, 41.76547, 41.76547, 41.76494, 41.76526, 41.76558, 41.76591, 41.76606, 41.76634, 41.76632)))"
1823400048,2022,-87.82377407229065,41.765849950634404,5,18234000480000,NA,NA,NA,NA,NA,2117212 - KINDER MORGAN INC,5,Non-Incentive,KINDER MORGAN INC,2117212,2023,"list(list(c(-87.82357, -87.82371, -87.82412, -87.82386, -87.82363, -87.82357, 41.76632, 41.76618, 41.76576, 41.76561, 41.76547, 41.76632)))"
1823402001,2022,-87.83190821341378,41.763992149313516,5,18234020010000,NA,NA,NA,NA,NA,2118947 - BUCKEYE PARTNERS LP,3,Non-Incentive,BUCKEYE PARTNERS LP,2118947,2023,"list(list(c(-87.83051, -87.83058, -87.83336, -87.83322, -87.83047, -87.83051, 41.76359, 41.76578, 41.76571, 41.7622, 41.76226, 41.76359)))"
1824100014,2022,-87.81772158117148,41.773037213286415,1,18241000140000,NA,NA,NA,NA,NA,2120377 - ILLINOIS INSTITUTE OF,11,Non-Incentive,ILLINOIS INSTITUTE OF,2120377,2023,"list(list(c(-87.81777, -87.81799, -87.81829, -87.81833, -87.81771, -87.81817, -87.81878, -87.81913, -87.81834, -87.81813, -87.81753, -87.81651, -87.81777, 41.77412, 41.77395, 41.77365, 41.7736, 41.77337, 41.77265, 41.77285, 41.77229, 41.77201, 41.77234, 41.77212, 41.77369, 41.77412)))"
